"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia CANGALLO (000)",13091,44274,37368,,629,84.4,1.4
"De 12 a 14 años (001)",1350,5,5,,,100,
"De 15 a 19 años (002)",1604,263,258,82,98.1,31.2,
"De 20 a 24 años (003)",1247,1268,1241,136,97.9,10.7,
"De 25 a 29 años (004)",1158,2253,2171,142,96.4,6.3,
"De 30 a 34 años (005)",1124,3206,3019,145,94.2,4.5,
"De 35 a 39 años (006)",1003,3755,3459,75,92.1,2,
"De 40 a 44 años (007)",933,4486,4064,36,90.6,0.8,
"De 45 a 49 años (008)",779,4455,3913,13,87.8,0.3,
"De 50 y más años (009)",3893,24583,19238,,78.3,,
"PEA (010)",3404,11587,10073,165,86.9,1.4,
"De 12 a 14 años (011)",61,3,3,,100,,
"De 15 a 19 años (012)",262,68,67,19,98.5,27.9,
"De 20 a 24 años (013)",405,387,380,31,98.2,8,
"De 25 a 29 años (014)",414,690,662,42,95.9,6.1,
"De 30 a 34 años (015)",404,1019,960,38,94.2,3.7,
"De 35 a 39 años (016)",385,1349,1244,19,92.2,1.4,
"De 40 a 44 años (017)",353,1620,1460,13,90.1,0.8,
"De 45 a 49 años (018)",273,1389,1206,3,86.8,0.2,
"De 50 y más años (019)",847,5062,4091,,80.8,,
"Ocupada (020)",3340,11508,10000,165,86.9,1.4,
"De 12 a 14 años (021)",59,3,3,,100,,
"De 15 a 19 años (022)",250,66,65,19,98.5,28.8,
"De 20 a 24 años (023)",389,384,377,31,98.2,8.1,
"De 25 a 29 años (024)",399,672,645,42,96,6.3,
"De 30 a 34 años (025)",397,1011,952,38,94.2,3.8,
"De 35 a 39 años (026)",382,1340,1235,19,92.2,1.4,
"De 40 a 44 años (027)",349,1601,1442,13,90.1,0.8,
"De 45 a 49 años (028)",271,1374,1195,3,87,0.2,
"De 50 y más años (029)",844,5057,4086,,80.8,,
"Desocupada (030)",64,79,73,,92.4,,
"De 12 a 14 años (031)",2,,,,,,
"De 15 a 19 años (032)",12,2,2,,100,,
"De 20 a 24 años (033)",16,3,3,,100,,
"De 25 a 29 años (034)",15,18,17,,94.4,,
"De 30 a 34 años (035)",7,8,8,,100,,
"De 35 a 39 años (036)",3,9,9,,100,,
"De 40 a 44 años (037)",4,19,18,,94.7,,
