"CUADRO Nº 18: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia TUMBES (000)",51400,16483,9170,21589,1315,1624,1219
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",155,144,,,11,,
"Profes., científicos e intelectuales (002)",5719,4999,,647,61,12,
"Técnicos de nivel medio y trab. asimilados (003)",2276,1524,,641,99,11,1
"Jefes y empleados de oficina (004)",2683,2661,,14,,8,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",7605,2555,79,4241,212,516,2
"Agricult.trabaj. calif.agrop. y pesqueros (006)",6125,6,495,5012,601,11,
"Obreros y oper.minas, cant., ind.manuf.y otros (007)",4081,,1617,2284,114,66,
"Obreros construc.,conf., papel, fab., instr. (008)",7240,886,1546,4663,107,38,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (009)",13011,2208,5175,3490,67,855,1216
"Otra (010)",1057,1057,,,,,
"Ocupación no especificada (011)",1448,443,258,597,43,107,
"Hombres (012)",36487,9607,8181,16549,1081,1010,59
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",114,105,,,9,,
"Profes., científicos e intelectuales (014)",2627,2217,,359,47,4,
"Técnicos de nivel medio y trab. asimilados (015)",1395,933,,397,62,3,
"Jefes y empleados de oficina (016)",1244,1235,,4,,5,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",3943,1626,31,2050,117,119,
"Agricult.trabaj. calif.agrop. y pesqueros (018)",5958,6,453,4904,585,10,
"Obreros y oper.minas, cant., ind.manuf.y otros (019)",3230,,1152,1928,101,49,
"Obreros construc.,conf., papel, fab., instr. (020)",7123,878,1517,4585,107,36,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (021)",9031,1352,4832,2001,31,756,59
"Otra (022)",1039,1039,,,,,
"Ocupación no especificada (023)",783,216,196,321,22,28,
"Mujeres (024)",14913,6876,989,5040,234,614,1160
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",41,39,,,2,,
"Profes., científicos e intelectuales (026)",3092,2782,,288,14,8,
"Técnicos de nivel medio y trab. asimilados (027)",881,591,,244,37,8,1
"Jefes y empleados de oficina (028)",1439,1426,,10,,3,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",3662,929,48,2191,95,397,2
"Agricult.trabaj. calif.agrop. y pesqueros (030)",167,,42,108,16,1,
"Obreros y oper.minas, cant., ind.manuf.y otros (031)",851,,465,356,13,17,
"Obreros construc.,conf., papel, fab., instr. (032)",117,8,29,78,,2,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (033)",3980,856,343,1489,36,99,1157
"Otra (034)",18,18,,,,,
"Ocupación no especificada (035)",665,227,62,276,21,79,
,,,,,,,
"URBANA (036)",47643,15975,8005,20103,1155,1260,1145
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (037)",142,131,,,11,,
"Profes., científicos e intelectuales (038)",5535,4827,,635,61,12,
"Técnicos de nivel medio y trab. asimilados (039)",2224,1488,,631,93,11,1
"Jefes y empleados de oficina (040)",2607,2585,,14,,8,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (041)",7394,2492,77,4112,207,504,2
"Agricult.trabaj. calif.agrop. y pesqueros (042)",4950,2,492,3983,462,11,
"Obreros y oper.minas, cant., ind.manuf.y otros (043)",3919,,1507,2234,112,66,
"Obreros construc.,conf., papel, fab., instr. (044)",6963,849,1473,4505,101,35,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (045)",11441,2115,4206,3405,66,507,1142
"Otra (046)",1049,1049,,,,,
"Ocupación no especificada (047)",1419,437,250,584,42,106,
"Hombres (048)",33289,9330,7097,15213,928,665,56
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (049)",102,93,,,9,,
"Profes., científicos e intelectuales (050)",2567,2165,,351,47,4,
"Técnicos de nivel medio y trab. asimilados (051)",1361,911,,389,58,3,
"Jefes y empleados de oficina (052)",1213,1204,,4,,5,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (053)",3834,1578,31,1998,113,114,
"Agricult.trabaj. calif.agrop. y pesqueros (054)",4798,2,450,3887,449,10,
"Obreros y oper.minas, cant., ind.manuf.y otros (055)",3111,,1080,1883,99,49,
"Obreros construc.,conf., papel, fab., instr. (056)",6850,841,1445,4430,101,33,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (057)",7654,1291,3898,1960,30,419,56
"Otra (058)",1031,1031,,,,,
"Ocupación no especificada (059)",768,214,193,311,22,28,
"Mujeres (060)",14354,6645,908,4890,227,595,1089
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (061)",40,38,,,2,,
"Profes., científicos e intelectuales (062)",2968,2662,,284,14,8,
"Técnicos de nivel medio y trab. asimilados (063)",863,577,,242,35,8,1
"Jefes y empleados de oficina (064)",1394,1381,,10,,3,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (065)",3560,914,46,2114,94,390,2
"Agricult.trabaj. calif.agrop. y pesqueros (066)",152,,42,96,13,1,
"Obreros y oper.minas, cant., ind.manuf.y otros (067)",808,,427,351,13,17,
"Obreros construc.,conf., papel, fab., instr. (068)",113,8,28,75,,2,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (069)",3787,824,308,1445,36,88,1086
"Otra (070)",18,18,,,,,
"Ocupación no especificada (071)",651,223,57,273,20,78,
,,,,,,,
"RURAL (072)",3757,508,1165,1486,160,364,74
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (073)",13,13,,,,,
"Profes., científicos e intelectuales (074)",184,172,,12,,,
"Técnicos de nivel medio y trab. asimilados (075)",52,36,,10,6,,
"Jefes y empleados de oficina (076)",76,76,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (077)",211,63,2,129,5,12,
"Agricult.trabaj. calif.agrop. y pesqueros (078)",1175,4,3,1029,139,,
"Obreros y oper.minas, cant., ind.manuf.y otros (079)",162,,110,50,2,,
"Obreros construc.,conf., papel, fab., instr. (080)",277,37,73,158,6,3,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (081)",1570,93,969,85,1,348,74
"Otra (082)",8,8,,,,,
"Ocupación no especificada (083)",29,6,8,13,1,1,
"Hombres (084)",3198,277,1084,1336,153,345,3
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (085)",12,12,,,,,
"Profes., científicos e intelectuales (086)",60,52,,8,,,
"Técnicos de nivel medio y trab. asimilados (087)",34,22,,8,4,,
"Jefes y empleados de oficina (088)",31,31,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (089)",109,48,,52,4,5,
"Agricult.trabaj. calif.agrop. y pesqueros (090)",1160,4,3,1017,136,,
"Obreros y oper.minas, cant., ind.manuf.y otros (091)",119,,72,45,2,,
"Obreros construc.,conf., papel, fab., instr. (092)",273,37,72,155,6,3,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (093)",1377,61,934,41,1,337,3
"Otra (094)",8,8,,,,,
