"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia HUARI (000)",15743,1836,15,4516,4349,980,2393,426,1228
"Agric., ganadería, caza y silvicultura (001)",6561,1288,15,2984,1785,163,235,28,63
"Pesca (002)",4,,,2,2,,,,
"Explotación de minas y canteras (003)",1066,9,,71,267,130,271,104,214
"Industrias manufactureras (004)",377,27,,71,117,54,73,8,27
"Suministro de electricidad, gas y agua (005)",81,6,,26,28,5,13,,3
"Construcción (006)",1798,120,,488,721,110,193,41,125
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1080,61,,214,319,95,271,39,81
"Venta, mant.y rep. veh.autom.y motoc. (008)",174,1,,10,19,25,90,11,18
"Comercio al por mayor (009)",43,2,,6,19,5,4,,7
"Comercio al por menor (010)",863,58,,198,281,65,177,28,56
"Hoteles y restaurantes (011)",426,35,,105,173,37,44,15,17
"Trans., almac. y comunicaciones (012)",336,3,,44,143,47,58,14,27
"Intermediación financiera (013)",7,,,,,,3,1,3
"Activid.inmobil., empres. y de alquiler (014)",556,3,,32,159,106,110,52,94
"Admin.pub. y defensa; p. segur.soc.afil (015)",657,25,,114,197,61,158,23,79
"Enseñanza (016)",1259,,,8,67,83,713,54,334
"Servicios sociales y de salud (017)",234,,,3,16,7,105,12,91
"Otras activ. serv.comun.soc y personales (018)",443,43,,85,125,48,87,22,33
"Hogares privados con servicio doméstico (019)",223,52,,68,71,10,11,2,9
"Actividad economica no especificada (021)",635,164,,201,159,24,48,11,28
"Hombres (022)",12904,1333,13,3924,3771,828,1781,348,906
"Agric., ganadería, caza y silvicultura (023)",6115,1098,13,2825,1712,157,225,25,60
"Pesca (024)",4,,,2,2,,,,
"Explotación de minas y canteras (025)",1029,9,,71,263,125,262,104,195
"Industrias manufactureras (026)",338,21,,66,107,51,64,7,22
"Suministro de electricidad, gas y agua (027)",79,5,,26,27,5,13,,3
"Construcción (028)",1727,101,,476,699,110,187,40,114
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",657,12,,98,192,67,210,28,50
"Venta, mant.y rep. veh.autom.y motoc. (030)",170,,,9,19,25,89,11,17
"Comercio al por mayor (031)",24,1,,3,11,3,3,,3
"Comercio al por menor (032)",463,11,,86,162,39,118,17,30
"Hoteles y restaurantes (033)",163,5,,27,79,24,20,2,6
"Trans., almac. y comunicaciones (034)",308,3,,41,134,43,50,14,23
"Intermediación financiera (035)",5,,,,,,2,,3
"Activid.inmobil., empres. y de alquiler (036)",497,1,,29,154,99,95,49,70
"Admin.pub. y defensa; p. segur.soc.afil (037)",538,19,,102,170,52,114,18,63
"Enseñanza (038)",749,,,6,37,38,415,33,220
"Servicios sociales y de salud (039)",93,,,3,7,3,41,6,33
"Otras activ. serv.comun.soc y personales (040)",329,22,,69,104,38,56,17,23
"Hogares privados con servicio doméstico (041)",17,2,,5,4,1,4,,1
"Actividad economica no especificada (043)",256,35,,78,80,15,23,5,20
"Mujeres (044)",2839,503,2,592,578,152,612,78,322
"Agric., ganadería, caza y silvicultura (045)",446,190,2,159,73,6,10,3,3
