"CUADRO Nº 6: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia DOS DE MAYO (000)",12132,255,3632,4051,3134,1060
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (001)",33,,2,16,14,1
"Profes., científicos e intelectuales (002)",921,,156,547,212,6
"Técnicos de nivel medio y trab. asimilados (003)",190,4,61,78,44,3
"Jefes y empleados de oficina (004)",142,,51,55,35,1
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",760,2,217,285,209,47
"Agricult. trabaj. calif.agrop. y pesqueros (006)",3919,,749,1331,1273,566
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",361,3,145,108,78,27
"Obreros construc., conf., papel, fab., instr. (008)",353,,118,142,85,8
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (009)",5145,246,2022,1403,1106,368
"Otra (010)",28,,18,8,2,
"Ocupación no especificada (011)",280,,93,78,76,33
"Hombres (012)",9014,165,2764,2924,2333,828
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (013)",30,,2,15,12,1
"Profes., científicos e intelectuales (014)",496,,66,288,139,3
"Técnicos de nivel medio y trab. asimilados (015)",125,3,42,46,32,2
"Jefes y empleados de oficina (016)",77,,22,34,20,1
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",294,1,82,105,83,23
"Agricult. trabaj. calif.agrop. y pesqueros (018)",3421,,661,1180,1095,485
"Obreros y oper.minas, cant.,ind.manuf. y otros (019)",319,2,134,94,67,22
"Obreros construc., conf., papel, fab., instr. (020)",353,,118,142,85,8
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (021)",3756,159,1582,984,769,262
"Otra (022)",28,,18,8,2,
"Ocupación no especificada (023)",115,,37,28,29,21
"Mujeres (024)",3118,90,868,1127,801,232
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (025)",3,,,1,2,
"Profes., científicos e intelectuales (026)",425,,90,259,73,3
"Técnicos de nivel medio y trab. asimilados (027)",65,1,19,32,12,1
"Jefes y empleados de oficina (028)",65,,29,21,15,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",466,1,135,180,126,24
"Agricult. trabaj. calif.agrop. y pesqueros (030)",498,,88,151,178,81
"Obreros y oper.minas, cant.,ind.manuf. y otros (031)",42,1,11,14,11,5
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (033)",1389,87,440,419,337,106
"Ocupación no especificada (035)",165,,56,50,47,12
,,,,,,
