"CUADRO Nº 18: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia CAYLLOMA (000)",32467,3966,10687,12361,1103,4067,283
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",80,72,,,8,,
"Profes., científicos e intelectuales (002)",1123,944,,160,12,7,
"Técnicos de nivel medio y trab. asimilados (003)",885,434,,381,57,12,1
"Jefes y empleados de oficina (004)",568,565,,,,3,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",3423,735,52,2204,81,351,
"Agricult.trabaj. calif.agrop. y pesqueros (006)",7319,10,8,6453,844,4,
"Obreros y oper.minas, cant., ind.manuf.y otros (007)",2112,,1180,850,53,29,
"Obreros construc.,conf., papel, fab., instr. (008)",2476,209,1064,1162,24,17,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (009)",13693,776,8180,908,14,3533,282
"Otra (010)",115,115,,,,,
"Ocupación no especificada (011)",673,106,203,243,10,111,
"Hombres (012)",19896,2192,7359,7963,848,1505,29
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",58,54,,,4,,
"Profes., científicos e intelectuales (014)",576,453,,113,9,1,
"Técnicos de nivel medio y trab. asimilados (015)",570,275,,253,36,6,
"Jefes y empleados de oficina (016)",307,306,,,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",1085,327,27,654,26,51,
"Agricult.trabaj. calif.agrop. y pesqueros (018)",5522,7,8,4811,692,4,
"Obreros y oper.minas, cant., ind.manuf.y otros (019)",1643,,948,630,47,18,
"Obreros construc.,conf., papel, fab., instr. (020)",2334,205,1016,1075,23,15,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (021)",7378,404,5235,324,6,1380,29
"Otra (022)",110,110,,,,,
"Ocupación no especificada (023)",313,51,125,103,5,29,
"Mujeres (024)",12571,1774,3328,4398,255,2562,254
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",22,18,,,4,,
"Profes., científicos e intelectuales (026)",547,491,,47,3,6,
"Técnicos de nivel medio y trab. asimilados (027)",315,159,,128,21,6,1
"Jefes y empleados de oficina (028)",261,259,,,,2,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",2338,408,25,1550,55,300,
"Agricult.trabaj. calif.agrop. y pesqueros (030)",1797,3,,1642,152,,
"Obreros y oper.minas, cant., ind.manuf.y otros (031)",469,,232,220,6,11,
"Obreros construc.,conf., papel, fab., instr. (032)",142,4,48,87,1,2,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (033)",6315,372,2945,584,8,2153,253
"Otra (034)",5,5,,,,,
"Ocupación no especificada (035)",360,55,78,140,5,82,
,,,,,,,
"URBANA (036)",20948,3359,6493,8393,476,2004,223
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (037)",70,62,,,8,,
"Profes., científicos e intelectuales (038)",868,744,,114,7,3,
"Técnicos de nivel medio y trab. asimilados (039)",699,335,,304,48,11,1
"Jefes y empleados de oficina (040)",468,466,,,,2,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (041)",3112,655,34,2012,80,331,
"Agricult.trabaj. calif.agrop. y pesqueros (042)",3387,7,2,3136,241,1,
"Obreros y oper.minas, cant., ind.manuf.y otros (043)",1590,,752,764,52,22,
"Obreros construc.,conf., papel, fab., instr. (044)",2124,189,858,1041,23,13,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (045)",8031,703,4683,840,13,1570,222
"Otra (046)",101,101,,,,,
"Ocupación no especificada (047)",498,97,164,182,4,51,
"Hombres (048)",12347,1834,4355,5068,332,742,16
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (049)",51,47,,,4,,
"Profes., científicos e intelectuales (050)",445,356,,83,6,,
"Técnicos de nivel medio y trab. asimilados (051)",434,208,,190,30,6,
"Jefes y empleados de oficina (052)",247,246,,,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (053)",977,289,13,602,26,47,
"Agricult.trabaj. calif.agrop. y pesqueros (054)",2466,4,2,2268,191,1,
"Obreros y oper.minas, cant., ind.manuf.y otros (055)",1192,,544,588,46,14,
"Obreros construc.,conf., papel, fab., instr. (056)",1998,186,816,962,22,12,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (057)",4196,355,2878,295,5,647,16
"Otra (058)",96,96,,,,,
"Ocupación no especificada (059)",245,47,102,80,2,14,
"Mujeres (060)",8601,1525,2138,3325,144,1262,207
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (061)",19,15,,,4,,
"Profes., científicos e intelectuales (062)",423,388,,31,1,3,
"Técnicos de nivel medio y trab. asimilados (063)",265,127,,114,18,5,1
"Jefes y empleados de oficina (064)",221,220,,,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (065)",2135,366,21,1410,54,284,
"Agricult.trabaj. calif.agrop. y pesqueros (066)",921,3,,868,50,,
"Obreros y oper.minas, cant., ind.manuf.y otros (067)",398,,208,176,6,8,
"Obreros construc.,conf., papel, fab., instr. (068)",126,3,42,79,1,1,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (069)",3835,348,1805,545,8,923,206
"Otra (070)",5,5,,,,,
"Ocupación no especificada (071)",253,50,62,102,2,37,
,,,,,,,
"RURAL (072)",11519,607,4194,3968,627,2063,60
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (073)",10,10,,,,,
"Profes., científicos e intelectuales (074)",255,200,,46,5,4,
"Técnicos de nivel medio y trab. asimilados (075)",186,99,,77,9,1,
"Jefes y empleados de oficina (076)",100,99,,,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (077)",311,80,18,192,1,20,
"Agricult.trabaj. calif.agrop. y pesqueros (078)",3932,3,6,3317,603,3,
"Obreros y oper.minas, cant., ind.manuf.y otros (079)",522,,428,86,1,7,
"Obreros construc.,conf., papel, fab., instr. (080)",352,20,206,121,1,4,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (081)",5662,73,3497,68,1,1963,60
"Otra (082)",14,14,,,,,
"Ocupación no especificada (083)",175,9,39,61,6,60,
"Hombres (084)",7549,358,3004,2895,516,763,13
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (085)",7,7,,,,,
"Profes., científicos e intelectuales (086)",131,97,,30,3,1,
"Técnicos de nivel medio y trab. asimilados (087)",136,67,,63,6,,
"Jefes y empleados de oficina (088)",60,60,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (089)",108,38,14,52,,4,
"Agricult.trabaj. calif.agrop. y pesqueros (090)",3056,3,6,2543,501,3,
"Obreros y oper.minas, cant., ind.manuf.y otros (091)",451,,404,42,1,4,
"Obreros construc.,conf., papel, fab., instr. (092)",336,19,200,113,1,3,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (093)",3182,49,2357,29,1,733,13
"Otra (094)",14,14,,,,,
"Ocupación no especificada (095)",68,4,23,23,3,15,
"Mujeres (096)",3970,249,1190,1073,111,1300,47
