"CUADRO Nº 7: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia BOLIVAR (000)",5331,17586,15777,,409,89.7,2.3
"De 12 a 14 años (001)",702,2,2,,1,100,50
"De 15 a 19 años (002)",745,143,138,45,96.5,31.5,
"De 20 a 24 años (003)",506,693,677,91,97.7,13.1,
"De 25 a 29 años (004)",504,1184,1135,87,95.9,7.3,
"De 30 a 34 años (005)",479,1579,1510,71,95.6,4.5,
"De 35 a 39 años (006)",477,2103,1979,72,94.1,3.4,
"De 40 a 44 años (007)",437,2334,2161,35,92.6,1.5,
"De 45 a 49 años (008)",357,2069,1902,7,91.9,0.3,
"De 50 y más años (009)",1124,7479,6273,,83.9,,
"Sin nivel (010)",1140,6188,5356,72,86.6,1.2,
"De 12 a 14 años (011)",10,,,,,,
"De 15 a 19 años (012)",28,11,11,3,100,27.3,
"De 20 a 24 años (013)",49,88,88,9,100,10.2,
"De 25 a 29 años (014)",61,160,147,10,91.9,6.3,
"De 30 a 34 años (015)",103,413,386,17,93.5,4.1,
"De 35 a 39 años (016)",109,557,518,21,93,3.8,
"De 40 a 44 años (017)",105,555,509,10,91.7,1.8,
"De 45 a 49 años (018)",99,587,533,2,90.8,0.3,
"De 50 y más años (019)",576,3817,3164,,82.9,,
"Educacion Inicial (020)",6,7,7,2,100,28.6,
"De 15 a 19 años (022)",4,1,1,,100,,
"De 20 a 24 años (023)",2,6,6,2,100,33.3,
"Primaria (030)",2585,8674,7855,220,90.6,2.5,
"De 12 a 14 años (031)",475,2,2,1,100,50,
"De 15 a 19 años (032)",289,81,78,27,96.3,33.3,
"De 20 a 24 años (033)",263,424,412,54,97.2,12.7,
"De 25 a 29 años (034)",252,681,653,41,95.9,6,
"De 30 a 34 años (035)",214,816,782,39,95.8,4.8,
"De 35 a 39 años (036)",240,1153,1082,41,93.8,3.6,
"De 40 a 44 años (037)",213,1252,1160,16,92.7,1.3,
"De 45 a 49 años (038)",191,1167,1077,1,92.3,0.1,
"De 50 y más años (039)",448,3098,2609,,84.2,,
"Secundaria (040)",1107,1531,1441,72,94.1,4.7,
"De 12 a 14 años (041)",217,,,,,,
"De 15 a 19 años (042)",398,45,43,13,95.6,28.9,
"De 20 a 24 años (043)",123,117,113,17,96.6,14.5,
