"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia SATIPO (000)",193872,4384,72171,57794,34810,19758,4955
"Hombres (001)",103868,2236,37190,31345,18884,11248,2965
"Mujeres (002)",90004,2148,34981,26449,15926,8510,1990
"Viviendas particulares (003)",190821,4366,71925,56026,34126,19466,4912
"Hombres (004)",101496,2224,37083,29944,18317,10995,2933
"Mujeres (005)",89325,2142,34842,26082,15809,8471,1979
"Viviendas colectivas (006)",2509,14,192,1545,526,208,24
"Hombres (007)",1995,11,86,1244,454,182,18
"Mujeres (008)",514,3,106,301,72,26,6
"Otro tipo (009)",542,4,54,223,158,84,19
"Hombres (010)",377,1,21,157,113,71,14
"Mujeres (011)",165,3,33,66,45,13,5
,,,,,,,
"URBANA (012)",53531,986,17346,16297,10839,6510,1553
"Hombres (013)",27526,520,8824,8321,5457,3556,848
"Mujeres (014)",26005,466,8522,7976,5382,2954,705
"Viviendas particulares (015)",51152,968,17115,15106,10216,6237,1510
"Hombres (016)",25768,508,8723,7464,4938,3319,816
"Mujeres (017)",25384,460,8392,7642,5278,2918,694
"Viviendas colectivas (018)",1920,14,191,999,493,199,24
"Hombres (019)",1428,11,85,717,423,174,18
"Mujeres (020)",492,3,106,282,70,25,6
"Otro tipo (021)",459,4,40,192,130,74,19
"Hombres (022)",330,1,16,140,96,63,14
"Mujeres (023)",129,3,24,52,34,11,5
,,,,,,,
"RURAL (024)",140341,3398,54825,41497,23971,13248,3402
"Hombres (025)",76342,1716,28366,23024,13427,7692,2117
"Mujeres (026)",63999,1682,26459,18473,10544,5556,1285
"Viviendas particulares (027)",139669,3398,54810,40920,23910,13229,3402
"Hombres (028)",75728,1716,28360,22480,13379,7676,2117
"Mujeres (029)",63941,1682,26450,18440,10531,5553,1285
"Viviendas colectivas (030)",589,,1,546,33,9,
"Hombres (031)",567,,1,527,31,8,
"Mujeres (032)",22,,,19,2,1,
"Otro tipo (033)",83,,14,31,28,10,
"Hombres (034)",47,,5,17,17,8,
"Mujeres (035)",36,,9,14,11,2,
