"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia DOS DE MAYO (000)",10450,46797,3791,16222,6659,30575
"Casa independiente (001)",9027,40611,3711,15942,5316,24669
"Vivienda en quinta (003)",25,87,25,87,,
"Vivienda en casa de vecindad (004)",42,131,42,131,,
"Choza o cabaña (005)",1333,5878,,,1333,5878
"Vivienda improvisada (006)",5,21,5,21,,
"Local no dest.para hab. humana (007)",16,65,7,38,9,27
"Otro tipo (008)",2,4,1,3,1,1
