"CUADRO Nº 5: POBLACIÓN TOTAL, POR TENENCIA DE PARTIDA DE NACIMIENTO OTORGADO POR EL REGISTRO CIVIL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE PARTIDA NACIMIENTO",,
,,"TIENE PARTIDA DE NACIMIENTO","NO TIENE PARTIDA DE NACIMIENTO","NO ESPECIFICADO"
,,,,
"Provincia CANDARAVE (000)",8373,8319,34,20
"Hombres (001)",4379,4357,15,7
"Mujeres (002)",3994,3962,19,13
"Menores de 1 año (003)",107,91,10,6
"Hombres (004)",44,41,2,1
"Mujeres (005)",63,50,8,5
"De 1 a 5 años (006)",692,668,11,13
"Hombres (007)",347,331,10,6
"Mujeres (008)",345,337,1,7
"De 6 a 14 años (009)",1294,1294,,
"Hombres (010)",665,665,,
"Mujeres (011)",629,629,,
"De 15 a 29 años (012)",2008,2008,,
"Hombres (013)",1089,1089,,
"Mujeres (014)",919,919,,
"De 30 a 44 años (015)",1870,1870,,
"Hombres (016)",981,981,,
"Mujeres (017)",889,889,,
"De 45 a 64 años (018)",1543,1543,,
"Hombres (019)",827,827,,
"Mujeres (020)",716,716,,
"De 65 a más años (021)",859,845,13,1
"Hombres (022)",426,423,3,
"Mujeres (023)",433,422,10,1
,,,,
"URBANA (024)",5436,5403,19,14
"Hombres (025)",2799,2790,6,3
"Mujeres (026)",2637,2613,13,11
"Menores de 1 año (027)",71,58,7,6
"Hombres (028)",33,31,1,1
"Mujeres (029)",38,27,6,5
"De 1 a 5 años (030)",436,426,3,7
"Hombres (031)",220,215,3,2
"Mujeres (032)",216,211,,5
"De 6 a 14 años (033)",787,787,,
"Hombres (034)",412,412,,
"Mujeres (035)",375,375,,
"De 15 a 29 años (036)",1293,1293,,
"Hombres (037)",679,679,,
"Mujeres (038)",614,614,,
"De 30 a 44 años (039)",1239,1239,,
"Hombres (040)",646,646,,
"Mujeres (041)",593,593,,
"De 45 a 64 años (042)",1041,1041,,
"Hombres (043)",543,543,,
"Mujeres (044)",498,498,,
"De 65 a más años (045)",569,559,9,1
"Hombres (046)",266,264,2,
"Mujeres (047)",303,295,7,1
,,,,
"RURAL (048)",2937,2916,15,6
"Hombres (049)",1580,1567,9,4
"Mujeres (050)",1357,1349,6,2
"Menores de 1 año (051)",36,33,3,
"Hombres (052)",11,10,1,
"Mujeres (053)",25,23,2,
"De 1 a 5 años (054)",256,242,8,6
"Hombres (055)",127,116,7,4
"Mujeres (056)",129,126,1,2
"De 6 a 14 años (057)",507,507,,
"Hombres (058)",253,253,,
"Mujeres (059)",254,254,,
"De 15 a 29 años (060)",715,715,,
"Hombres (061)",410,410,,
"Mujeres (062)",305,305,,
"De 30 a 44 años (063)",631,631,,
"Hombres (064)",335,335,,
"Mujeres (065)",296,296,,
"De 45 a 64 años (066)",502,502,,
"Hombres (067)",284,284,,
"Mujeres (068)",218,218,,
"De 65 a más años (069)",290,286,4,
"Hombres (070)",160,159,1,
"Mujeres (071)",130,127,3,
