"CUADRO Nº 10: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia HUAURA (000)",55397,796,2062,4136,6818,11302,16009,14274
"De 12 a 14 años (001)",57,,,,,,3,54
"De 15 a 19 años (002)",1207,,,,,,689,518
"De 20 a 24 años (003)",5412,,,,,22,2902,2488
"De 25 a 29 años (004)",6731,,,,,402,3933,2396
"De 30 a 34 años (005)",6836,,,,1,1321,3720,1794
"De 35 a 39 años (006)",6505,,,,84,2371,2689,1361
"De 40 a 44 años (007)",5838,,,2,502,2763,1512,1059
"De 45 a 49 años (008)",4862,,,51,1127,2318,494,872
"De 50 y más años (009)",17949,796,2062,4083,5104,2105,67,3732
"Sin nivel (010)",4932,178,429,770,861,852,579,1263
"De 15 a 19 años (012)",5,,,,,,4,1
"De 20 a 24 años (013)",75,,,,,,42,33
"De 25 a 29 años (014)",131,,,,,9,79,43
"De 30 a 34 años (015)",281,,,,,58,156,67
"De 35 a 39 años (016)",333,,,,2,115,150,66
"De 40 a 44 años (017)",356,,,,18,170,86,82
"De 45 a 49 años (018)",401,,,3,78,189,55,76
"De 50 y más años (019)",3350,178,429,767,763,311,7,895
"Educacion Inicial (020)",42,,,,,5,19,18
"De 15 a 19 años (022)",1,,,,,,1,
"De 20 a 24 años (023)",11,,,,,,4,7
"De 25 a 29 años (024)",5,,,,,,3,2
"De 30 a 34 años (025)",16,,,,,2,8,6
"De 35 a 39 años (026)",9,,,,,3,3,3
"Primaria (030)",14656,463,1097,1991,2629,2972,2639,2865
"De 12 a 14 años (031)",24,,,,,,1,23
"De 15 a 19 años (032)",185,,,,,,119,66
"De 20 a 24 años (033)",569,,,,,4,362,203
"De 25 a 29 años (034)",817,,,,,52,555,210
"De 30 a 34 años (035)",1021,,,,,223,565,233
"De 35 a 39 años (036)",1202,,,,14,495,513,180
"De 40 a 44 años (037)",1358,,,1,136,656,332,233
"De 45 a 49 años (038)",1439,,,17,326,701,166,229
"De 50 y más años (039)",8041,463,1097,1973,2153,841,26,1488
"Secundaria (040)",19045,86,312,730,1769,4181,7196,4771
"De 12 a 14 años (041)",33,,,,,,2,31
"De 15 a 19 años (042)",877,,,,,,494,383
"De 20 a 24 años (043)",2780,,,,,11,1671,1098
"De 25 a 29 años (044)",3008,,,,,215,1903,890
"De 30 a 34 años (045)",2732,,,,1,631,1522,578
"De 35 a 39 años (046)",2522,,,,49,1022,942,509
"De 40 a 44 años (047)",2081,,,,207,1049,502,323
"De 45 a 49 años (048)",1577,,,19,389,778,143,248
"De 50 y más años (049)",3435,86,312,711,1123,475,17,711
