"CUADRO Nº 5: POBLACIÓN TOTAL, POR TENENCIA DE PARTIDA DE NACIMIENTO OTORGADO POR EL REGISTRO CIVIL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE PARTIDA NACIMIENTO",,
,,"TIENE PARTIDA DE NACIMIENTO","NO TIENE PARTIDA DE NACIMIENTO","NO ESPECIFICADO"
,,,,
"Provincia CASTILLA (000)",38425,38043,277,105
"Hombres (001)",20269,20120,102,47
"Mujeres (002)",18156,17923,175,58
"Menores de 1 año (003)",664,580,67,17
"Hombres (004)",332,289,34,9
"Mujeres (005)",332,291,33,8
"De 1 a 5 años (006)",3900,3750,78,72
"Hombres (007)",1957,1885,36,36
"Mujeres (008)",1943,1865,42,36
"De 6 a 14 años (009)",6947,6941,3,3
"Hombres (010)",3552,3551,1,
"Mujeres (011)",3395,3390,2,3
"De 15 a 29 años (012)",9150,9149,1,
"Hombres (013)",4851,4851,,
"Mujeres (014)",4299,4298,1,
"De 30 a 44 años (015)",8370,8362,7,1
"Hombres (016)",4537,4534,3,
"Mujeres (017)",3833,3828,4,1
"De 45 a 64 años (018)",6262,6234,22,6
"Hombres (019)",3460,3452,6,2
"Mujeres (020)",2802,2782,16,4
"De 65 a más años (021)",3132,3027,99,6
"Hombres (022)",1580,1558,22,
"Mujeres (023)",1552,1469,77,6
,,,,
"URBANA (024)",21913,21720,137,56
"Hombres (025)",11299,11223,51,25
"Mujeres (026)",10614,10497,86,31
"Menores de 1 año (027)",399,357,34,8
"Hombres (028)",197,176,17,4
"Mujeres (029)",202,181,17,4
"De 1 a 5 años (030)",2243,2163,39,41
"Hombres (031)",1125,1085,19,21
"Mujeres (032)",1118,1078,20,20
"De 6 a 14 años (033)",4094,4092,1,1
"Hombres (034)",2076,2076,,
"Mujeres (035)",2018,2016,1,1
"De 15 a 29 años (036)",5335,5335,,
"Hombres (037)",2746,2746,,
"Mujeres (038)",2589,2589,,
"De 30 a 44 años (039)",4842,4836,5,1
"Hombres (040)",2504,2503,1,
"Mujeres (041)",2338,2333,4,1
"De 45 a 64 años (042)",3427,3417,8,2
"Hombres (043)",1872,1870,2,
"Mujeres (044)",1555,1547,6,2
"De 65 a más años (045)",1573,1520,50,3
"Hombres (046)",779,767,12,
"Mujeres (047)",794,753,38,3
,,,,
"RURAL (048)",16512,16323,140,49
"Hombres (049)",8970,8897,51,22
"Mujeres (050)",7542,7426,89,27
"Menores de 1 año (051)",265,223,33,9
"Hombres (052)",135,113,17,5
"Mujeres (053)",130,110,16,4
"De 1 a 5 años (054)",1657,1587,39,31
"Hombres (055)",832,800,17,15
"Mujeres (056)",825,787,22,16
"De 6 a 14 años (057)",2853,2849,2,2
"Hombres (058)",1476,1475,1,
"Mujeres (059)",1377,1374,1,2
"De 15 a 29 años (060)",3815,3814,1,
"Hombres (061)",2105,2105,,
"Mujeres (062)",1710,1709,1,
"De 30 a 44 años (063)",3528,3526,2,
"Hombres (064)",2033,2031,2,
"Mujeres (065)",1495,1495,,
"De 45 a 64 años (066)",2835,2817,14,4
"Hombres (067)",1588,1582,4,2
"Mujeres (068)",1247,1235,10,2
"De 65 a más años (069)",1559,1507,49,3
"Hombres (070)",801,791,10,
"Mujeres (071)",758,716,39,3
