"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia SANTIAGO DE CHUCO (000)",15421,10449,730,804,3438
"Sin nivel (001)",1496,1357,37,31,71
"Educación inicial (002)",9,6,,,3
"Primaria (003)",6840,6039,229,130,442
"Secundaria (004)",3324,1923,178,197,1026
"Superior no univ. incompleta (005)",721,276,48,64,333
"Superior no univ. completa (006)",1714,481,126,168,939
"Superior univ. incompleta (007)",321,115,19,41,146
"Superior univ. completa (008)",996,252,93,173,478
"De 06 a 14 años (010)",232,223,8,1,
"Sin nivel (011)",26,25,1,,
"Educación inicial (012)",1,1,,,
"Primaria (013)",170,164,5,1,
"Secundaria (014)",35,33,2,,
"De 15 a 29 años (020)",5199,3465,277,246,1211
"Sin nivel (021)",165,148,5,7,5
"Educación inicial (022)",6,4,,,2
"Primaria (023)",2217,1949,89,51,128
"Secundaria (024)",1558,973,101,85,399
"Superior no univ. incompleta (025)",315,122,19,28,146
"Superior no univ. completa (026)",647,184,43,44,376
"Superior univ. incompleta (027)",74,35,3,6,30
"Superior univ. completa (028)",217,50,17,25,125
"De 30 a 44 años (030)",5547,3232,294,377,1644
"Sin nivel (031)",454,383,13,8,50
"Educación inicial (032)",2,1,,,1
"Primaria (033)",2091,1784,80,42,185
"Secundaria (034)",1192,591,61,82,458
"Superior no univ. incompleta (035)",306,104,24,28,150
"Superior no univ. completa (036)",782,177,61,86,458
"Superior univ. incompleta (037)",184,54,11,30,89
"Superior univ. completa (038)",536,138,44,101,253
"De 45 a 64 años (040)",3297,2429,135,170,563
"Sin nivel (041)",491,451,12,14,14
"Primaria (043)",1678,1479,46,30,123
"Secundaria (044)",497,289,14,30,164
"Superior no univ. incompleta (045)",88,39,5,7,37
"Superior no univ. completa (046)",260,98,22,37,103
"Superior univ. incompleta (047)",59,22,5,5,27
"Superior univ. completa (048)",224,51,31,47,95
"De 65 y más años (050)",1146,1100,16,10,20
"Sin nivel (051)",360,350,6,2,2
"Primaria (053)",684,663,9,6,6
"Secundaria (054)",42,37,,,5
"Superior no univ. incompleta (055)",12,11,,1,
"Superior no univ. completa (056)",25,22,,1,2
"Superior univ. incompleta (057)",4,4,,,
"Superior univ. completa (058)",19,13,1,,5
,,,,,
