"CUADRO Nº 8: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia CHURCAMPA (000)",15498,50413,43048,,884,85.4,1.8
"De 12 a 14 años (001)",1949,7,7,,,100,
"De 15 a 19 años (002)",2016,448,439,122,98,27.2,
"De 20 a 24 años (003)",1608,1916,1850,211,96.6,11,
"De 25 a 29 años (004)",1417,3218,3079,186,95.7,5.8,
"De 30 a 34 años (005)",1322,4294,4023,133,93.7,3.1,
"De 35 a 39 años (006)",1264,5435,4983,146,91.7,2.7,
"De 40 a 44 años (007)",1130,6246,5565,76,89.1,1.2,
"De 45 a 49 años (008)",1007,6043,5148,10,85.2,0.2,
"De 50 y más años (009)",3785,22806,17954,,78.7,,
"Conviviente (010)",2466,6069,5645,397,93,6.5,
"De 12 a 14 años (011)",15,3,3,,100,,
"De 15 a 19 años (012)",332,303,296,89,97.7,29.4,
"De 20 a 24 años (013)",707,1100,1058,142,96.2,12.9,
"De 25 a 29 años (014)",488,1129,1088,78,96.4,6.9,
"De 30 a 34 años (015)",350,997,959,46,96.2,4.6,
"De 35 a 39 años (016)",216,832,777,32,93.4,3.8,
"De 40 a 44 años (017)",135,598,547,9,91.5,1.5,
"De 45 a 49 años (018)",76,385,348,1,90.4,0.3,
"De 50 y más años (019)",147,722,569,,78.8,,
"Separado(a) (020)",513,1421,1294,39,91.1,2.7,
"De 12 a 14 años (021)",2,,,,,,
"De 15 a 19 años (022)",39,34,34,11,100,32.4,
"De 20 a 24 años (023)",86,117,111,15,94.9,12.8,
"De 25 a 29 años (024)",63,120,116,4,96.7,3.3,
"De 30 a 34 años (025)",54,120,115,4,95.8,3.3,
"De 35 a 39 años (026)",66,198,180,5,90.9,2.5,
"De 40 a 44 años (027)",62,231,215,,93.1,,
"De 45 a 49 años (028)",45,184,163,,88.6,,
"De 50 y más años (029)",96,417,360,,86.3,,
"Casado(a) (030)",6026,32469,28018,409,86.3,1.3,
"De 12 a 14 años (031)",2,2,2,,100,,
"De 15 a 19 años (032)",50,57,56,10,98.2,17.5,
"De 20 a 24 años (033)",292,580,565,44,97.4,7.6,
"De 25 a 29 años (034)",586,1819,1733,97,95.3,5.3,
"De 30 a 34 años (035)",751,2962,2741,78,92.5,2.6,
"De 35 a 39 años (036)",835,4098,3740,108,91.3,2.6,
"De 40 a 44 años (037)",790,4962,4413,64,88.9,1.3,
