"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia RIOJA (000)",27581,19799,7782
"Casa independiente (001)",25476,18125,7351
"Departamento en edificio (002)",74,74,
"Vivienda en quinta (003)",878,878,
"Vivienda en casa de vecindad (004)",394,394,
"Choza o cabaña (005)",428,,428
"Vivienda improvisada (006)",259,259,
"Local no dest.para hab. humana (007)",66,63,3
"Otro tipo (008)",6,6,
