"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CASTILLA (000)",16479,10234,2059,1820,2366
"Hombres (001)",11486,6728,1474,1278,2006
"Mujeres (002)",4993,3506,585,542,360
"De 06 a 14 años (003)",238,200,24,13,1
"Hombres (004)",159,134,16,8,1
"Mujeres (005)",79,66,8,5,
"De 15 a 29 años (006)",4681,2667,663,674,677
"Hombres (007)",3227,1671,494,489,573
"Mujeres (008)",1454,996,169,185,104
"De 30 a 44 años (009)",6007,3274,804,716,1213
"Hombres (010)",4122,2047,554,490,1031
"Mujeres (011)",1885,1227,250,226,182
"De 45 a 64 años (012)",4265,2948,486,377,454
"Hombres (013)",3020,2028,342,266,384
"Mujeres (014)",1245,920,144,111,70
"De 65 y más años (015)",1288,1145,82,40,21
"Hombres (016)",958,848,68,25,17
"Mujeres (017)",330,297,14,15,4
,,,,,
"URBANA (018)",9468,5695,1125,1137,1511
"Hombres (019)",6202,3444,755,786,1217
"Mujeres (020)",3266,2251,370,351,294
"De 06 a 14 años (021)",171,138,21,11,1
"Hombres (022)",114,92,15,6,1
"Mujeres (023)",57,46,6,5,
"De 15 a 29 años (024)",2712,1561,367,383,401
"Hombres (025)",1780,909,264,284,323
"Mujeres (026)",932,652,103,99,78
"De 30 a 44 años (027)",3538,1878,430,472,758
"Hombres (028)",2249,1057,269,318,605
"Mujeres (029)",1289,821,161,154,153
"De 45 a 64 años (030)",2408,1563,262,246,337
"Hombres (031)",1613,998,172,166,277
"Mujeres (032)",795,565,90,80,60
"De 65 y más años (033)",639,555,45,25,14
"Hombres (034)",446,388,35,12,11
"Mujeres (035)",193,167,10,13,3
,,,,,
"RURAL (036)",7011,4539,934,683,855
"Hombres (037)",5284,3284,719,492,789
"Mujeres (038)",1727,1255,215,191,66
"De 06 a 14 años (039)",67,62,3,2,
"Hombres (040)",45,42,1,2,
"Mujeres (041)",22,20,2,,
"De 15 a 29 años (042)",1969,1106,296,291,276
"Hombres (043)",1447,762,230,205,250
"Mujeres (044)",522,344,66,86,26
"De 30 a 44 años (045)",2469,1396,374,244,455
"Hombres (046)",1873,990,285,172,426
"Mujeres (047)",596,406,89,72,29
"De 45 a 64 años (048)",1857,1385,224,131,117
"Hombres (049)",1407,1030,170,100,107
"Mujeres (050)",450,355,54,31,10
"De 65 y más años (051)",649,590,37,15,7
"Hombres (052)",512,460,33,13,6
"Mujeres (053)",137,130,4,2,1
