"CUADRO Nº 5: POBLACIÓN TOTAL, POR TENENCIA DE PARTIDA DE NACIMIENTO OTORGADO POR EL REGISTRO CIVIL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE PARTIDA NACIMIENTO",,
,,"TIENE PARTIDA DE NACIMIENTO","NO TIENE PARTIDA DE NACIMIENTO","NO ESPECIFICADO"
,,,,
"Provincia PARINACOCHAS (000)",30007,29628,233,146
"Hombres (001)",15122,14965,88,69
"Mujeres (002)",14885,14663,145,77
"Menores de 1 año (003)",546,465,58,23
"Hombres (004)",278,244,27,7
"Mujeres (005)",268,221,31,16
"De 1 a 5 años (006)",3315,3129,72,114
"Hombres (007)",1694,1595,41,58
"Mujeres (008)",1621,1534,31,56
"De 6 a 14 años (009)",6433,6424,4,5
"Hombres (010)",3263,3261,,2
"Mujeres (011)",3170,3163,4,3
"De 15 a 29 años (012)",7065,7061,4,
"Hombres (013)",3673,3671,2,
"Mujeres (014)",3392,3390,2,
"De 30 a 44 años (015)",5365,5358,5,2
"Hombres (016)",2770,2767,2,1
"Mujeres (017)",2595,2591,3,1
"De 45 a 64 años (018)",4395,4378,17,
"Hombres (019)",2198,2194,4,
"Mujeres (020)",2197,2184,13,
"De 65 a más años (021)",2888,2813,73,2
"Hombres (022)",1246,1233,12,1
"Mujeres (023)",1642,1580,61,1
,,,,
"URBANA (024)",17340,17157,101,82
"Hombres (025)",8612,8532,42,38
"Mujeres (026)",8728,8625,59,44
"Menores de 1 año (027)",305,260,35,10
"Hombres (028)",163,142,17,4
"Mujeres (029)",142,118,18,6
"De 1 a 5 años (030)",1920,1811,39,70
"Hombres (031)",956,903,21,32
"Mujeres (032)",964,908,18,38
"De 6 a 14 años (033)",3714,3713,,1
"Hombres (034)",1919,1918,,1
"Mujeres (035)",1795,1795,,
"De 15 a 29 años (036)",4347,4346,1,
"Hombres (037)",2196,2195,1,
"Mujeres (038)",2151,2151,,
"De 30 a 44 años (039)",3249,3247,2,
"Hombres (040)",1596,1596,,
"Mujeres (041)",1653,1651,2,
"De 45 a 64 años (042)",2382,2379,3,
"Hombres (043)",1193,1193,,
"Mujeres (044)",1189,1186,3,
"De 65 a más años (045)",1423,1401,21,1
"Hombres (046)",589,585,3,1
"Mujeres (047)",834,816,18,
,,,,
"RURAL (048)",12667,12471,132,64
"Hombres (049)",6510,6433,46,31
"Mujeres (050)",6157,6038,86,33
"Menores de 1 año (051)",241,205,23,13
"Hombres (052)",115,102,10,3
"Mujeres (053)",126,103,13,10
"De 1 a 5 años (054)",1395,1318,33,44
"Hombres (055)",738,692,20,26
"Mujeres (056)",657,626,13,18
"De 6 a 14 años (057)",2719,2711,4,4
"Hombres (058)",1344,1343,,1
"Mujeres (059)",1375,1368,4,3
"De 15 a 29 años (060)",2718,2715,3,
"Hombres (061)",1477,1476,1,
"Mujeres (062)",1241,1239,2,
"De 30 a 44 años (063)",2116,2111,3,2
"Hombres (064)",1174,1171,2,1
"Mujeres (065)",942,940,1,1
"De 45 a 64 años (066)",2013,1999,14,
"Hombres (067)",1005,1001,4,
"Mujeres (068)",1008,998,10,
"De 65 a más años (069)",1465,1412,52,1
"Hombres (070)",657,648,9,
"Mujeres (071)",808,764,43,1
