"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia OTUZCO (000)",28553,26447,956,622,528
"Sin nivel (001)",3609,3542,55,7,5
"Educación inicial (002)",53,51,2,,
"Primaria (003)",17659,17078,382,151,48
"Secundaria (004)",4507,4137,161,94,115
"Superior no univ. incompleta (005)",479,375,45,30,29
"Superior no univ. completa (006)",1310,789,174,178,169
"Superior univ. incompleta (007)",228,146,25,27,30
"Superior univ. completa (008)",708,329,112,135,132
"De 06 a 14 años (010)",1038,1012,20,5,1
"Sin nivel (011)",135,132,3,,
"Educación inicial (012)",10,9,1,,
"Primaria (013)",774,756,15,3,
"Secundaria (014)",119,115,1,2,1
"De 15 a 29 años (020)",9824,9085,391,188,160
"Sin nivel (021)",460,442,14,2,2
"Educación inicial (022)",35,34,1,,
"Primaria (023)",6010,5759,170,66,15
"Secundaria (024)",2430,2241,96,46,47
"Superior no univ. incompleta (025)",249,206,25,12,6
"Superior no univ. completa (026)",426,285,56,37,48
"Superior univ. incompleta (027)",75,48,10,6,11
"Superior univ. completa (028)",139,70,19,19,31
"De 30 a 44 años (030)",8819,7910,367,299,243
"Sin nivel (031)",1055,1034,18,1,2
"Educación inicial (032)",8,8,,,
"Primaria (033)",5176,4996,118,46,16
"Secundaria (034)",1320,1206,42,30,42
"Superior no univ. incompleta (035)",158,119,13,12,14
"Superior no univ. completa (036)",672,353,106,119,94
"Superior univ. incompleta (037)",84,48,11,14,11
"Superior univ. completa (038)",346,146,59,77,64
"De 45 a 64 años (040)",6415,6030,151,122,112
"Sin nivel (041)",1213,1192,16,4,1
"Primaria (043)",4148,4040,60,34,14
"Secundaria (044)",568,511,21,14,22
"Superior no univ. incompleta (045)",63,43,6,6,8
"Superior no univ. completa (046)",181,122,12,21,26
"Superior univ. incompleta (047)",53,37,3,6,7
"Superior univ. completa (048)",189,85,33,37,34
"De 65 y más años (050)",2457,2410,27,8,12
"Sin nivel (051)",746,742,4,,
"Primaria (053)",1551,1527,19,2,3
"Secundaria (054)",70,64,1,2,3
"Superior no univ. incompleta (055)",9,7,1,,1
"Superior no univ. completa (056)",31,29,,1,1
"Superior univ. incompleta (057)",16,13,1,1,1
"Superior univ. completa (058)",34,28,1,2,3
,,,,,
