"CUADRO Nº 39: POBLACIÓN ECONÓMICAMENTE INACTIVA DE 6 Y MÁS AÑOS , POR ACTIVIDAD NO LABORAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"ACTIVIDAD NO LABORAL",,,,,,,,
,,"ESTUDIANDO Y NO TRABAJO","VIVIENDO DE SU PENSIÓN Y JUBILACIÓN","VIVIENDO DE SUS RENTAS","AL CUIDADO DE SU HOGAR","POR SU EDAD","DE VIAJE",DISCAPACITADO,"SERVICIO MILITAR",OTRA
,,,,,,,,,,
"Provincia CANTA (000)",5851,2860,154,188,2407,131,3,3,2,103
"Hombres (001)",2123,1406,98,116,363,66,1,2,2,69
"Mujeres (002)",3728,1454,56,72,2044,65,2,1,,34
"De 06 a 14 años (003)",2227,2125,,,63,24,,1,,14
"Hombres (004)",1086,1049,,,19,11,,1,,6
"Mujeres (005)",1141,1076,,,44,13,,,,8
"De 15 a 29 años (006)",1451,712,3,10,690,,,1,2,33
"Hombres (007)",483,351,1,8,94,,,,2,27
"Mujeres (008)",968,361,2,2,596,,,1,,6
"De 30 a 44 años (009)",641,11,2,24,583,,,1,,20
"Hombres (010)",91,3,1,12,60,,,1,,14
"Mujeres (011)",550,8,1,12,523,,,,,6
"De 45 a 64 años (012)",613,9,38,44,506,,2,,,14
"Hombres (013)",136,2,19,30,73,,1,,,11
"Mujeres (014)",477,7,19,14,433,,1,,,3
"De 65 y más años (015)",919,3,111,110,565,107,1,,,22
"Hombres (016)",327,1,77,66,117,55,,,,11
"Mujeres (017)",592,2,34,44,448,52,1,,,11
,,,,,,,,,,
"AREA URBANA (018)",2861,1329,88,100,1220,82,,1,,41
"Hombres (019)",1089,656,57,52,262,36,,,,26
"Mujeres (020)",1772,673,31,48,958,46,,1,,15
"De 06 a 14 años (021)",1044,990,,,37,11,,,,6
"Hombres (022)",513,495,,,12,3,,,,3
"Mujeres (023)",531,495,,,25,8,,,,3
"De 15 a 29 años (024)",606,329,2,4,262,,,1,,8
"Hombres (025)",228,156,1,3,62,,,,,6
"Mujeres (026)",378,173,1,1,200,,,1,,2
"De 30 a 44 años (027)",283,5,1,8,262,,,,,7
"Hombres (028)",56,2,,2,48,,,,,4
"Mujeres (029)",227,3,1,6,214,,,,,3
"De 45 a 64 años (030)",353,3,19,23,304,,,,,4
"Hombres (031)",83,2,9,14,54,,,,,4
"Mujeres (032)",270,1,10,9,250,,,,,
"De 65 y más años (033)",575,2,66,65,355,71,,,,16
"Hombres (034)",209,1,47,33,86,33,,,,9
"Mujeres (035)",366,1,19,32,269,38,,,,7
,,,,,,,,,,
"AREA RURAL (036)",2990,1531,66,88,1187,49,3,2,2,62
"Hombres (037)",1034,750,41,64,101,30,1,2,2,43
"Mujeres (038)",1956,781,25,24,1086,19,2,,,19
"De 06 a 14 años (039)",1183,1135,,,26,13,,1,,8
"Hombres (040)",573,554,,,7,8,,1,,3
"Mujeres (041)",610,581,,,19,5,,,,5
"De 15 a 29 años (042)",845,383,1,6,428,,,,2,25
"Hombres (043)",255,195,,5,32,,,,2,21
"Mujeres (044)",590,188,1,1,396,,,,,4
"De 30 a 44 años (045)",358,6,1,16,321,,,1,,13
"Hombres (046)",35,1,1,10,12,,,1,,10
"Mujeres (047)",323,5,,6,309,,,,,3
"De 45 a 64 años (048)",260,6,19,21,202,,2,,,10
"Hombres (049)",53,,10,16,19,,1,,,7
"Mujeres (050)",207,6,9,5,183,,1,,,3
"De 65 y más años (051)",344,1,45,45,210,36,1,,,6
"Hombres (052)",118,,30,33,31,22,,,,2
"Mujeres (053)",226,1,15,12,179,14,1,,,4
