"CUADRO Nº 29: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia MORROPON (000)",46647,6164,10216,23089,854,5514,810
"Sin nivel (001)",5854,182,1380,3296,122,782,92
"Educación inicial (002)",45,2,14,15,,10,4
"Primaria (003)",19437,680,4820,10703,362,2533,339
"Secundaria (004)",13886,1543,3332,6666,245,1813,287
"Superior no univ. incompleta (005)",1708,512,241,741,34,147,33
"Superior no univ. completa (006)",2704,1478,228,810,39,124,25
"Superior univ. incompleta (007)",914,369,106,347,18,56,18
"Superior univ. completa (008)",2099,1398,95,511,34,49,12
"Hombres (010)",36218,3325,9236,18756,737,4133,31
"Sin nivel (011)",4524,100,1205,2646,111,458,4
"Educación inicial (012)",38,2,13,13,,10,
"Primaria (013)",16004,445,4340,8931,315,1960,13
"Secundaria (014)",11270,1045,3087,5452,212,1464,10
"Superior no univ. incompleta (015)",1107,243,215,521,25,102,1
"Superior no univ. completa (016)",1497,637,200,548,33,78,1
"Superior univ. incompleta (017)",587,172,94,272,15,33,1
"Superior univ. completa (018)",1191,681,82,373,26,28,1
"Mujeres (020)",10429,2839,980,4333,117,1381,779
"Sin nivel (021)",1330,82,175,650,11,324,88
"Educación inicial (022)",7,,1,2,,,4
"Primaria (023)",3433,235,480,1772,47,573,326
"Secundaria (024)",2616,498,245,1214,33,349,277
"Superior no univ. incompleta (025)",601,269,26,220,9,45,32
"Superior no univ. completa (026)",1207,841,28,262,6,46,24
"Superior univ. incompleta (027)",327,197,12,75,3,23,17
"Superior univ. completa (028)",908,717,13,138,8,21,11
,,,,,,,
"URBANA (030)",28690,5445,6081,13872,614,2037,641
"Sin nivel (031)",2797,147,741,1546,84,202,77
"Educación inicial (032)",29,2,12,10,,1,4
"Primaria (033)",9710,573,2543,5361,225,770,238
"Secundaria (034)",9676,1398,2220,4812,191,812,243
"Superior no univ. incompleta (035)",1464,454,207,646,31,98,28
"Superior no univ. completa (036)",2308,1284,182,709,33,77,23
"Superior univ. incompleta (037)",800,327,90,312,18,37,16
"Superior univ. completa (038)",1906,1260,86,476,32,40,12
"Hombres (040)",20631,2928,5410,10437,508,1324,24
"Sin nivel (041)",2040,78,631,1151,73,104,3
"Educación inicial (042)",23,2,11,9,,1,
"Primaria (043)",7331,374,2242,4013,184,508,10
"Secundaria (044)",7490,944,2033,3775,160,571,7
"Superior no univ. incompleta (045)",925,215,184,442,23,60,1
"Superior no univ. completa (046)",1227,540,157,462,28,39,1
"Superior univ. incompleta (047)",513,156,78,243,15,20,1
"Superior univ. completa (048)",1082,619,74,342,25,21,1
"Mujeres (050)",8059,2517,671,3435,106,713,617
"Sin nivel (051)",757,69,110,395,11,98,74
"Educación inicial (052)",6,,1,1,,,4
"Primaria (053)",2379,199,301,1348,41,262,228
"Secundaria (054)",2186,454,187,1037,31,241,236
"Superior no univ. incompleta (055)",539,239,23,204,8,38,27
"Superior no univ. completa (056)",1081,744,25,247,5,38,22
"Superior univ. incompleta (057)",287,171,12,69,3,17,15
"Superior univ. completa (058)",824,641,12,134,7,19,11
,,,,,,,
"RURAL (060)",17957,719,4135,9217,240,3477,169
"Sin nivel (061)",3057,35,639,1750,38,580,15
"Educación inicial (062)",16,,2,5,,9,
"Primaria (063)",9727,107,2277,5342,137,1763,101
"Secundaria (064)",4210,145,1112,1854,54,1001,44
"Superior no univ. incompleta (065)",244,58,34,95,3,49,5
"Superior no univ. completa (066)",396,194,46,101,6,47,2
"Superior univ. incompleta (067)",114,42,16,35,,19,2
"Superior univ. completa (068)",193,138,9,35,2,9,
"Hombres (070)",15587,397,3826,8319,229,2809,7
"Sin nivel (071)",2484,22,574,1495,38,354,1
"Educación inicial (072)",15,,2,4,,9,
"Primaria (073)",8673,71,2098,4918,131,1452,3
"Secundaria (074)",3780,101,1054,1677,52,893,3
"Superior no univ. incompleta (075)",182,28,31,79,2,42,
"Superior no univ. completa (076)",270,97,43,86,5,39,
"Superior univ. incompleta (077)",74,16,16,29,,13,
"Superior univ. completa (078)",109,62,8,31,1,7,
"Mujeres (080)",2370,322,309,898,11,668,162
"Sin nivel (081)",573,13,65,255,,226,14
"Educación inicial (082)",1,,,1,,,
"Primaria (083)",1054,36,179,424,6,311,98
"Secundaria (084)",430,44,58,177,2,108,41
"Superior no univ. incompleta (085)",62,30,3,16,1,7,5
"Superior no univ. completa (086)",126,97,3,15,1,8,2
"Superior univ. incompleta (087)",40,26,,6,,6,2
"Superior univ. completa (088)",84,76,1,4,1,2,
