"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CONDORCANQUI (000)",10367,9181,333,141,712
"Agric., ganadería, caza y silvicultura (001)",8047,7880,144,21,2
"Pesca (002)",41,39,2,,
"Explotación de minas y canteras (003)",21,11,5,4,1
"Industrias manufactureras (004)",108,100,8,,
"Suministro de electricidad, gas y agua (005)",1,,,1,
"Construcción (006)",166,127,30,6,3
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",306,296,5,1,4
"Venta, mant.y rep. veh.autom y motoc. (008)",18,16,1,,1
"Comercio al por mayor (009)",17,13,,1,3
"Comercio al por menor (010)",271,267,4,,
"Hoteles y restaurantes (011)",120,109,5,2,4
"Trans., almac. y comunicaciones (012)",119,82,24,6,7
"Intermediación financiera (013)",2,,,1,1
"Activid.inmobil., empres. y alquileres (014)",56,25,8,8,15
"Admin.pub. y defensa; p. segur soc.afil (015)",181,,,,181
"Enseñanza (016)",684,149,85,74,376
"Servicios sociales y de salud (017)",114,13,2,,99
"Otras activ. serv.comun.soc y personales (018)",60,26,11,12,11
"Hogares privados con servicio doméstico (019)",125,125,,,
"Organiz. y organos extraterritoriales (020)",1,,1,,
"Actividad economica no especificada (021)",215,199,3,5,8
"Hombres (022)",6023,5135,249,100,539
"Agric., ganadería, caza y silvicultura (023)",4497,4366,111,19,1
"Pesca (024)",37,36,1,,
"Explotación de minas y canteras (025)",19,10,5,3,1
"Industrias manufactureras (026)",97,90,7,,
"Suministro de electricidad, gas y agua (027)",1,,,1,
"Construcción (028)",162,124,29,6,3
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",193,187,3,1,2
"Venta, mant.y rep. veh.autom y motoc. (030)",18,16,1,,1
"Comercio al por mayor (031)",10,8,,1,1
"Comercio al por menor (032)",165,163,2,,
"Hoteles y restaurantes (033)",26,25,,,1
"Trans., almac. y comunicaciones (034)",115,81,23,5,6
"Intermediación financiera (035)",1,,,1,
"Activid.inmobil., empres. y alquileres (036)",48,22,6,6,14
"Admin.pub. y defensa; p. segur soc.afil (037)",158,,,,158
"Enseñanza (038)",470,93,57,51,269
"Servicios sociales y de salud (039)",84,10,1,,73
"Otras activ. serv.comun.soc y personales (040)",33,15,4,7,7
"Hogares privados con servicio doméstico (041)",15,15,,,
