"CUADRO Nº 10: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia SAN ANTONIO DE PUTINA (000)",11948,30,122,415,934,2197,4760,3490
"De 12 a 14 años (001)",17,,,,,,,17
"De 15 a 19 años (002)",312,,,,,,181,131
"De 20 a 24 años (003)",1805,,,,,2,1060,743
"De 25 a 29 años (004)",1978,,,,,63,1242,673
"De 30 a 34 años (005)",1665,,,,,266,940,459
"De 35 a 39 años (006)",1526,,,,9,483,708,326
"De 40 a 44 años (007)",1127,,,,62,454,396,215
"De 45 a 49 años (008)",886,,,2,132,413,188,151
"De 50 y más años (009)",2632,30,122,413,731,516,45,775
"Sin nivel (010)",2539,27,118,349,531,479,307,728
"De 12 a 14 años (011)",1,,,,,,,1
"De 15 a 19 años (012)",5,,,,,,4,1
"De 20 a 24 años (013)",39,,,,,1,25,13
"De 25 a 29 años (014)",49,,,,,2,32,15
"De 30 a 34 años (015)",84,,,,,7,52,25
"De 35 a 39 años (016)",116,,,,2,33,52,29
"De 40 a 44 años (017)",180,,,,6,61,77,36
"De 45 a 49 años (018)",198,,,1,24,86,48,39
"De 50 y más años (019)",1867,27,118,348,499,289,17,569
"Educacion Inicial (020)",26,,,,,2,17,7
"De 15 a 19 años (022)",1,,,,,,,1
"De 20 a 24 años (023)",4,,,,,,3,1
"De 25 a 29 años (024)",9,,,,,,4,5
"De 30 a 34 años (025)",9,,,,,1,8,
"De 35 a 39 años (026)",3,,,,,1,2,
"Primaria (030)",5227,3,4,60,329,1230,2324,1277
"De 12 a 14 años (031)",5,,,,,,,5
"De 15 a 19 años (032)",98,,,,,,60,38
"De 20 a 24 años (033)",567,,,,,1,352,214
"De 25 a 29 años (034)",838,,,,,36,568,234
"De 30 a 34 años (035)",875,,,,,140,509,226
"De 35 a 39 años (036)",922,,,,6,305,436,175
"De 40 a 44 años (037)",719,,,,43,289,261,126
"De 45 a 49 años (038)",540,,,1,77,260,115,87
"De 50 y más años (039)",663,3,4,59,203,199,23,172
"Secundaria (040)",3534,,,2,62,432,1848,1190
"De 12 a 14 años (041)",11,,,,,,,11
"De 15 a 19 años (042)",202,,,,,,116,86
"De 20 a 24 años (043)",1035,,,,,,605,430
"De 25 a 29 años (044)",876,,,,,24,537,315
"De 30 a 34 años (045)",600,,,,,112,322,166
"De 35 a 39 años (046)",411,,,,1,128,190,92
"De 40 a 44 años (047)",188,,,,10,86,51,41
"De 45 a 49 años (048)",129,,,,27,58,22,22
"De 50 y más años (049)",82,,,2,24,24,5,27
"Sup. no Univ. incompleta (050)",209,,,,3,8,85,113
"De 15 a 19 años (052)",4,,,,,,,4
