"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia LAMPA (000)",13785,10563,924,669,1629
"Hombres (001)",8765,6059,688,580,1438
"Mujeres (002)",5020,4504,236,89,191
"De 06 a 14 años (003)",125,107,15,1,2
"Hombres (004)",62,51,9,,2
"Mujeres (005)",63,56,6,1,
"De 15 a 29 años (006)",3998,2897,313,191,597
"Hombres (007)",2494,1562,232,175,525
"Mujeres (008)",1504,1335,81,16,72
"De 30 a 44 años (009)",4649,3267,345,324,713
"Hombres (010)",3074,1901,258,277,638
"Mujeres (011)",1575,1366,87,47,75
"De 45 a 64 años (012)",3817,3138,226,152,301
"Hombres (013)",2400,1838,175,127,260
"Mujeres (014)",1417,1300,51,25,41
"De 65 y más años (015)",1196,1154,25,1,16
"Hombres (016)",735,707,14,1,13
"Mujeres (017)",461,447,11,,3
,,,,,
"URBANA (018)",4817,3226,434,417,740
"Hombres (019)",3018,1788,324,334,572
"Mujeres (020)",1799,1438,110,83,168
"De 06 a 14 años (021)",51,45,5,1,
"Hombres (022)",23,21,2,,
"Mujeres (023)",28,24,3,1,
"De 15 a 29 años (024)",1421,943,157,104,217
"Hombres (025)",875,514,120,90,151
"Mujeres (026)",546,429,37,14,66
"De 30 a 44 años (027)",1792,1118,167,200,307
"Hombres (028)",1129,609,121,155,244
"Mujeres (029)",663,509,46,45,63
"De 45 a 64 años (030)",1285,872,97,111,205
"Hombres (031)",830,497,78,88,167
"Mujeres (032)",455,375,19,23,38
"De 65 y más años (033)",268,248,8,1,11
"Hombres (034)",161,147,3,1,10
"Mujeres (035)",107,101,5,,1
,,,,,
"RURAL (036)",8968,7337,490,252,889
"Hombres (037)",5747,4271,364,246,866
"Mujeres (038)",3221,3066,126,6,23
"De 06 a 14 años (039)",74,62,10,,2
"Hombres (040)",39,30,7,,2
"Mujeres (041)",35,32,3,,
"De 15 a 29 años (042)",2577,1954,156,87,380
"Hombres (043)",1619,1048,112,85,374
"Mujeres (044)",958,906,44,2,6
"De 30 a 44 años (045)",2857,2149,178,124,406
"Hombres (046)",1945,1292,137,122,394
"Mujeres (047)",912,857,41,2,12
"De 45 a 64 años (048)",2532,2266,129,41,96
"Hombres (049)",1570,1341,97,39,93
"Mujeres (050)",962,925,32,2,3
"De 65 y más años (051)",928,906,17,,5
"Hombres (052)",574,560,11,,3
"Mujeres (053)",354,346,6,,2
