"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CALCA (000)",19266,6329,12937
"Casa independiente (001)",17113,5776,11337
"Departamento en edificio (002)",22,22,
"Vivienda en quinta (003)",36,36,
"Vivienda en casa de vecindad (004)",451,451,
"Choza o cabaña (005)",1594,,1594
"Vivienda improvisada (006)",29,29,
"Local no dest.para hab. humana (007)",19,14,5
"Otro tipo (008)",2,1,1
