"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia PISCO (000)",125879,2394,35189,35039,26632,19404,7221
"Hombres (001)",64083,1195,18082,18010,13185,9861,3750
"Mujeres (002)",61796,1199,17107,17029,13447,9543,3471
"Viviendas particulares (003)",120061,2306,33951,33042,25153,18597,7012
"Hombres (004)",60548,1145,17445,16690,12231,9398,3639
"Mujeres (005)",59513,1161,16506,16352,12922,9199,3373
"Viviendas colectivas (006)",5246,82,1166,1849,1294,674,181
"Hombres (007)",3213,46,599,1247,834,392,95
"Mujeres (008)",2033,36,567,602,460,282,86
"Otro tipo (009)",572,6,72,148,185,133,28
"Hombres (010)",322,4,38,73,120,71,16
"Mujeres (011)",250,2,34,75,65,62,12
,,,,,,,
"URBANA (012)",110308,2088,30797,30567,23626,17135,6095
"Hombres (013)",55747,1042,15806,15539,11583,8637,3140
"Mujeres (014)",54561,1046,14991,15028,12043,8498,2955
"Viviendas particulares (015)",104909,2000,29561,28858,22241,16361,5888
"Hombres (016)",52601,992,15170,14490,10715,8203,3031
"Mujeres (017)",52308,1008,14391,14368,11526,8158,2857
"Viviendas colectivas (018)",4828,82,1164,1561,1201,641,179
"Hombres (019)",2825,46,598,976,749,363,93
"Mujeres (020)",2003,36,566,585,452,278,86
"Otro tipo (021)",571,6,72,148,184,133,28
"Hombres (022)",321,4,38,73,119,71,16
"Mujeres (023)",250,2,34,75,65,62,12
,,,,,,,
"RURAL (024)",15571,306,4392,4472,3006,2269,1126
"Hombres (025)",8336,153,2276,2471,1602,1224,610
"Mujeres (026)",7235,153,2116,2001,1404,1045,516
"Viviendas particulares (027)",15152,306,4390,4184,2912,2236,1124
"Hombres (028)",7947,153,2275,2200,1516,1195,608
"Mujeres (029)",7205,153,2115,1984,1396,1041,516
"Viviendas colectivas (030)",418,,2,288,93,33,2
"Hombres (031)",388,,1,271,85,29,2
"Mujeres (032)",30,,1,17,8,4,
"Otro tipo (033)",1,,,,1,,
"Hombres (034)",1,,,,1,,
