"CUADRO Nº 1: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia TRUJILLO (000)",639940,82168,134884,133452,104757,78326,106353
"Católica (001)",491482,62022,102366,102610,81015,61013,82456
"Cristiana/Evangélica (002)",97114,13024,18947,19128,15902,12485,17628
"Otra (003)",25355,3411,5580,4913,4056,3025,4370
"Ninguna (004)",25989,3711,7991,6801,3784,1803,1899
"Hombres (006)",305072,41123,65896,63593,49169,36183,49108
"Católica (007)",235677,31156,49931,48838,38248,28662,38842
"Cristiana/Evangélica (008)",42552,6278,8738,8489,6820,5099,7128
"Otra (009)",11388,1656,2597,2257,1750,1253,1875
"Ninguna (010)",15455,2033,4630,4009,2351,1169,1263
"Mujeres (012)",334868,41045,68988,69859,55588,42143,57245
"Católica (013)",255805,30866,52435,53772,42767,32351,43614
"Cristiana/Evangélica (014)",54562,6746,10209,10639,9082,7386,10500
"Otra (015)",13967,1755,2983,2656,2306,1772,2495
"Ninguna (016)",10534,1678,3361,2792,1433,634,636
,,,,,,,
"URBANA (018)",625176,79904,131856,130544,102298,76632,103942
"Católica (019)",480038,60212,99983,100343,79064,59717,80719
"Cristiana/Evangélica (020)",94857,12728,18565,18717,15559,12187,17101
"Otra (021)",24953,3356,5506,4841,3990,2975,4285
"Ninguna (022)",25328,3608,7802,6643,3685,1753,1837
"Hombres (024)",297377,39924,64286,62097,47926,35311,47833
"Católica (025)",229581,30186,48639,47643,37241,27976,37896
"Cristiana/Evangélica (026)",41542,6142,8562,8317,6674,4969,6878
"Otra (027)",11190,1625,2560,2223,1718,1230,1834
"Ninguna (028)",15064,1971,4525,3914,2293,1136,1225
"Mujeres (030)",327799,39980,67570,68447,54372,41321,56109
"Católica (031)",250457,30026,51344,52700,41823,31741,42823
"Cristiana/Evangélica (032)",53315,6586,10003,10400,8885,7218,10223
"Otra (033)",13763,1731,2946,2618,2272,1745,2451
"Ninguna (034)",10264,1637,3277,2729,1392,617,612
,,,,,,,
"RURAL (036)",14764,2264,3028,2908,2459,1694,2411
"Católica (037)",11444,1810,2383,2267,1951,1296,1737
"Cristiana/Evangélica (038)",2257,296,382,411,343,298,527
"Otra (039)",402,55,74,72,66,50,85
"Ninguna (040)",661,103,189,158,99,50,62
"Hombres (042)",7695,1199,1610,1496,1243,872,1275
"Católica (043)",6096,970,1292,1195,1007,686,946
"Cristiana/Evangélica (044)",1010,136,176,172,146,130,250
"Otra (045)",198,31,37,34,32,23,41
"Ninguna (046)",391,62,105,95,58,33,38
"Mujeres (048)",7069,1065,1418,1412,1216,822,1136
"Católica (049)",5348,840,1091,1072,944,610,791
"Cristiana/Evangélica (050)",1247,160,206,239,197,168,277
"Otra (051)",204,24,37,38,34,27,44
"Ninguna (052)",270,41,84,63,41,17,24
