"CUADRO Nº 8: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia AYMARAES (000)",10586,41285,35235,,486,85.3,1.2
"De 12 a 14 años (001)",1093,10,10,,1,100,10
"De 15 a 19 años (002)",1134,196,195,43,99.5,21.9,
"De 20 a 24 años (003)",789,884,859,104,97.2,11.8,
"De 25 a 29 años (004)",867,1748,1702,124,97.4,7.1,
"De 30 a 34 años (005)",878,2783,2642,96,94.9,3.4,
"De 35 a 39 años (006)",774,3321,3092,64,93.1,1.9,
"De 40 a 44 años (007)",773,3989,3654,40,91.6,1,
"De 45 a 49 años (008)",646,3847,3455,14,89.8,0.4,
"De 50 y más años (009)",3632,24507,19626,,80.1,,
"Conviviente (010)",2030,5991,5513,241,92,4,
"De 12 a 14 años (011)",10,1,1,,100,,
"De 15 a 19 años (012)",164,122,122,32,100,26.2,
"De 20 a 24 años (013)",399,552,537,67,97.3,12.1,
"De 25 a 29 años (014)",425,910,890,72,97.8,7.9,
"De 30 a 34 años (015)",335,987,949,34,96.1,3.4,
"De 35 a 39 años (016)",207,842,793,24,94.2,2.9,
"De 40 a 44 años (017)",144,646,604,9,93.5,1.4,
"De 45 a 49 años (018)",98,519,468,3,90.2,0.6,
"De 50 y más años (019)",248,1412,1149,,81.4,,
"Separado(a) (020)",317,1078,983,19,91.2,1.8,
"De 12 a 14 años (021)",2,1,1,,100,,
"De 15 a 19 años (022)",14,12,12,1,100,8.3,
"De 20 a 24 años (023)",46,61,61,10,100,16.4,
"De 25 a 29 años (024)",41,79,77,4,97.5,5.1,
"De 30 a 34 años (025)",29,75,72,3,96,4,
"De 35 a 39 años (026)",42,149,145,,97.3,,
"De 40 a 44 años (027)",43,192,175,1,91.1,0.5,
"De 45 a 49 años (028)",29,112,102,,91.1,,
"De 50 y más años (029)",71,397,338,,85.1,,
"Casado(a) (030)",4317,25217,21719,202,86.1,0.8,
"De 12 a 14 años (031)",3,4,4,,100,,
"De 15 a 19 años (032)",22,22,21,1,95.5,4.5,
"De 20 a 24 años (033)",104,210,201,21,95.7,10,
"De 25 a 29 años (034)",262,688,664,46,96.5,6.7,
"De 30 a 34 años (035)",417,1618,1524,58,94.2,3.6,
"De 35 a 39 años (036)",467,2183,2018,39,92.4,1.8,
"De 40 a 44 años (037)",506,2867,2617,27,91.3,0.9,
