"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia LIMA (000)",7531233,7521549,9684
"Casa independiente (001)",6224018,6214886,9132
"Departamento en edificio (002)",865168,865168,
"Vivienda en quinta (003)",205882,205882,
"Vivienda en casa de vecindad (004)",85595,85595,
"Choza o cabaña (005)",500,,500
"Vivienda improvisada (006)",118837,118837,
"Local no dest.para hab. humana (007)",13080,13030,50
"Otro tipo (008)",18153,18151,2
