"CUADRO Nº 25: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia PICOTA (000)",14112,1363,2894,7052,387,1882,534
"Agric., ganadería, caza y silvicultura (001)",9021,12,2146,5004,290,1569,
"Pesca (002)",4,2,1,1,,,
"Explotación de minas y canteras (003)",2,,2,,,,
"Industrias manufactureras (004)",403,10,170,185,18,20,
"Suministro de electricidad, gas y agua (005)",25,9,14,1,1,,
"Construcción (006)",395,34,258,85,11,7,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1256,144,49,836,37,190,
"Venta, mant.y rep. veh.autom y motoc. (008)",136,9,40,74,5,8,
"Comercio al por mayor (009)",58,18,3,30,3,4,
"Comercio al por menor (010)",1062,117,6,732,29,178,
"Hoteles y restaurantes (011)",447,76,21,293,15,42,
"Trans., almac. y comunicaciones (012)",530,79,99,335,6,11,
"Intermediación financiera (013)",2,2,,,,,
"Activid.inmobil., empres. y alquileres (014)",133,104,14,14,1,,
"Admin.pub. y defensa; p. segur soc.afil (015)",248,205,43,,,,
"Enseñanza (016)",472,458,,14,,,
"Servicios sociales y de salud (017)",118,103,2,13,,,
"Otras activ. serv.comun.soc y personales (018)",119,33,15,63,2,6,
"Hogares privados con servicio doméstico (019)",534,,,,,,534
"Actividad economica no especificada (021)",403,92,60,208,6,37,
"Hombres (022)",10748,837,2536,5939,345,1072,19
"Agric., ganadería, caza y silvicultura (023)",7832,11,1862,4693,275,991,
"Pesca (024)",4,2,1,1,,,
"Explotación de minas y canteras (025)",1,,1,,,,
"Industrias manufactureras (026)",321,9,154,133,16,9,
"Suministro de electricidad, gas y agua (027)",24,8,14,1,1,,
"Construcción (028)",387,33,252,85,11,6,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",719,82,48,521,25,43,
"Venta, mant.y rep. veh.autom y motoc. (030)",126,6,40,71,5,4,
"Comercio al por mayor (031)",37,11,3,21,2,,
"Comercio al por menor (032)",556,65,5,429,18,39,
"Hoteles y restaurantes (033)",61,20,4,28,5,4,
"Trans., almac. y comunicaciones (034)",514,69,99,331,6,9,
"Activid.inmobil., empres. y alquileres (036)",102,79,11,11,1,,
"Admin.pub. y defensa; p. segur soc.afil (037)",183,148,35,,,,
"Enseñanza (038)",269,259,,10,,,
"Servicios sociales y de salud (039)",63,50,2,11,,,
"Otras activ. serv.comun.soc y personales (040)",61,18,11,27,2,3,
"Hogares privados con servicio doméstico (041)",19,,,,,,19
"Actividad economica no especificada (043)",188,49,42,87,3,7,
"Mujeres (044)",3364,526,358,1113,42,810,515
"Agric., ganadería, caza y silvicultura (045)",1189,1,284,311,15,578,
"Explotación de minas y canteras (047)",1,,1,,,,
"Industrias manufactureras (048)",82,1,16,52,2,11,
"Suministro de electricidad, gas y agua (049)",1,1,,,,,
"Construcción (050)",8,1,6,,,1,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",537,62,1,315,12,147,
"Venta, mant.y rep. veh.autom y motoc. (052)",10,3,,3,,4,
"Comercio al por mayor (053)",21,7,,9,1,4,
"Comercio al por menor (054)",506,52,1,303,11,139,
"Hoteles y restaurantes (055)",386,56,17,265,10,38,
"Trans., almac. y comunicaciones (056)",16,10,,4,,2,
"Intermediación financiera (057)",2,2,,,,,
"Activid.inmobil., empres. y alquileres (058)",31,25,3,3,,,
"Admin.pub. y defensa; p. segur soc.afil (059)",65,57,8,,,,
"Enseñanza (060)",203,199,,4,,,
"Servicios sociales y de salud (061)",55,53,,2,,,
"Otras activ. serv.comun.soc y personales (062)",58,15,4,36,,3,
"Hogares privados con servicio doméstico (063)",515,,,,,,515
"Actividad economica no especificada (065)",215,43,18,121,3,30,
,,,,,,,
"URBANA (066)",8907,1240,1880,4126,222,964,475
"Agric., ganadería, caza y silvicultura (067)",4361,9,1215,2314,131,692,
"Pesca (068)",4,2,1,1,,,
"Explotación de minas y canteras (069)",2,,2,,,,
"Industrias manufactureras (070)",365,10,157,161,18,19,
"Suministro de electricidad, gas y agua (071)",24,8,14,1,1,,
"Construcción (072)",341,32,216,77,11,5,
"Comerc., rep. veh. autom.,motoc. efect. pers. (073)",1142,138,45,758,35,166,
"Venta, mant.y rep. veh.autom y motoc. (074)",125,9,36,69,5,6,
"Comercio al por mayor (075)",55,18,3,27,3,4,
"Comercio al por menor (076)",962,111,6,662,27,156,
"Hoteles y restaurantes (077)",425,72,21,278,13,41,
"Trans., almac. y comunicaciones (078)",493,70,94,312,6,11,
"Intermediación financiera (079)",2,2,,,,,
"Activid.inmobil., empres. y alquileres (080)",127,99,13,14,1,,
"Admin.pub. y defensa; p. segur soc.afil (081)",222,184,38,,,,
"Enseñanza (082)",427,413,,14,,,
"Servicios sociales y de salud (083)",111,96,2,13,,,
"Otras activ. serv.comun.soc y personales (084)",116,31,14,63,2,6,
"Hogares privados con servicio doméstico (085)",475,,,,,,475
"Actividad economica no especificada (087)",270,74,48,120,4,24,
"Hombres (088)",6357,758,1630,3255,189,510,15
"Agric., ganadería, caza y silvicultura (089)",3770,8,1032,2169,121,440,
"Pesca (090)",4,2,1,1,,,
"Explotación de minas y canteras (091)",1,,1,,,,
"Industrias manufactureras (092)",291,9,143,115,16,8,
"Suministro de electricidad, gas y agua (093)",23,7,14,1,1,,
"Construcción (094)",334,31,210,77,11,5,
"Comerc., rep. veh. autom.,motoc. efect. pers. (095)",650,78,44,466,24,38,
"Venta, mant.y rep. veh.autom y motoc. (096)",116,6,36,67,5,2,
"Comercio al por mayor (097)",35,11,3,19,2,,
"Comercio al por menor (098)",499,61,5,380,17,36,
"Hoteles y restaurantes (099)",60,19,4,28,5,4,
"Trans., almac. y comunicaciones (100)",478,61,94,308,6,9,
"Activid.inmobil., empres. y alquileres (102)",96,74,10,11,1,,
"Admin.pub. y defensa; p. segur soc.afil (103)",161,131,30,,,,
"Enseñanza (104)",248,238,,10,,,
"Servicios sociales y de salud (105)",58,45,2,11,,,
"Otras activ. serv.comun.soc y personales (106)",58,16,10,27,2,3,
"Hogares privados con servicio doméstico (107)",15,,,,,,15
"Actividad economica no especificada (109)",110,39,35,31,2,3,
"Mujeres (110)",2550,482,250,871,33,454,460
"Agric., ganadería, caza y silvicultura (111)",591,1,183,145,10,252,
"Explotación de minas y canteras (113)",1,,1,,,,
"Industrias manufactureras (114)",74,1,14,46,2,11,
"Suministro de electricidad, gas y agua (115)",1,1,,,,,
"Construcción (116)",7,1,6,,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (117)",492,60,1,292,11,128,
"Venta, mant.y rep. veh.autom y motoc. (118)",9,3,,2,,4,
"Comercio al por mayor (119)",20,7,,8,1,4,
"Comercio al por menor (120)",463,50,1,282,10,120,
"Hoteles y restaurantes (121)",365,53,17,250,8,37,
"Trans., almac. y comunicaciones (122)",15,9,,4,,2,
"Intermediación financiera (123)",2,2,,,,,
"Activid.inmobil., empres. y alquileres (124)",31,25,3,3,,,
