"CUADRO Nº 3: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia MARISCAL NIETO (000)",65871,10952,20035,17240,12444,5200
"Sin nivel (001)",4383,148,148,733,1513,1841
"Educación inicial (002)",774,717,33,24,,
"Primaria (003)",16053,7314,876,2385,3516,1962
"Secundaria (004)",20292,2773,8643,5074,3156,646
"Superior no univ. incompleta (005)",5528,,3218,1559,647,104
"Superior no univ. completa (006)",7307,,2557,3233,1266,251
"Superior univ. incompleta (007)",4502,,2790,1035,592,85
"Superior univ. completa (008)",7032,,1770,3197,1754,311
"PEA (010)",34884,297,10279,13330,8958,2020
"Sin nivel (011)",1969,1,55,446,849,618
"Educación inicial (012)",35,6,12,17,,
"Primaria (013)",5549,147,487,1613,2431,871
"Secundaria (014)",10616,143,3930,3913,2391,239
"Superior no univ. incompleta (015)",3216,,1484,1192,481,59
"Superior no univ. completa (016)",5588,,1940,2628,935,85
"Superior univ. incompleta (017)",2386,,1043,833,465,45
"Superior univ. completa (018)",5525,,1328,2688,1406,103
"Ocupada (020)",31645,284,8760,12235,8452,1914
"Sin nivel (021)",1847,1,47,403,805,591
"Educación inicial (022)",33,6,10,17,,
"Primaria (023)",5076,145,411,1442,2255,823
"Secundaria (024)",9430,132,3323,3515,2239,221
"Superior no univ. incompleta (025)",2830,,1220,1090,462,58
"Superior no univ. completa (026)",5117,,1677,2467,890,83
"Superior univ. incompleta (027)",2136,,902,752,441,41
"Superior univ. completa (028)",5176,,1170,2549,1360,97
