"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia AMBO (000)",55095,18087,37008
"Casa independiente (001)",52892,17648,35244
"Departamento en edificio (002)",216,216,
"Vivienda en quinta (003)",24,24,
"Vivienda en casa de vecindad (004)",187,187,
"Choza o cabaña (005)",1756,,1756
"Local no dest.para hab. humana (007)",18,12,6
"Otro tipo (008)",2,,2
