"CUADRO Nº 5: POBLACIÓN TOTAL, POR TENENCIA DE PARTIDA DE NACIMIENTO OTORGADO POR EL REGISTRO CIVIL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE PARTIDA NACIMIENTO",,
,,"TIENE PARTIDA DE NACIMIENTO","NO TIENE PARTIDA DE NACIMIENTO","NO ESPECIFICADO"
,,,,
"Provincia TAMBOPATA (000)",78523,77262,919,342
"Hombres (001)",41431,40811,449,171
"Mujeres (002)",37092,36451,470,171
"Menores de 1 año (003)",1808,1462,261,85
"Hombres (004)",912,718,150,44
"Mujeres (005)",896,744,111,41
"De 1 a 5 años (006)",8866,8082,540,244
"Hombres (007)",4508,4131,253,124
"Mujeres (008)",4358,3951,287,120
"De 6 a 14 años (009)",14702,14670,24,8
"Hombres (010)",7472,7461,10,1
"Mujeres (011)",7230,7209,14,7
"De 15 a 29 años (012)",24394,24383,10,1
"Hombres (013)",12244,12239,5,
"Mujeres (014)",12150,12144,5,1
"De 30 a 44 años (015)",16899,16883,15,1
"Hombres (016)",9092,9086,5,1
"Mujeres (017)",7807,7797,10,
"De 45 a 64 años (018)",9673,9649,24,
"Hombres (019)",5893,5883,10,
"Mujeres (020)",3780,3766,14,
"De 65 a más años (021)",2181,2133,45,3
"Hombres (022)",1310,1293,16,1
"Mujeres (023)",871,840,29,2
,,,,
"URBANA (024)",65444,64524,659,261
"Hombres (025)",33713,33248,333,132
"Mujeres (026)",31731,31276,326,129
"Menores de 1 año (027)",1514,1256,186,72
"Hombres (028)",760,618,107,35
"Mujeres (029)",754,638,79,37
"De 1 a 5 años (030)",7323,6743,397,183
"Hombres (031)",3761,3465,200,96
"Mujeres (032)",3562,3278,197,87
"De 6 a 14 años (033)",12564,12546,16,2
"Hombres (034)",6385,6378,7,
"Mujeres (035)",6179,6168,9,2
"De 15 a 29 años (036)",20375,20370,4,1
"Hombres (037)",9887,9886,1,
"Mujeres (038)",10488,10484,3,1
"De 30 a 44 años (039)",14130,14122,8,
"Hombres (040)",7318,7316,2,
"Mujeres (041)",6812,6806,6,
"De 45 a 64 años (042)",7932,7919,13,
"Hombres (043)",4696,4691,5,
"Mujeres (044)",3236,3228,8,
"De 65 a más años (045)",1606,1568,35,3
"Hombres (046)",906,894,11,1
"Mujeres (047)",700,674,24,2
,,,,
"RURAL (048)",13079,12738,260,81
"Hombres (049)",7718,7563,116,39
"Mujeres (050)",5361,5175,144,42
"Menores de 1 año (051)",294,206,75,13
"Hombres (052)",152,100,43,9
"Mujeres (053)",142,106,32,4
"De 1 a 5 años (054)",1543,1339,143,61
"Hombres (055)",747,666,53,28
"Mujeres (056)",796,673,90,33
"De 6 a 14 años (057)",2138,2124,8,6
"Hombres (058)",1087,1083,3,1
"Mujeres (059)",1051,1041,5,5
"De 15 a 29 años (060)",4019,4013,6,
"Hombres (061)",2357,2353,4,
"Mujeres (062)",1662,1660,2,
"De 30 a 44 años (063)",2769,2761,7,1
"Hombres (064)",1774,1770,3,1
"Mujeres (065)",995,991,4,
"De 45 a 64 años (066)",1741,1730,11,
"Hombres (067)",1197,1192,5,
"Mujeres (068)",544,538,6,
"De 65 a más años (069)",575,565,10,
"Hombres (070)",404,399,5,
"Mujeres (071)",171,166,5,
