"CUADRO Nº 3: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia OTUZCO (000)",76681,19746,21731,16044,12377,6783
"Sin nivel (001)",11715,1364,1268,2615,3434,3034
"Educación inicial (002)",1198,1099,67,32,,
"Primaria (003)",47945,15097,12155,9760,7515,3418
"Secundaria (004)",11298,2186,6126,2030,813,143
"Superior no univ. incompleta (005)",1292,,959,234,86,13
"Superior no univ. completa (006)",1972,,776,859,248,89
"Superior univ. incompleta (007)",381,,189,108,59,25
"Superior univ. completa (008)",880,,191,406,222,61
"PEA (010)",29433,1093,10249,9053,6538,2500
"Sin nivel (011)",3683,142,479,1075,1229,758
"Educación inicial (012)",57,11,38,8,,
"Primaria (013)",18148,817,6194,5313,4243,1581
"Secundaria (014)",4668,123,2545,1355,575,70
"Superior no univ. incompleta (015)",508,,271,164,64,9
"Superior no univ. completa (016)",1415,,500,701,182,32
"Superior univ. incompleta (017)",232,,78,85,53,16
"Superior univ. completa (018)",722,,144,352,192,34
"Ocupada (020)",28553,1038,9824,8819,6415,2457
"Sin nivel (021)",3609,135,460,1055,1213,746
"Educación inicial (022)",53,10,35,8,,
"Primaria (023)",17659,774,6010,5176,4148,1551
"Secundaria (024)",4507,119,2430,1320,568,70
"Superior no univ. incompleta (025)",479,,249,158,63,9
"Superior no univ. completa (026)",1310,,426,672,181,31
"Superior univ. incompleta (027)",228,,75,84,53,16
"Superior univ. completa (028)",708,,139,346,189,34
"Desocupada (030)",880,55,425,234,123,43
