"CUADRO Nº 19: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia PUNO (000)",99739,24040,8319,42072,1096,17123,1030,6059
"Agric., ganadería, caza y silvicultura (001)",33994,61,1839,17331,106,14657,,
"Pesca (002)",775,16,264,321,2,172,,
"Explotación de minas y canteras (003)",501,63,345,80,8,5,,
"Industrias manufactureras (004)",7718,167,1120,5817,178,436,,
"Suministro de electricidad, gas y agua (005)",228,149,69,9,1,,,
"Construcción (006)",4699,241,3003,1328,71,56,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",11773,1251,236,8868,257,1161,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",866,110,166,516,31,43,,
"Comercio al por mayor (009)",426,116,23,234,19,34,,
"Comercio al por menor (010)",10481,1025,47,8118,207,1084,,
"Hoteles y restaurantes (011)",3452,1337,158,1540,172,245,,
"Trans., almac. y comunicaciones (012)",6206,1809,537,3615,156,89,,
"Intermediación financiera (013)",486,456,7,20,3,,,
"Activid.inmobil., empres. y alquileres (014)",2967,1823,88,939,72,45,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",5800,5377,423,,,,,
"Enseñanza (016)",8218,7857,18,329,4,10,,
"Servicios sociales y de salud (017)",2388,2100,20,253,10,5,,
"Otras activ. serv.comun.soc y personales (018)",1999,871,64,993,31,40,,
"Hogares privados con servicio doméstico (019)",1030,,,,,,1030,
"Organiz. y organos extraterritoriales (020)",10,10,,,,,,
"Actividad economica no especificada (021)",1436,452,128,629,25,202,,
"Desocupado (022)",6059,,,,,,,6059
"Hombres (023)",56504,14361,6736,24644,709,5870,66,4118
"Agric., ganadería, caza y silvicultura (024)",18867,55,1112,12669,64,4967,,
"Pesca (025)",574,13,152,274,2,133,,
"Explotación de minas y canteras (026)",480,57,337,74,8,4,,
"Industrias manufactureras (027)",3174,110,759,2029,124,152,,
"Suministro de electricidad, gas y agua (028)",190,114,68,8,,,,
"Construcción (029)",4595,215,2950,1311,67,52,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",4044,526,223,2853,134,308,,
"Venta, mant.y rep. veh.autom.y motoc. (031)",762,83,162,463,26,28,,
"Comercio al por mayor (032)",211,68,18,105,12,8,,
"Comercio al por menor (033)",3071,375,43,2285,96,272,,
"Hoteles y restaurantes (034)",1264,670,94,322,84,94,,
"Trans., almac. y comunicaciones (035)",5294,1311,472,3323,121,67,,
"Intermediación financiera (036)",272,253,6,11,2,,,
"Activid.inmobil., empres. y alquileres (037)",2139,1252,76,733,57,21,,
"Admin.pub. y defensa; p. segur.soc.afil (038)",4308,3981,327,,,,,
"Enseñanza (039)",4508,4322,18,160,3,5,,
"Servicios sociales y de salud (040)",934,746,17,164,7,,,
"Otras activ. serv.comun.soc y personales (041)",1027,483,36,459,27,22,,
"Hogares privados con servicio doméstico (042)",66,,,,,,66,
"Organiz. y organos extraterritoriales (043)",6,6,,,,,,
"Actividad economica no especificada (044)",644,247,89,254,9,45,,
"Desocupado (045)",4118,,,,,,,4118
"Mujeres (046)",43235,9679,1583,17428,387,11253,964,1941
"Agric., ganadería, caza y silvicultura (047)",15127,6,727,4662,42,9690,,
"Pesca (048)",201,3,112,47,,39,,
"Explotación de minas y canteras (049)",21,6,8,6,,1,,
"Industrias manufactureras (050)",4544,57,361,3788,54,284,,
"Suministro de electricidad, gas y agua (051)",38,35,1,1,1,,,
"Construcción (052)",104,26,53,17,4,4,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (053)",7729,725,13,6015,123,853,,
"Venta, mant.y rep. veh.autom.y motoc. (054)",104,27,4,53,5,15,,
"Comercio al por mayor (055)",215,48,5,129,7,26,,
"Comercio al por menor (056)",7410,650,4,5833,111,812,,
"Hoteles y restaurantes (057)",2188,667,64,1218,88,151,,
"Trans., almac. y comunicaciones (058)",912,498,65,292,35,22,,
"Intermediación financiera (059)",214,203,1,9,1,,,
"Activid.inmobil., empres. y alquileres (060)",828,571,12,206,15,24,,
"Admin.pub. y defensa; p. segur.soc.afil (061)",1492,1396,96,,,,,
"Enseñanza (062)",3710,3535,,169,1,5,,
"Servicios sociales y de salud (063)",1454,1354,3,89,3,5,,
"Otras activ. serv.comun.soc y personales (064)",972,388,28,534,4,18,,
"Hogares privados con servicio doméstico (065)",964,,,,,,964,
"Organiz. y organos extraterritoriales (066)",4,4,,,,,,
"Actividad economica no especificada (067)",792,205,39,375,16,157,,
"Desocupado (068)",1941,,,,,,,1941
,,,,,,,,
"URBANA (069)",57630,22732,5066,20819,916,3356,911,3830
"Agric., ganadería, caza y silvicultura (070)",3803,55,419,1689,35,1605,,
"Pesca (071)",88,13,35,35,,5,,
"Explotación de minas y canteras (072)",255,58,149,40,7,1,,
"Industrias manufactureras (073)",4393,163,883,2995,163,189,,
"Suministro de electricidad, gas y agua (074)",219,146,64,8,1,,,
"Construcción (075)",3509,238,2190,1001,48,32,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (076)",10632,1221,198,7944,241,1028,,
"Venta, mant.y rep. veh.autom.y motoc. (077)",763,110,132,454,27,40,,
"Comercio al por mayor (078)",370,113,23,192,17,25,,
"Comercio al por menor (079)",9499,998,43,7298,197,963,,
"Hoteles y restaurantes (080)",3227,1252,134,1454,158,229,,
"Trans., almac. y comunicaciones (081)",5366,1728,441,2998,124,75,,
"Intermediación financiera (082)",483,454,6,20,3,,,
"Activid.inmobil., empres. y alquileres (083)",2835,1739,75,908,70,43,,
"Admin.pub. y defensa; p. segur.soc.afil (084)",5225,4943,282,,,,,
"Enseñanza (085)",7729,7422,10,284,3,10,,
"Servicios sociales y de salud (086)",2295,2031,19,231,10,4,,
"Otras activ. serv.comun.soc y personales (087)",1815,838,54,858,31,34,,
"Hogares privados con servicio doméstico (088)",911,,,,,,911,
"Organiz. y organos extraterritoriales (089)",10,10,,,,,,
"Actividad economica no especificada (090)",1005,421,107,354,22,101,,
"Desocupado (091)",3830,,,,,,,3830
"Hombres (092)",32451,13365,4289,10524,580,1344,53,2296
"Agric., ganadería, caza y silvicultura (093)",2222,50,263,1157,25,727,,
"Pesca (094)",55,10,16,25,,4,,
"Explotación de minas y canteras (095)",242,53,144,38,7,,,
"Industrias manufactureras (096)",2222,108,596,1311,118,89,,
"Suministro de electricidad, gas y agua (097)",181,111,63,7,,,,
"Construcción (098)",3424,212,2152,987,44,29,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (099)",3579,511,186,2481,122,279,,
"Venta, mant.y rep. veh.autom.y motoc. (100)",667,83,129,405,24,26,,
"Comercio al por mayor (101)",180,66,18,78,10,8,,
"Comercio al por menor (102)",2732,362,39,1998,88,245,,
"Hoteles y restaurantes (103)",1180,635,82,300,74,89,,
"Trans., almac. y comunicaciones (104)",4489,1237,381,2724,89,58,,
"Intermediación financiera (105)",269,251,5,11,2,,,
