"CUADRO Nº 2: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia ATALAYA (000)",12743,12274,3500,1690,1551,1262,1902,1200,705,464,469,35867
"De 12 a 14 años (001)",1569,1516,1495,19,2,,,,,,53,23
"De 15 a 19 años (002)",2376,2248,1346,604,236,51,11,,,,128,1273
"De 20 a 24 años (003)",1924,1829,280,497,494,313,206,39,,,95,3552
"De 25 a 29 años (004)",1556,1495,111,250,318,310,378,111,17,,61,4299
"De 30 a 34 años (005)",1281,1246,59,129,191,198,365,215,69,20,35,4906
"De 35 a 39 años (006)",1117,1101,41,55,118,147,309,263,116,52,16,5354
"De 40 a 44 años (007)",837,814,31,31,73,88,228,183,104,76,23,4364
"De 45 a 49 años (008)",692,678,25,37,40,59,148,137,135,97,14,4088
"De 50 y más años (009)",1391,1347,112,68,79,96,257,252,264,219,44,8008
"Conviviente (010)",7310,7041,709,1196,1176,971,1403,852,452,282,269,25126
"De 12 a 14 años (011)",107,62,50,10,2,,,,,,45,14
"De 15 a 19 años (012)",1107,1002,304,433,209,46,10,,,,105,1029
"De 20 a 24 años (013)",1484,1434,137,384,411,274,193,35,,,50,3076
"De 25 a 29 años (014)",1248,1227,60,181,259,270,336,104,17,,21,3767
"De 30 a 34 años (015)",969,956,36,87,131,153,287,185,59,18,13,3972
"De 35 a 39 años (016)",813,810,28,31,70,95,234,212,93,47,3,4175
"De 40 a 44 años (017)",538,527,19,20,36,53,146,125,78,50,11,2936
"De 45 a 49 años (018)",422,414,17,18,24,32,89,76,89,69,8,2600
"De 50 y más años (019)",622,609,58,32,34,48,108,115,116,98,13,3557
"Separado(a) (020)",435,416,16,108,85,62,73,34,27,11,19,1364
"De 12 a 14 años (021)",6,5,3,2,,,,,,,1,2
"De 15 a 19 años (022)",66,61,1,43,12,4,1,,,,5,83
