"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia ATALAYA (000)",12955,2311,97,4886,3671,470,742,236,542
"Miembros p.ejec. y leg.direct., adm.pub.y emp (001)",27,,,1,9,2,3,5,7
"Profes., científicos e intelectuales (002)",879,,,,40,83,306,92,358
"Técnicos de nivel medio ytrab.asimilados (003)",250,,,6,83,39,86,15,21
"Jefes y empleados de oficina (004)",298,,,1,116,36,72,25,48
"Trab.de serv.pers.y vend.del comerc y mcdo. (005)",1019,33,2,283,522,65,63,27,24
"Agricult.trabaj. calif.agrop. y pesquros (006)",2402,536,19,1171,591,35,17,14,19
"Obreros y oper.minas, cant., ind.manuf.y otros (007)",540,20,1,143,287,31,37,11,10
"Obreros. construc., conf., papel, fab., instr (008)",917,17,2,171,588,71,37,22,9
"Trabaj.no calif.serv. peon, vend., amb.,y afines (009)",6123,1642,72,2960,1275,85,45,14,30
"Otra (010)",84,,,,8,2,62,4,8
"Ocupación no especificada (011)",416,63,1,150,152,21,14,7,8
"Hombres (012)",8875,1354,47,3345,2787,318,486,173,365
"Miembros p.ejec. y leg.direct., adm.pub.y emp (013)",21,,,1,8,2,2,3,5
"Profes., científicos e intelectuales (014)",514,,,,16,39,169,58,232
"Técnicos de nivel medio ytrab.asimilados (015)",198,,,5,68,31,63,15,16
"Jefes y empleados de oficina (016)",179,,,1,74,18,37,18,31
"Trab.de serv.pers.y vend.del comerc y mcdo. (017)",435,7,1,106,240,28,26,15,12
"Agricult.trabaj. calif.agrop. y pesquros (018)",2023,406,14,982,540,34,16,14,17
"Obreros y oper.minas, cant., ind.manuf.y otros (019)",487,17,1,131,258,28,33,10,9
"Obreros. construc., conf., papel, fab., instr (020)",866,7,1,154,571,66,36,22,9
"Trabaj.no calif.serv. peon, vend., amb.,y afines (021)",3820,896,29,1890,888,56,32,9,20
"Otra (022)",83,,,,8,2,62,4,7
"Ocupación no especificada (023)",249,21,1,75,116,14,10,5,7
"Mujeres (024)",4080,957,50,1541,884,152,256,63,177
"Miembros p.ejec. y leg.direct., adm.pub.y emp (025)",6,,,,1,,1,2,2
"Profes., científicos e intelectuales (026)",365,,,,24,44,137,34,126
"Técnicos de nivel medio ytrab.asimilados (027)",52,,,1,15,8,23,,5
"Jefes y empleados de oficina (028)",119,,,,42,18,35,7,17
"Trab.de serv.pers.y vend.del comerc y mcdo. (029)",584,26,1,177,282,37,37,12,12
"Agricult.trabaj. calif.agrop. y pesquros (030)",379,130,5,189,51,1,1,,2
"Obreros y oper.minas, cant., ind.manuf.y otros (031)",53,3,,12,29,3,4,1,1
"Obreros. construc., conf., papel, fab., instr (032)",51,10,1,17,17,5,1,,
"Trabaj.no calif.serv. peon, vend., amb.,y afines (033)",2303,746,43,1070,387,29,13,5,10
"Otra (034)",1,,,,,,,,1
"Ocupación no especificada (035)",167,42,,75,36,7,4,2,1
,,,,,,,,,
"URBANA (036)",5393,173,15,1189,2407,381,586,197,445
"Miembros p.ejec. y leg.direct., adm.pub.y emp (037)",24,,,1,9,2,3,3,6
"Profes., científicos e intelectuales (038)",643,,,,26,46,200,71,300
