"CUADRO Nº 21: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia EL DORADO (000)",13286,747,1576,7239,243,3017,265,199
"Agric., ganadería, caza y silvicultura (001)",10685,6,1290,6301,200,2888,,
"Pesca (002)",2,,1,,1,,,
"Explotación de minas y canteras (003)",2,,2,,,,,
"Industrias manufactureras (004)",153,2,20,116,8,7,,
"Suministro de electricidad, gas y agua (005)",9,,9,,,,,
"Construcción (006)",155,1,112,28,8,6,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",538,57,8,390,12,71,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",44,6,6,29,3,,,
"Comercio al por mayor (009)",44,6,,31,1,6,,
"Comercio al por menor (010)",450,45,2,330,8,65,,
"Hoteles y restaurantes (011)",171,23,2,131,3,12,,
"Trans., almac. y comunicaciones (012)",182,38,25,110,4,5,,
"Intermediación financiera (013)",6,6,,,,,,
"Activid.inmobil., empres. y alquileres (014)",36,32,2,2,,,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",86,77,9,,,,,
"Enseñanza (016)",405,388,,17,,,,
"Servicios sociales y de salud (017)",71,64,,7,,,,
"Otras activ. serv.comun.soc y personales (018)",57,26,3,27,,1,,
"Hogares privados con servicio doméstico (019)",265,,,,,,265,
"Actividad economica no especificada (021)",264,27,93,110,7,27,,
"Desocupado (022)",199,,,,,,,199
"Hombres (023)",9653,437,1231,6193,221,1398,14,159
"Agric., ganadería, caza y silvicultura (024)",8218,6,995,5670,188,1359,,
"Pesca (025)",2,,1,,1,,,
"Explotación de minas y canteras (026)",2,,2,,,,,
"Industrias manufactureras (027)",113,1,17,80,8,7,,
"Suministro de electricidad, gas y agua (028)",9,,9,,,,,
"Construcción (029)",151,1,110,26,8,6,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",282,27,8,227,7,13,,
"Venta, mant.y rep. veh.autom.y motoc. (031)",40,6,6,25,3,,,
"Comercio al por mayor (032)",28,4,,22,1,1,,
"Comercio al por menor (033)",214,17,2,180,3,12,,
"Hoteles y restaurantes (034)",24,2,1,18,1,2,,
"Trans., almac. y comunicaciones (035)",172,31,24,108,4,5,,
"Intermediación financiera (036)",4,4,,,,,,
"Activid.inmobil., empres. y alquileres (037)",26,23,1,2,,,,
"Admin.pub. y defensa; p. segur.soc.afil (038)",67,59,8,,,,,
"Enseñanza (039)",232,227,,5,,,,
"Servicios sociales y de salud (040)",34,28,,6,,,,
"Otras activ. serv.comun.soc y personales (041)",31,15,3,12,,1,,
"Hogares privados con servicio doméstico (042)",14,,,,,,14,
"Actividad economica no especificada (044)",113,13,52,39,4,5,,
"Desocupado (045)",159,,,,,,,159
"Mujeres (046)",3633,310,345,1046,22,1619,251,40
"Agric., ganadería, caza y silvicultura (047)",2467,,295,631,12,1529,,
"Industrias manufactureras (050)",40,1,3,36,,,,
"Construcción (052)",4,,2,2,,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (053)",256,30,,163,5,58,,
"Venta, mant.y rep. veh.autom.y motoc. (054)",4,,,4,,,,
"Comercio al por mayor (055)",16,2,,9,,5,,
"Comercio al por menor (056)",236,28,,150,5,53,,
"Hoteles y restaurantes (057)",147,21,1,113,2,10,,
"Trans., almac. y comunicaciones (058)",10,7,1,2,,,,
"Intermediación financiera (059)",2,2,,,,,,
"Activid.inmobil., empres. y alquileres (060)",10,9,1,,,,,
"Admin.pub. y defensa; p. segur.soc.afil (061)",19,18,1,,,,,
"Enseñanza (062)",173,161,,12,,,,
"Servicios sociales y de salud (063)",37,36,,1,,,,
"Otras activ. serv.comun.soc y personales (064)",26,11,,15,,,,
"Hogares privados con servicio doméstico (065)",251,,,,,,251,
"Actividad economica no especificada (067)",151,14,41,71,3,22,,
,,,,,,,,
"URBANA (068)",5390,600,632,2737,85,1053,189,94
"Agric., ganadería, caza y silvicultura (069)",3432,5,414,2002,52,959,,
"Pesca (070)",2,,1,,1,,,
"Industrias manufactureras (072)",125,2,19,92,8,4,,
"Suministro de electricidad, gas y agua (073)",9,,9,,,,,
"Construcción (074)",115,1,81,24,7,2,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (075)",430,53,8,304,10,55,,
"Venta, mant.y rep. veh.autom.y motoc. (076)",42,6,6,27,3,,,
"Comercio al por mayor (077)",38,6,,25,1,6,,
"Comercio al por menor (078)",350,41,2,252,6,49,,
"Hoteles y restaurantes (079)",140,19,2,104,3,12,,
"Trans., almac. y comunicaciones (080)",160,35,24,93,4,4,,
"Intermediación financiera (081)",6,6,,,,,,
"Activid.inmobil., empres. y alquileres (082)",32,28,2,2,,,,
"Admin.pub. y defensa; p. segur.soc.afil (083)",77,69,8,,,,,
"Enseñanza (084)",290,280,,10,,,,
"Servicios sociales y de salud (085)",64,57,,7,,,,
"Otras activ. serv.comun.soc y personales (086)",51,23,3,24,,1,,
"Hogares privados con servicio doméstico (087)",189,,,,,,189,
"Actividad economica no especificada (089)",174,22,61,75,,16,,
"Desocupado (090)",94,,,,,,,94
"Hombres (091)",3615,345,491,2150,78,476,4,71
"Agric., ganadería, caza y silvicultura (092)",2555,5,312,1738,50,450,,
"Pesca (093)",2,,1,,1,,,
"Industrias manufactureras (095)",90,1,16,61,8,4,,
"Suministro de electricidad, gas y agua (096)",9,,9,,,,,
"Construcción (097)",111,1,79,22,7,2,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (098)",223,26,8,174,7,8,,
"Venta, mant.y rep. veh.autom.y motoc. (099)",38,6,6,23,3,,,
"Comercio al por mayor (100)",25,4,,19,1,1,,
"Comercio al por menor (101)",160,16,2,132,3,7,,
"Hoteles y restaurantes (102)",20,1,1,15,1,2,,
"Trans., almac. y comunicaciones (103)",150,28,23,91,4,4,,
"Intermediación financiera (104)",4,4,,,,,,
"Activid.inmobil., empres. y alquileres (105)",22,19,1,2,,,,
"Admin.pub. y defensa; p. segur.soc.afil (106)",58,51,7,,,,,
"Enseñanza (107)",164,162,,2,,,,
"Servicios sociales y de salud (108)",30,24,,6,,,,
"Otras activ. serv.comun.soc y personales (109)",29,14,3,11,,1,,
"Hogares privados con servicio doméstico (110)",4,,,,,,4,
"Actividad economica no especificada (112)",73,9,31,28,,5,,
"Desocupado (113)",71,,,,,,,71
"Mujeres (114)",1775,255,141,587,7,577,185,23
"Agric., ganadería, caza y silvicultura (115)",877,,102,264,2,509,,
"Industrias manufactureras (118)",35,1,3,31,,,,
"Construcción (120)",4,,2,2,,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (121)",207,27,,130,3,47,,
"Venta, mant.y rep. veh.autom.y motoc. (122)",4,,,4,,,,
"Comercio al por mayor (123)",13,2,,6,,5,,
"Comercio al por menor (124)",190,25,,120,3,42,,
"Hoteles y restaurantes (125)",120,18,1,89,2,10,,
"Trans., almac. y comunicaciones (126)",10,7,1,2,,,,
