"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia TALARA (000)",127209,125021,2188
"Casa independiente (001)",124972,123107,1865
"Departamento en edificio (002)",503,503,
"Vivienda en quinta (003)",137,137,
"Vivienda en casa de vecindad (004)",343,343,
"Choza o cabaña (005)",319,,319
"Vivienda improvisada (006)",784,784,
"Local no dest.para hab. humana (007)",129,129,
"Otro tipo (008)",22,18,4
