"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia AYMARAES (000)",9224,6324,1366,391,1143
"Hombres (001)",7025,4670,1076,319,960
"Mujeres (002)",2199,1654,290,72,183
"De 06 a 14 años (003)",91,72,16,2,1
"Hombres (004)",66,51,13,1,1
"Mujeres (005)",25,21,3,1,
"De 15 a 29 años (006)",2434,1546,377,125,386
"Hombres (007)",1868,1142,301,107,318
"Mujeres (008)",566,404,76,18,68
"De 30 a 44 años (009)",3142,1948,472,171,551
"Hombres (010)",2366,1408,359,139,460
"Mujeres (011)",776,540,113,32,91
"De 45 a 64 años (012)",2485,1822,381,87,195
"Hombres (013)",1895,1344,309,66,176
"Mujeres (014)",590,478,72,21,19
"De 65 y más años (015)",1072,936,120,6,10
"Hombres (016)",830,725,94,6,5
"Mujeres (017)",242,211,26,,5
,,,,,
"URBANA (018)",4144,2797,753,196,398
"Hombres (019)",2849,1899,546,139,265
"Mujeres (020)",1295,898,207,57,133
"De 06 a 14 años (021)",59,45,12,2,
"Hombres (022)",43,33,9,1,
"Mujeres (023)",16,12,3,1,
"De 15 a 29 años (024)",1027,693,190,52,92
"Hombres (025)",714,482,142,39,51
"Mujeres (026)",313,211,48,13,41
"De 30 a 44 años (027)",1481,904,294,82,201
"Hombres (028)",984,593,204,57,130
"Mujeres (029)",497,311,90,25,71
"De 45 a 64 años (030)",1125,775,198,56,96
"Hombres (031)",787,521,149,38,79
"Mujeres (032)",338,254,49,18,17
"De 65 y más años (033)",452,380,59,4,9
"Hombres (034)",321,270,42,4,5
"Mujeres (035)",131,110,17,,4
,,,,,
"RURAL (036)",5080,3527,613,195,745
"Hombres (037)",4176,2771,530,180,695
"Mujeres (038)",904,756,83,15,50
"De 06 a 14 años (039)",32,27,4,,1
"Hombres (040)",23,18,4,,1
"Mujeres (041)",9,9,,,
"De 15 a 29 años (042)",1407,853,187,73,294
"Hombres (043)",1154,660,159,68,267
"Mujeres (044)",253,193,28,5,27
"De 30 a 44 años (045)",1661,1044,178,89,350
"Hombres (046)",1382,815,155,82,330
"Mujeres (047)",279,229,23,7,20
"De 45 a 64 años (048)",1360,1047,183,31,99
"Hombres (049)",1108,823,160,28,97
"Mujeres (050)",252,224,23,3,2
"De 65 y más años (051)",620,556,61,2,1
"Hombres (052)",509,455,52,2,
"Mujeres (053)",111,101,9,,1
