"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia SATIPO (000)",48704,12330,36374
"Casa independiente (001)",28092,10367,17725
"Departamento en edificio (002)",141,141,
"Vivienda en quinta (003)",1050,1050,
"Vivienda en casa de vecindad (004)",601,601,
"Choza o cabaña (005)",18444,,18444
"Vivienda improvisada (006)",135,135,
"Local no dest.para hab. humana (007)",64,24,40
"Otro tipo (008)",177,12,165
