"CUADRO Nº 35: POBLACIÓN DESOCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"12 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia LAMPA (000)",2021,18,1032,620,284,67
"Conviviente (001)",609,1,321,241,42,4
"Separado(a) (002)",42,,13,17,11,1
"Casado(a) (003)",538,1,56,241,196,44
"Viudo(a) (004)",41,,2,6,16,17
"Divorciado(a) (005)",6,,,3,2,1
"Soltero(a) (006)",785,16,640,112,17,
"Hombres (008)",1581,14,748,510,249,60
"Conviviente (009)",503,,257,204,38,4
"Separado(a) (010)",13,,1,5,6,1
"Casado(a) (011)",487,1,49,217,180,40
"Viudo(a) (012)",32,,1,4,13,14
"Divorciado(a) (013)",3,,,2,,1
"Soltero(a) (014)",543,13,440,78,12,
"Mujeres (016)",440,4,284,110,35,7
"Conviviente (017)",106,1,64,37,4,
"Separado(a) (018)",29,,12,12,5,
"Casado(a) (019)",51,,7,24,16,4
"Viudo(a) (020)",9,,1,2,3,3
"Divorciado(a) (021)",3,,,1,2,
"Soltero(a) (022)",242,3,200,34,5,
,,,,,,
"AREA URBANA (024)",803,6,431,271,79,16
"Conviviente (025)",273,1,144,107,19,2
"Separado(a) (026)",13,,4,6,2,1
"Casado(a) (027)",190,,24,108,51,7
"Viudo(a) (028)",13,,,4,3,6
"Soltero(a) (030)",314,5,259,46,4,
"Hombres (032)",616,4,306,222,69,15
"Conviviente (033)",224,,115,91,16,2
"Separado(a) (034)",5,,,3,1,1
"Casado(a) (035)",167,,19,93,48,7
"Viudo(a) (036)",10,,,3,2,5
"Soltero(a) (038)",210,4,172,32,2,
"Mujeres (040)",187,2,125,49,10,1
"Conviviente (041)",49,1,29,16,3,
"Separado(a) (042)",8,,4,3,1,
"Casado(a) (043)",23,,5,15,3,
"Viudo(a) (044)",3,,,1,1,1
"Soltero(a) (046)",104,1,87,14,2,
,,,,,,
"AREA RURAL (048)",1218,12,601,349,205,51
"Conviviente (049)",336,,177,134,23,2
"Separado(a) (050)",29,,9,11,9,
"Casado(a) (051)",348,1,32,133,145,37
"Viudo(a) (052)",28,,2,2,13,11
"Divorciado(a) (053)",6,,,3,2,1
"Soltero(a) (054)",471,11,381,66,13,
"Hombres (056)",965,10,442,288,180,45
"Conviviente (057)",279,,142,113,22,2
"Separado(a) (058)",8,,1,2,5,
"Casado(a) (059)",320,1,30,124,132,33
"Viudo(a) (060)",22,,1,1,11,9
"Divorciado(a) (061)",3,,,2,,1
"Soltero(a) (062)",333,9,268,46,10,
"Mujeres (064)",253,2,159,61,25,6
"Conviviente (065)",57,,35,21,1,
"Separado(a) (066)",21,,8,9,4,
"Casado(a) (067)",28,,2,9,13,4
"Viudo(a) (068)",6,,1,1,2,2
"Divorciado(a) (069)",3,,,1,2,
"Soltero(a) (070)",138,2,113,20,3,
