"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia COTABAMBAS (000)",45009,11590,33419
"Casa independiente (001)",36197,11367,24830
"Departamento en edificio (002)",22,22,
"Vivienda en quinta (003)",15,15,
"Vivienda en casa de vecindad (004)",170,170,
"Choza o cabaña (005)",8579,,8579
"Local no dest.para hab. humana (007)",17,8,9
"Otro tipo (008)",9,8,1
