"CUADRO Nº 5: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia FERREÑAFE (000)",25116,23249,81,4528,4489,3802,4998,3034,1607,710,1867,87695
"De 12 a 14 años (001)",47,14,1,12,1,,,,,,33,14
"De 15 a 19 años (002)",778,648,6,562,70,5,5,,,,130,737
"De 20 a 24 años (003)",2668,2151,7,1232,643,196,66,7,,,517,3426
"De 25 a 29 años (004)",3175,2752,14,926,930,517,324,40,1,,423,5993
"De 30 a 34 años (005)",3099,2854,6,557,848,709,564,145,19,6,245,7972
"De 35 a 39 años (006)",3074,2919,7,353,687,699,779,289,91,14,155,9992
"De 40 a 44 años (007)",2684,2567,5,250,456,501,739,402,169,45,117,10398
"De 45 a 49 años (008)",2247,2174,8,176,300,383,643,379,214,71,73,9761
"De 50 y más años (009)",7344,7170,27,460,554,792,1878,1772,1113,574,174,39402
"Conviviente (010)",9070,8788,37,2103,1938,1420,1749,929,437,175,282,29481
"De 12 a 14 años (011)",43,10,1,9,,,,,,,33,9
"De 15 a 19 años (012)",543,438,5,376,52,1,4,,,,105,499
"De 20 a 24 años (013)",1487,1421,6,764,455,146,47,3,,,66,2328
"De 25 a 29 años (014)",1628,1595,8,464,538,325,232,27,1,,33,3692
"De 30 a 34 años (015)",1376,1358,3,203,374,338,318,105,12,5,18,4169
"De 35 a 39 años (016)",1247,1239,3,108,249,270,378,163,58,10,8,4720
"De 40 a 44 años (017)",883,877,2,62,111,140,270,177,92,23,6,4063
"De 45 a 49 años (018)",617,612,3,35,68,79,176,144,76,31,5,3089
"De 50 y más años (019)",1246,1238,6,82,91,121,324,310,198,106,8,6912
"Separado(a) (020)",1719,1687,7,611,373,263,239,125,53,16,32,4608
"De 15 a 19 años (022)",68,64,1,60,3,,,,,,4,66
