"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CALCA (000)",64469,22287,42182
"Casa independiente (001)",56859,20570,36289
"Departamento en edificio (002)",64,64,
"Vivienda en quinta (003)",157,157,
"Vivienda en casa de vecindad (004)",1403,1403,
"Choza o cabaña (005)",5871,,5871
"Vivienda improvisada (006)",49,49,
"Local no dest.para hab. humana (007)",58,41,17
"Otro tipo (008)",8,3,5
