"CUADRO Nº 8: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia PALPA (000)",4963,12544,11663,,208,93,1.7
"De 12 a 14 años (001)",415,3,2,,,66.7,
"De 15 a 19 años (002)",619,90,87,30,96.7,33.3,
"De 20 a 24 años (003)",563,385,381,47,99,12.2,
"De 25 a 29 años (004)",482,645,635,57,98.4,8.8,
"De 30 a 34 años (005)",450,874,849,37,97.1,4.2,
"De 35 a 39 años (006)",429,1131,1110,25,98.1,2.2,
"De 40 a 44 años (007)",414,1443,1388,12,96.2,0.8,
"De 45 a 49 años (008)",354,1283,1196,,93.2,,
"De 50 y más años (009)",1237,6690,6015,,89.9,,
"Conviviente (010)",1423,3586,3405,139,95,3.9,
"De 12 a 14 años (011)",3,2,1,,50,,
"De 15 a 19 años (012)",96,66,65,19,98.5,28.8,
"De 20 a 24 años (013)",236,288,284,38,98.6,13.2,
"De 25 a 29 años (014)",281,474,465,44,98.1,9.3,
"De 30 a 34 años (015)",246,534,522,20,97.8,3.7,
"De 35 a 39 años (016)",169,497,484,13,97.4,2.6,
"De 40 a 44 años (017)",140,534,517,5,96.8,0.9,
"De 45 a 49 años (018)",85,351,322,,91.7,,
"De 50 y más años (019)",167,840,745,,88.7,,
"Separado(a) (020)",221,747,703,7,94.1,0.9,
"De 15 a 19 años (022)",9,7,7,3,100,42.9,
"De 20 a 24 años (023)",16,19,19,2,100,10.5,
"De 25 a 29 años (024)",16,25,25,1,100,4,
"De 30 a 34 años (025)",24,36,34,,94.4,,
"De 35 a 39 años (026)",39,93,92,1,98.9,1.1,
"De 40 a 44 años (027)",21,93,88,,94.6,,
"De 45 a 49 años (028)",29,127,115,,90.6,,
"De 50 y más años (029)",67,347,323,,93.1,,
"Casado(a) (030)",1367,5957,5515,43,92.6,0.7,
"De 15 a 19 años (032)",5,3,1,1,33.3,33.3,
"De 20 a 24 años (033)",19,20,20,4,100,20,
"De 25 a 29 años (034)",61,104,103,10,99,9.6,
"De 30 a 34 años (035)",107,258,249,12,96.5,4.7,
"De 35 a 39 años (036)",172,476,470,9,98.7,1.9,
"De 40 a 44 años (037)",199,725,699,7,96.4,1,
"De 45 a 49 años (038)",171,679,640,,94.3,,
"De 50 y más años (039)",633,3692,3333,,90.3,,
"Viudo(a) (040)",301,1755,1557,1,88.7,0.1,
