"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia DANIEL ALCIDES CARRION (000)",45384,1903,4693,5924,5455,8184,6204,9558,3463
"Sin nivel (001)",6103,1903,189,40,44,153,351,1777,1646
"Educación inicial (002)",1097,,1018,9,16,25,29,,
"Primaria (003)",14689,,3486,3281,327,784,1444,3976,1391
"Secundaria (004)",16695,,,2594,4423,4028,2734,2590,326
"Superior no univ. incompleto (005)",1608,,,,291,846,283,165,23
"Superior no univ. completo (006)",959,,,,,447,308,183,21
"Superior univ. incompleto (007)",1799,,,,354,1062,219,153,11
"Superior univ. completo (008)",2434,,,,,839,836,714,45
"Hombres (010)",22774,1013,2379,3128,2747,3979,3067,4760,1701
"Sin nivel (011)",2230,1013,114,24,21,67,114,466,411
"Educación inicial (012)",535,,509,5,4,9,8,,
"Primaria (013)",7204,,1756,1725,148,263,505,1846,961
"Secundaria (014)",9040,,,1374,2279,2027,1502,1613,245
"Superior no univ. incompleto (015)",841,,,,139,411,164,108,19
"Superior no univ. completo (016)",546,,,,,239,174,115,18
"Superior univ. incompleto (017)",904,,,,156,523,113,103,9
"Superior univ. completo (018)",1474,,,,,440,487,509,38
"Mujeres (020)",22610,890,2314,2796,2708,4205,3137,4798,1762
"Sin nivel (021)",3873,890,75,16,23,86,237,1311,1235
"Educación inicial (022)",562,,509,4,12,16,21,,
"Primaria (023)",7485,,1730,1556,179,521,939,2130,430
"Secundaria (024)",7655,,,1220,2144,2001,1232,977,81
"Superior no univ. incompleto (025)",767,,,,152,435,119,57,4
"Superior no univ. completo (026)",413,,,,,208,134,68,3
"Superior univ. incompleto (027)",895,,,,198,539,106,50,2
"Superior univ. completo (028)",960,,,,,399,349,205,7
,,,,,,,,,
"URBANA (030)",26708,998,2485,3297,3289,4822,3739,5844,2234
"Sin nivel (031)",3397,998,79,17,23,68,190,1007,1015
"Educación inicial (032)",586,,542,4,10,19,11,,
"Primaria (033)",8043,,1864,1713,149,383,755,2274,905
"Secundaria (034)",9805,,,1563,2642,2150,1588,1623,239
"Superior no univ. incompleto (035)",940,,,,174,465,183,105,13
