"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia HUARMEY (000)",10485,386,8,2357,4514,626,906,511,1177
"Miembros p.ejec. y leg.direct., adm.pub.y emp (001)",23,,,,7,1,3,1,11
"Profes., científicos e intelectuales (002)",710,,,,22,27,107,60,494
"Técnicos de nivel medio ytrab.asimilados (003)",360,1,,16,73,46,115,34,75
"Jefes y empleados de oficina (004)",419,,,1,130,45,97,46,100
"Trab.de serv.pers.y vend.del comerc y mcdo. (005)",1498,49,,322,695,105,124,72,131
"Agricult.trabaj. calif.agrop. y pesquros (006)",1948,89,1,738,890,60,61,51,58
"Obreros y oper.minas, cant., ind.manuf.y otros (007)",709,21,,92,310,65,123,37,61
"Obreros. construc., conf., papel, fab., instr (008)",1287,35,4,194,714,91,82,87,80
"Trabaj.no calif.serv. peon, vend., amb.,y afines (009)",3141,167,3,925,1520,161,139,105,121
"Otra (010)",43,,,,,,31,2,10
"Ocupación no especificada (011)",347,24,,69,153,25,24,16,36
"Hombres (012)",7547,225,7,1722,3519,425,551,377,721
"Miembros p.ejec. y leg.direct., adm.pub.y emp (013)",19,,,,5,,2,1,11
"Profes., científicos e intelectuales (014)",341,,,,10,12,46,30,243
"Técnicos de nivel medio ytrab.asimilados (015)",235,,,7,49,39,58,31,51
"Jefes y empleados de oficina (016)",219,,,1,80,20,38,25,55
"Trab.de serv.pers.y vend.del comerc y mcdo. (017)",609,8,,120,299,49,39,38,56
"Agricult.trabaj. calif.agrop. y pesquros (018)",1850,76,1,697,860,56,54,50,56
"Obreros y oper.minas, cant., ind.manuf.y otros (019)",585,13,,70,262,49,104,32,55
"Obreros. construc., conf., papel, fab., instr (020)",1247,35,4,184,695,89,82,83,75
"Trabaj.no calif.serv. peon, vend., amb.,y afines (021)",2218,89,2,620,1155,101,88,74,89
"Otra (022)",41,,,,,,30,2,9
"Ocupación no especificada (023)",183,4,,23,104,10,10,11,21
"Mujeres (024)",2938,161,1,635,995,201,355,134,456
"Miembros p.ejec. y leg.direct., adm.pub.y emp (025)",4,,,,2,1,1,,
"Profes., científicos e intelectuales (026)",369,,,,12,15,61,30,251
"Técnicos de nivel medio ytrab.asimilados (027)",125,1,,9,24,7,57,3,24
"Jefes y empleados de oficina (028)",200,,,,50,25,59,21,45
"Trab.de serv.pers.y vend.del comerc y mcdo. (029)",889,41,,202,396,56,85,34,75
"Agricult.trabaj. calif.agrop. y pesquros (030)",98,13,,41,30,4,7,1,2
"Obreros y oper.minas, cant., ind.manuf.y otros (031)",124,8,,22,48,16,19,5,6
"Obreros. construc., conf., papel, fab., instr (032)",40,,,10,19,2,,4,5
"Trabaj.no calif.serv. peon, vend., amb.,y afines (033)",923,78,1,305,365,60,51,31,32
"Otra (034)",2,,,,,,1,,1
"Ocupación no especificada (035)",164,20,,46,49,15,14,5,15
,,,,,,,,,
"URBANA (036)",7999,223,6,1424,3368,570,852,467,1089
"Miembros p.ejec. y leg.direct., adm.pub.y emp (037)",21,,,,7,1,3,1,9
"Profes., científicos e intelectuales (038)",641,,,,17,23,98,58,445
