"CUADRO Nº 17: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia LA CONVENCION (000)",63455,7337,9430,34571,1283,9883,951
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",67,62,,,5,,
"Profes., científicos e intelectuales (002)",3486,3123,,313,19,31,
"Técnicos de nivel medio y trab. asimilados (003)",1238,805,,344,61,28,
"Jefes y empleados de oficina (004)",940,927,,4,,9,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",5865,911,46,4034,146,728,
"Agricult.trabaj.calif.agrop.y pesqueros (006)",25468,5,16,24561,886,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",2091,,590,1333,70,98,
"Obreros construc.,conf.,papel, fab., instr. (008)",3428,375,1367,1587,56,43,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",18665,588,7067,1448,20,8591,951
"Otra (010)",311,311,,,,,
"Ocupación no especificada (011)",1896,230,344,947,20,355,
"Hombres (012)",46938,4365,8120,27368,1041,5906,138
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",57,53,,,4,,
"Profes., científicos e intelectuales (014)",1934,1690,,211,16,17,
"Técnicos de nivel medio y trab. asimilados (015)",797,525,,215,38,19,
"Jefes y empleados de oficina (016)",523,518,,2,,3,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",1964,428,11,1304,66,155,
"Agricult.trabaj.calif.agrop.y pesqueros (018)",23052,5,16,22243,788,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",1835,,564,1149,58,64,
"Obreros construc.,conf.,papel, fab., instr. (020)",3364,373,1349,1546,55,41,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",12351,342,5935,394,5,5537,138
"Otra (022)",303,303,,,,,
"Ocupación no especificada (023)",758,128,245,304,11,70,
"Mujeres (024)",16517,2972,1310,7203,242,3977,813
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",10,9,,,1,,
"Profes., científicos e intelectuales (026)",1552,1433,,102,3,14,
"Técnicos de nivel medio y trab. asimilados (027)",441,280,,129,23,9,
"Jefes y empleados de oficina (028)",417,409,,2,,6,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",3901,483,35,2730,80,573,
"Agricult.trabaj.calif.agrop.y pesqueros (030)",2416,,,2318,98,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",256,,26,184,12,34,
"Obreros construc.,conf.,papel, fab., instr. (032)",64,2,18,41,1,2,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",6314,246,1132,1054,15,3054,813
"Otra (034)",8,8,,,,,
"Ocupación no especificada (035)",1138,102,99,643,9,285,
,,,,,,,
"URBANA (036)",19578,5208,2759,9126,535,1516,434
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (037)",42,38,,,4,,
"Profes., científicos e intelectuales (038)",2331,2066,,231,18,16,
"Técnicos de nivel medio y trab. asimilados (039)",913,568,,285,44,16,
"Jefes y empleados de oficina (040)",684,675,,3,,6,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (041)",4152,720,12,2820,117,483,
"Agricult.trabaj.calif.agrop.y pesqueros (042)",2622,3,3,2398,218,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (043)",1479,,363,995,65,56,
"Obreros construc.,conf.,papel, fab., instr. (044)",2215,292,782,1076,45,20,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (045)",4248,427,1433,1086,15,853,434
"Otra (046)",262,262,,,,,
"Ocupación no especificada (047)",630,157,166,232,9,66,
"Hombres (048)",12127,3078,2395,5547,389,664,54
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (049)",37,34,,,3,,
"Profes., científicos e intelectuales (050)",1310,1120,,167,15,8,
"Técnicos de nivel medio y trab. asimilados (051)",589,366,,183,29,11,
"Jefes y empleados de oficina (052)",371,368,,1,,2,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (053)",1398,334,5,915,56,88,
"Agricult.trabaj.calif.agrop.y pesqueros (054)",2188,3,3,2006,176,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (055)",1305,,347,861,55,42,
"Obreros construc.,conf.,papel, fab., instr. (056)",2166,290,770,1043,44,19,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (057)",2192,216,1147,290,5,480,54
"Otra (058)",255,255,,,,,
"Ocupación no especificada (059)",316,92,123,81,6,14,
"Mujeres (060)",7451,2130,364,3579,146,852,380
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (061)",5,4,,,1,,
"Profes., científicos e intelectuales (062)",1021,946,,64,3,8,
"Técnicos de nivel medio y trab. asimilados (063)",324,202,,102,15,5,
"Jefes y empleados de oficina (064)",313,307,,2,,4,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (065)",2754,386,7,1905,61,395,
"Agricult.trabaj.calif.agrop.y pesqueros (066)",434,,,392,42,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (067)",174,,16,134,10,14,
"Obreros construc.,conf.,papel, fab., instr. (068)",49,2,12,33,1,1,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (069)",2056,211,286,796,10,373,380
"Otra (070)",7,7,,,,,
"Ocupación no especificada (071)",314,65,43,151,3,52,
,,,,,,,
"RURAL (072)",43877,2129,6671,25445,748,8367,517
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (073)",25,24,,,1,,
"Profes., científicos e intelectuales (074)",1155,1057,,82,1,15,
"Técnicos de nivel medio y trab. asimilados (075)",325,237,,59,17,12,
"Jefes y empleados de oficina (076)",256,252,,1,,3,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (077)",1713,191,34,1214,29,245,
"Agricult.trabaj.calif.agrop.y pesqueros (078)",22846,2,13,22163,668,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (079)",612,,227,338,5,42,
"Obreros construc.,conf.,papel, fab., instr. (080)",1213,83,585,511,11,23,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (081)",14417,161,5634,362,5,7738,517
"Otra (082)",49,49,,,,,
"Ocupación no especificada (083)",1266,73,178,715,11,289,
"Hombres (084)",34811,1287,5725,21821,652,5242,84
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (085)",20,19,,,1,,
"Profes., científicos e intelectuales (086)",624,570,,44,1,9,
"Técnicos de nivel medio y trab. asimilados (087)",208,159,,32,9,8,
"Jefes y empleados de oficina (088)",152,150,,1,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (089)",566,94,6,389,10,67,
"Agricult.trabaj.calif.agrop.y pesqueros (090)",20864,2,13,20237,612,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (091)",530,,217,288,3,22,
"Obreros construc.,conf.,papel, fab., instr. (092)",1198,83,579,503,11,22,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (093)",10159,126,4788,104,,5057,84
"Otra (094)",48,48,,,,,
"Ocupación no especificada (095)",442,36,122,223,5,56,
