"CUADRO Nº 35: POBLACIÓN DESOCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"12 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia YUNGUYO (000)",1152,14,641,329,141,27
"Conviviente (001)",172,1,95,57,16,3
"Separado(a) (002)",13,,3,9,1,
"Casado(a) (003)",354,,48,180,107,19
"Viudo(a) (004)",22,,2,8,8,4
"Divorciado(a) (005)",4,,1,1,2,
"Soltero(a) (006)",587,13,492,74,7,1
"Hombres (008)",802,7,415,241,117,22
"Conviviente (009)",126,,68,43,13,2
"Separado(a) (010)",5,,1,3,1,
"Casado(a) (011)",283,,32,142,92,17
"Viudo(a) (012)",12,,1,4,5,2
"Divorciado(a) (013)",2,,,1,1,
"Soltero(a) (014)",374,7,313,48,5,1
"Mujeres (016)",350,7,226,88,24,5
"Conviviente (017)",46,1,27,14,3,1
"Separado(a) (018)",8,,2,6,,
"Casado(a) (019)",71,,16,38,15,2
"Viudo(a) (020)",10,,1,4,3,2
"Divorciado(a) (021)",2,,1,,1,
"Soltero(a) (022)",213,6,179,26,2,
,,,,,,
"AREA URBANA (024)",442,5,210,142,69,16
"Conviviente (025)",77,1,40,24,10,2
"Separado(a) (026)",2,,,2,,
"Casado(a) (027)",159,,23,78,46,12
"Viudo(a) (028)",11,,,6,4,1
"Divorciado(a) (029)",2,,,,2,
"Soltero(a) (030)",191,4,147,32,7,1
"Hombres (032)",284,3,126,91,51,13
"Conviviente (033)",50,,25,16,8,1
"Casado(a) (035)",111,,15,51,35,10
"Viudo(a) (036)",5,,,2,2,1
"Divorciado(a) (037)",1,,,,1,
"Soltero(a) (038)",117,3,86,22,5,1
"Mujeres (040)",158,2,84,51,18,3
"Conviviente (041)",27,1,15,8,2,1
"Separado(a) (042)",2,,,2,,
"Casado(a) (043)",48,,8,27,11,2
"Viudo(a) (044)",6,,,4,2,
"Divorciado(a) (045)",1,,,,1,
"Soltero(a) (046)",74,1,61,10,2,
,,,,,,
"AREA RURAL (048)",710,9,431,187,72,11
"Conviviente (049)",95,,55,33,6,1
"Separado(a) (050)",11,,3,7,1,
"Casado(a) (051)",195,,25,102,61,7
"Viudo(a) (052)",11,,2,2,4,3
"Divorciado(a) (053)",2,,1,1,,
"Soltero(a) (054)",396,9,345,42,,
"Hombres (056)",518,4,289,150,66,9
"Conviviente (057)",76,,43,27,5,1
"Separado(a) (058)",5,,1,3,1,
"Casado(a) (059)",172,,17,91,57,7
"Viudo(a) (060)",7,,1,2,3,1
"Divorciado(a) (061)",1,,,1,,
"Soltero(a) (062)",257,4,227,26,,
"Mujeres (064)",192,5,142,37,6,2
"Conviviente (065)",19,,12,6,1,
"Separado(a) (066)",6,,2,4,,
"Casado(a) (067)",23,,8,11,4,
"Viudo(a) (068)",4,,1,,1,2
"Divorciado(a) (069)",1,,1,,,
"Soltero(a) (070)",139,5,118,16,,
