"CUADRO Nº 17: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia ILO (000)",26126,9004,6042,9216,535,681,648
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",72,62,,,10,,
"Profes., científicos e intelectuales (002)",2761,2327,,371,58,5,
"Técnicos de nivel medio y trab. asimilados (003)",2406,1661,,610,130,4,1
"Jefes y empleados de oficina (004)",1718,1703,,7,,8,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",4868,1555,62,2775,118,358,
"Agricult.trabaj.calif.agrop.y pesqueros (006)",1721,1,712,922,74,12,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",2944,,1802,1042,69,31,
"Obreros construc.,conf.,papel, fab., instr. (008)",3347,372,1280,1639,42,14,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",5194,855,1931,1550,16,195,647
"Otra (010)",278,278,,,,,
"Ocupación no especificada (011)",817,190,255,300,18,54,
"Hombres (012)",16445,4894,5566,5339,356,256,34
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",49,42,,,7,,
"Profes., científicos e intelectuales (014)",1285,1055,,187,41,2,
"Técnicos de nivel medio y trab. asimilados (015)",1531,1065,,375,87,4,
"Jefes y empleados de oficina (016)",745,740,,3,,2,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",1873,912,18,832,41,70,
"Agricult.trabaj.calif.agrop.y pesqueros (018)",1658,1,702,871,73,11,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",2640,,1727,839,51,23,
"Obreros construc.,conf.,papel, fab., instr. (020)",3275,360,1257,1603,42,13,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",2659,362,1659,491,4,109,34
"Otra (022)",261,261,,,,,
"Ocupación no especificada (023)",469,96,203,138,10,22,
"Mujeres (024)",9681,4110,476,3877,179,425,614
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",23,20,,,3,,
"Profes., científicos e intelectuales (026)",1476,1272,,184,17,3,
"Técnicos de nivel medio y trab. asimilados (027)",875,596,,235,43,,1
"Jefes y empleados de oficina (028)",973,963,,4,,6,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",2995,643,44,1943,77,288,
"Agricult.trabaj.calif.agrop.y pesqueros (030)",63,,10,51,1,1,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",304,,75,203,18,8,
"Obreros construc.,conf.,papel, fab., instr. (032)",72,12,23,36,,1,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",2535,493,272,1059,12,86,613
"Otra (034)",17,17,,,,,
"Ocupación no especificada (035)",348,94,52,162,8,32,
,,,,,,,
"URBANA (036)",25791,8835,5962,9148,534,666,646
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (037)",68,58,,,10,,
"Profes., científicos e intelectuales (038)",2747,2313,,371,58,5,
"Técnicos de nivel medio y trab. asimilados (039)",2390,1646,,609,130,4,1
"Jefes y empleados de oficina (040)",1708,1693,,7,,8,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (041)",4841,1539,62,2766,118,356,
"Agricult.trabaj.calif.agrop.y pesqueros (042)",1663,1,704,873,73,12,
"Obreros y oper.minas,cant.,ind.manuf.y otros (043)",2928,,1790,1039,69,30,
"Obreros construc.,conf.,papel, fab., instr. (044)",3326,363,1269,1638,42,14,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (045)",5121,845,1882,1550,16,183,645
"Otra (046)",190,190,,,,,
"Ocupación no especificada (047)",809,187,255,295,18,54,
"Hombres (048)",16173,4749,5489,5297,355,249,34
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (049)",47,40,,,7,,
"Profes., científicos e intelectuales (050)",1277,1047,,187,41,2,
"Técnicos de nivel medio y trab. asimilados (051)",1519,1054,,374,87,4,
"Jefes y empleados de oficina (052)",739,734,,3,,2,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (053)",1852,896,18,828,41,69,
"Agricult.trabaj.calif.agrop.y pesqueros (054)",1617,1,694,839,72,11,
"Obreros y oper.minas,cant.,ind.manuf.y otros (055)",2626,,1716,837,51,22,
"Obreros construc.,conf.,papel, fab., instr. (056)",3254,351,1246,1602,42,13,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (057)",2600,355,1612,491,4,104,34
"Otra (058)",178,178,,,,,
"Ocupación no especificada (059)",464,93,203,136,10,22,
"Mujeres (060)",9618,4086,473,3851,179,417,612
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (061)",21,18,,,3,,
"Profes., científicos e intelectuales (062)",1470,1266,,184,17,3,
"Técnicos de nivel medio y trab. asimilados (063)",871,592,,235,43,,1
"Jefes y empleados de oficina (064)",969,959,,4,,6,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (065)",2989,643,44,1938,77,287,
"Agricult.trabaj.calif.agrop.y pesqueros (066)",46,,10,34,1,1,
"Obreros y oper.minas,cant.,ind.manuf.y otros (067)",302,,74,202,18,8,
"Obreros construc.,conf.,papel, fab., instr. (068)",72,12,23,36,,1,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (069)",2521,490,270,1059,12,79,611
"Otra (070)",12,12,,,,,
"Ocupación no especificada (071)",345,94,52,159,8,32,
,,,,,,,
"RURAL (072)",335,169,80,68,1,15,2
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (073)",4,4,,,,,
"Profes., científicos e intelectuales (074)",14,14,,,,,
"Técnicos de nivel medio y trab. asimilados (075)",16,15,,1,,,
"Jefes y empleados de oficina (076)",10,10,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (077)",27,16,,9,,2,
"Agricult.trabaj.calif.agrop.y pesqueros (078)",58,,8,49,1,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (079)",16,,12,3,,1,
"Obreros construc.,conf.,papel, fab., instr. (080)",21,9,11,1,,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (081)",73,10,49,,,12,2
"Otra (082)",88,88,,,,,
"Ocupación no especificada (083)",8,3,,5,,,
"Hombres (084)",272,145,77,42,1,7,
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (085)",2,2,,,,,
"Profes., científicos e intelectuales (086)",8,8,,,,,
"Técnicos de nivel medio y trab. asimilados (087)",12,11,,1,,,
"Jefes y empleados de oficina (088)",6,6,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (089)",21,16,,4,,1,
"Agricult.trabaj.calif.agrop.y pesqueros (090)",41,,8,32,1,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (091)",14,,11,2,,1,
"Obreros construc.,conf.,papel, fab., instr. (092)",21,9,11,1,,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (093)",59,7,47,,,5,
"Otra (094)",83,83,,,,,
"Ocupación no especificada (095)",5,3,,2,,,
"Mujeres (096)",63,24,3,26,,8,2
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (097)",2,2,,,,,
