"CUADRO Nº 3: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA PARTICULAR",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL Y TIPO DE VIVIENDA PARTICULAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia CAÑETE (000)",198348,3942,57348,53336,40264,29759,13699
"Casa independiente (001)",184110,3593,52942,49222,37486,27937,12930
"Departamento en edificio (002)",1352,26,385,392,326,178,45
"Vivienda en quinta (003)",1677,38,510,512,319,222,76
"Vivienda en casa de vecindad (004)",1076,25,332,301,225,132,61
"Choza o cabaña (005)",2121,38,587,543,391,346,216
"Vivienda improvisada (006)",7262,203,2365,2136,1387,842,329
"Local no destinado para hab.humana (007)",340,7,86,106,65,54,22
"Otro tipo (008)",410,12,141,124,65,48,20
,,,,,,,
"URBANA (009)",166965,3350,48519,45059,34021,24872,11144
"Casa independiente (010)",155091,3049,44772,41570,31674,23425,10601
"Departamento en edificio (011)",1352,26,385,392,326,178,45
"Vivienda en quinta (012)",1677,38,510,512,319,222,76
"Vivienda en casa de vecindad (013)",1076,25,332,301,225,132,61
"Vivienda improvisada (015)",7262,203,2365,2136,1387,842,329
"Local no destinado para hab.humana (016)",273,5,67,81,54,45,21
"Otro tipo (017)",234,4,88,67,36,28,11
,,,,,,,
"RURAL (018)",31383,592,8829,8277,6243,4887,2555
"Casa independiente (019)",29019,544,8170,7652,5812,4512,2329
"Choza o cabaña (023)",2121,38,587,543,391,346,216
"Local no destinado para hab.humana (025)",67,2,19,25,11,9,1
"Otro tipo (026)",176,8,53,57,29,20,9
