"CUADRO Nº 23: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia TALARA (000)",42659,13303,11870,14643,848,1021,974
"Agric., ganadería, caza y silvicultura (001)",456,16,202,189,10,39,
"Pesca (002)",5021,70,2604,1941,174,232,
"Explotación de minas y canteras (003)",2276,918,1353,4,1,,
"Industrias manufactureras (004)",3052,239,1420,1271,89,33,
"Suministro de electricidad, gas y agua (005)",192,78,98,14,1,1,
"Construcción (006)",3493,221,2237,961,64,10,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",7887,1843,767,4607,192,478,
"Venta, mant.y rep. veh.autom.y motoc. (008)",1339,163,571,553,37,15,
"Comercio al por mayor (009)",466,186,36,203,20,21,
"Comercio al por menor (010)",6082,1494,160,3851,135,442,
"Hoteles y restaurantes (011)",2665,1088,259,1121,105,92,
"Trans., almac. y comunicaciones (012)",5256,1231,1266,2662,66,31,
"Intermediación financiera (013)",213,177,5,27,3,1,
"Activid.inmobil., empres. y alquileres (014)",3926,2713,700,437,66,10,
"Admin.pub. y defensa; p. segur.soc.afil (015)",1616,1366,250,,,,
"Enseñanza (016)",1888,1687,2,181,5,13,
"Servicios sociales y de salud (017)",604,477,10,110,6,1,
"Otras activ. serv.comun.soc y personales (018)",1898,747,406,696,28,21,
"Hogares privados con servicio doméstico (019)",974,,,,,,974
"Actividad economica no especificada (021)",1242,432,291,422,38,59,
"Hombres (022)",31064,8005,11146,10694,637,529,53
"Agric., ganadería, caza y silvicultura (023)",414,15,183,173,9,34,
"Pesca (024)",4909,62,2545,1901,172,229,
"Explotación de minas y canteras (025)",2161,822,1336,3,,,
"Industrias manufactureras (026)",2482,169,1279,945,71,18,
"Suministro de electricidad, gas y agua (027)",175,66,93,14,1,1,
"Construcción (028)",3403,192,2200,941,60,10,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",4693,956,746,2729,123,139,
"Venta, mant.y rep. veh.autom.y motoc. (030)",1257,121,559,529,36,12,
"Comercio al por mayor (031)",299,113,35,133,17,1,
"Comercio al por menor (032)",3137,722,152,2067,70,126,
"Hoteles y restaurantes (033)",985,435,177,306,43,24,
"Trans., almac. y comunicaciones (034)",4913,983,1241,2598,64,27,
"Intermediación financiera (035)",90,73,4,11,2,,
"Activid.inmobil., empres. y alquileres (036)",3045,2026,639,322,51,7,
"Admin.pub. y defensa; p. segur.soc.afil (037)",1124,972,152,,,,
"Enseñanza (038)",558,479,2,74,1,2,
"Servicios sociales y de salud (039)",202,133,10,55,4,,
"Otras activ. serv.comun.soc y personales (040)",1191,418,337,407,17,12,
"Hogares privados con servicio doméstico (041)",53,,,,,,53
"Actividad economica no especificada (043)",666,204,202,215,19,26,
"Mujeres (044)",11595,5298,724,3949,211,492,921
"Agric., ganadería, caza y silvicultura (045)",42,1,19,16,1,5,
"Pesca (046)",112,8,59,40,2,3,
"Explotación de minas y canteras (047)",115,96,17,1,1,,
"Industrias manufactureras (048)",570,70,141,326,18,15,
"Suministro de electricidad, gas y agua (049)",17,12,5,,,,
"Construcción (050)",90,29,37,20,4,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",3194,887,21,1878,69,339,
"Venta, mant.y rep. veh.autom.y motoc. (052)",82,42,12,24,1,3,
"Comercio al por mayor (053)",167,73,1,70,3,20,
"Comercio al por menor (054)",2945,772,8,1784,65,316,
"Hoteles y restaurantes (055)",1680,653,82,815,62,68,
"Trans., almac. y comunicaciones (056)",343,248,25,64,2,4,
"Intermediación financiera (057)",123,104,1,16,1,1,
"Activid.inmobil., empres. y alquileres (058)",881,687,61,115,15,3,
"Admin.pub. y defensa; p. segur.soc.afil (059)",492,394,98,,,,
"Enseñanza (060)",1330,1208,,107,4,11,
"Servicios sociales y de salud (061)",402,344,,55,2,1,
"Otras activ. serv.comun.soc y personales (062)",707,329,69,289,11,9,
"Hogares privados con servicio doméstico (063)",921,,,,,,921
"Actividad economica no especificada (065)",576,228,89,207,19,33,
,,,,,,,
"URBANA (066)",41644,13111,11575,14203,800,1004,951
"Agric., ganadería, caza y silvicultura (067)",316,16,124,143,9,24,
"Pesca (068)",4691,70,2484,1743,162,232,
"Explotación de minas y canteras (069)",2266,909,1352,4,1,,
"Industrias manufactureras (070)",3020,228,1412,1259,88,33,
"Suministro de electricidad, gas y agua (071)",192,78,98,14,1,1,
"Construcción (072)",3423,214,2211,932,56,10,
"Comerc., rep. veh. autom.,motoc. efect. pers. (073)",7784,1829,763,4531,185,476,
"Venta, mant.y rep. veh.autom.y motoc. (074)",1328,161,568,548,36,15,
"Comercio al por mayor (075)",454,181,35,199,19,20,
"Comercio al por menor (076)",6002,1487,160,3784,130,441,
"Hoteles y restaurantes (077)",2580,1041,242,1101,104,92,
"Trans., almac. y comunicaciones (078)",5218,1218,1257,2648,64,31,
"Intermediación financiera (079)",203,167,5,27,3,1,
"Activid.inmobil., empres. y alquileres (080)",3857,2683,681,424,59,10,
"Admin.pub. y defensa; p. segur.soc.afil (081)",1591,1342,249,,,,
"Enseñanza (082)",1876,1677,2,179,5,13,
"Servicios sociales y de salud (083)",594,470,10,108,5,1,
"Otras activ. serv.comun.soc y personales (084)",1858,740,396,675,26,21,
"Hogares privados con servicio doméstico (085)",951,,,,,,951
"Actividad economica no especificada (087)",1224,429,289,415,32,59,
"Hombres (088)",30218,7880,10867,10309,597,515,50
"Agric., ganadería, caza y silvicultura (089)",284,15,111,129,8,21,
"Pesca (090)",4580,62,2426,1703,160,229,
"Explotación de minas y canteras (091)",2152,814,1335,3,,,
"Industrias manufactureras (092)",2459,163,1272,936,70,18,
"Suministro de electricidad, gas y agua (093)",175,66,93,14,1,1,
"Construcción (094)",3337,186,2175,913,53,10,
"Comerc., rep. veh. autom.,motoc. efect. pers. (095)",4614,946,742,2671,117,138,
"Venta, mant.y rep. veh.autom.y motoc. (096)",1247,120,556,524,35,12,
"Comercio al por mayor (097)",291,110,34,130,16,1,
"Comercio al por menor (098)",3076,716,152,2017,66,125,
"Hoteles y restaurantes (099)",923,399,162,296,42,24,
"Trans., almac. y comunicaciones (100)",4880,973,1232,2585,63,27,
"Intermediación financiera (101)",87,70,4,11,2,,
"Activid.inmobil., empres. y alquileres (102)",3000,2009,623,315,46,7,
"Admin.pub. y defensa; p. segur.soc.afil (103)",1104,952,152,,,,
"Enseñanza (104)",556,477,2,74,1,2,
"Servicios sociales y de salud (105)",199,132,10,54,3,,
"Otras activ. serv.comun.soc y personales (106)",1162,414,327,393,16,12,
"Hogares privados con servicio doméstico (107)",50,,,,,,50
"Actividad economica no especificada (109)",656,202,201,212,15,26,
"Mujeres (110)",11426,5231,708,3894,203,489,901
"Agric., ganadería, caza y silvicultura (111)",32,1,13,14,1,3,
"Pesca (112)",111,8,58,40,2,3,
"Explotación de minas y canteras (113)",114,95,17,1,1,,
"Industrias manufactureras (114)",561,65,140,323,18,15,
