"CUADRO Nº 15: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia CHINCHA (000)",78464,18566,27691,24108,1023,2317,1613,3146
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",164,147,,,17,,,
"Profes., científicos e intelectuales (002)",6996,6264,,642,71,19,,
"Técnicos de nivel medio y trab. asimilados (003)",4200,3211,,824,150,11,4,
"Jefes y empleados de oficina (004)",2930,2893,,24,,13,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",10046,2768,193,5937,243,901,4,
"Agricult.trabaj.calif.agrop.y pesqueros (006)",4437,45,113,4068,211,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",13862,,11061,2573,152,76,,
"Obreros construc.,conf.,papel, fab., instr. (008)",10356,707,3990,5467,113,79,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",19679,1561,11243,4142,42,1086,1605,
"Otra (010)",526,526,,,,,,
"Ocupaciñn no especificada (011)",2122,444,1091,431,24,132,,
"Desocupado (012)",3146,,,,,,,3146
"Hombres (013)",50843,10795,20066,16236,737,859,168,1982
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",119,106,,,13,,,
"Profes., científicos e intelectuales (015)",3352,2826,,473,48,5,,
"Técnicos de nivel medio y trab. asimilados (016)",2730,1986,,622,116,5,1,
"Jefes y empleados de oficina (017)",1615,1596,,13,,6,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",4643,1816,70,2448,127,182,,
"Agricult.trabaj.calif.agrop.y pesqueros (019)",3634,41,111,3312,170,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (020)",8915,,6697,2059,117,42,,
"Obreros construc.,conf.,papel, fab., instr. (021)",9871,702,3770,5228,109,62,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (022)",12223,965,8701,1854,19,517,167,
"Otra (023)",510,510,,,,,,
"Ocupaciñn no especificada (024)",1249,247,717,227,18,40,,
"Desocupado (025)",1982,,,,,,,1982
"Mujeres (026)",27621,7771,7625,7872,286,1458,1445,1164
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",45,41,,,4,,,
"Profes., científicos e intelectuales (028)",3644,3438,,169,23,14,,
"Técnicos de nivel medio y trab. asimilados (029)",1470,1225,,202,34,6,3,
"Jefes y empleados de oficina (030)",1315,1297,,11,,7,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",5403,952,123,3489,116,719,4,
"Agricult.trabaj.calif.agrop.y pesqueros (032)",803,4,2,756,41,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (033)",4947,,4364,514,35,34,,
"Obreros construc.,conf.,papel, fab., instr. (034)",485,5,220,239,4,17,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (035)",7456,596,2542,2288,23,569,1438,
"Otra (036)",16,16,,,,,,
"Ocupaciñn no especificada (037)",873,197,374,204,6,92,,
"Desocupado (038)",1164,,,,,,,1164
,,,,,,,,
"URBANA (039)",70408,17795,23580,21861,937,1803,1519,2913
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (040)",154,139,,,15,,,
"Profes., científicos e intelectuales (041)",6790,6073,,630,68,19,,
"Técnicos de nivel medio y trab. asimilados (042)",4014,3047,,810,143,10,4,
"Jefes y empleados de oficina (043)",2822,2785,,24,,13,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (044)",9643,2604,176,5751,231,877,4,
"Agricult.trabaj.calif.agrop.y pesqueros (045)",2697,32,101,2403,161,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (046)",13182,,10440,2523,143,76,,
"Obreros construc.,conf.,papel, fab., instr. (047)",9870,682,3721,5283,111,73,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (048)",15822,1491,8127,4047,41,605,1511,
"Otra (049)",518,518,,,,,,
"Ocupaciñn no especificada (050)",1983,424,1015,390,24,130,,
"Desocupado (051)",2913,,,,,,,2913
"Hombres (052)",45136,10262,16959,14601,673,671,152,1818
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (053)",111,100,,,11,,,
"Profes., científicos e intelectuales (054)",3250,2735,,465,45,5,,
"Técnicos de nivel medio y trab. asimilados (055)",2593,1862,,613,112,5,1,
"Jefes y empleados de oficina (056)",1537,1518,,13,,6,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (057)",4443,1692,65,2386,122,178,,
"Agricult.trabaj.calif.agrop.y pesqueros (058)",2304,29,99,2046,130,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (059)",8460,,6290,2019,109,42,,
"Obreros construc.,conf.,papel, fab., instr. (060)",9400,678,3510,5049,107,56,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (061)",9553,909,6334,1800,19,340,151,
"Otra (062)",502,502,,,,,,
"Ocupaciñn no especificada (063)",1165,237,661,210,18,39,,
"Desocupado (064)",1818,,,,,,,1818
"Mujeres (065)",25272,7533,6621,7260,264,1132,1367,1095
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (066)",43,39,,,4,,,
"Profes., científicos e intelectuales (067)",3540,3338,,165,23,14,,
"Técnicos de nivel medio y trab. asimilados (068)",1421,1185,,197,31,5,3,
"Jefes y empleados de oficina (069)",1285,1267,,11,,7,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (070)",5200,912,111,3365,109,699,4,
"Agricult.trabaj.calif.agrop.y pesqueros (071)",393,3,2,357,31,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (072)",4722,,4150,504,34,34,,
"Obreros construc.,conf.,papel, fab., instr. (073)",470,4,211,234,4,17,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (074)",6269,582,1793,2247,22,265,1360,
"Otra (075)",16,16,,,,,,
"Ocupaciñn no especificada (076)",818,187,354,180,6,91,,
"Desocupado (077)",1095,,,,,,,1095
,,,,,,,,
"RURAL (078)",8056,771,4111,2247,86,514,94,233
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (079)",10,8,,,2,,,
"Profes., científicos e intelectuales (080)",206,191,,12,3,,,
"Técnicos de nivel medio y trab. asimilados (081)",186,164,,14,7,1,,
"Jefes y empleados de oficina (082)",108,108,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (083)",403,164,17,186,12,24,,
"Agricult.trabaj.calif.agrop.y pesqueros (084)",1740,13,12,1665,50,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (085)",680,,621,50,9,,,
"Obreros construc.,conf.,papel, fab., instr. (086)",486,25,269,184,2,6,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (087)",3857,70,3116,95,1,481,94,
"Otra (088)",8,8,,,,,,
"Ocupaciñn no especificada (089)",139,20,76,41,,2,,
"Desocupado (090)",233,,,,,,,233
"Hombres (091)",5707,533,3107,1635,64,188,16,164
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (092)",8,6,,,2,,,
