"CUADRO Nº 4: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia YAUYOS (000)",7147,6872,55,1071,1159,1094,1724,1123,519,127,275,27261
"De 12 a 14 años (001)",4,3,,2,1,,,,,,1,4
"De 15 a 19 años (002)",136,127,2,107,17,1,,,,,9,144
"De 20 a 24 años (003)",503,438,5,255,134,34,10,,,,65,666
"De 25 a 29 años (004)",674,604,1,198,219,117,59,9,1,,70,1306
"De 30 a 34 años (005)",740,699,1,123,184,187,167,33,4,,41,2012
"De 35 a 39 años (006)",742,713,6,91,145,145,219,85,21,1,29,2497
"De 40 a 44 años (007)",680,659,3,56,97,128,208,111,47,9,21,2774
"De 45 a 49 años (008)",582,573,5,37,64,100,168,123,58,18,9,2714
"De 50 y más años (009)",3086,3056,32,202,298,382,893,762,388,99,30,15144
"Sin nivel (010)",847,829,13,60,70,100,232,209,121,24,18,4167
"De 15 a 19 años (012)",2,1,,1,,,,,,,1,1
"De 20 a 24 años (013)",6,5,,3,1,1,,,,,1,8
"De 25 a 29 años (014)",12,11,,1,3,2,2,2,1,,1,42
"De 30 a 34 años (015)",31,25,,1,6,8,7,2,1,,6,89
"De 35 a 39 años (016)",54,54,3,9,5,7,14,11,4,1,,218
"De 40 a 44 años (017)",62,62,1,7,4,8,19,16,7,,,287
"De 45 a 49 años (018)",37,37,,1,4,5,8,8,6,5,,222
"De 50 y más años (019)",643,634,9,37,47,69,182,170,102,18,9,3300
"Primaria (030)",3087,3054,19,218,357,441,906,685,339,89,33,14493
"De 12 a 14 años (031)",1,1,,1,,,,,,,,1
"De 15 a 19 años (032)",31,29,2,21,6,,,,,,2,33
"De 20 a 24 años (033)",78,76,,33,28,9,6,,,,2,140
