"CUADRO Nº 20: TOTAL DE VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR RÉGIMEN DE TENENCIA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"RÉGIMEN DE TENENCIA",,,,,
,,ALQUILADA,"PROPIA POR INVASIÓN","PROPIA PAGÁNDOLA A PLAZOS","PROPIA TOTALMENTE PAGADA","CEDIDA POR EL CENTRO DE TRABAJO/OTRO HOGAR /INSTITUCIÓN","OTRA FORMA"
,,,,,,,
"Provincia ASCOPE",,,,,,,
"Viviendas particulares (001)",27487,2450,1947,573,19583,1971,963
"Ocupantes presentes (002)",115652,9018,7095,2420,85334,8027,3758
"Casa independiente",,,,,,,
"Viviendas particulares (004)",27002,2343,1933,537,19341,1909,939
"Ocupantes presentes (005)",113931,8656,7032,2295,84449,7829,3670
"Departamento en edificio",,,,,,,
"Viviendas particulares (007)",29,17,,,9,3,
"Ocupantes presentes (008)",115,61,,,43,11,
"Vivienda en quinta",,,,,,,
"Viviendas particulares (010)",67,31,,,12,18,6
"Ocupantes presentes (011)",212,101,,,33,55,23
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (013)",157,43,,,95,15,4
"Ocupantes presentes (014)",581,155,,,353,59,14
"Choza o cabaña",,,,,,,
"Viviendas particulares (016)",74,3,5,,52,10,4
"Ocupantes presentes (017)",233,10,19,,167,27,10
"Vivienda improvisada",,,,,,,
"Viviendas particulares (019)",138,8,9,36,71,8,6
"Ocupantes presentes (020)",528,24,44,125,277,26,32
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (022)",19,5,,,3,8,3
"Ocupantes presentes (023)",51,11,,,12,20,8
"Otro tipo",,,,,,,
"Viviendas particulares (025)",1,,,,,,1
"Ocupantes presentes (026)",1,,,,,,1
,,,,,,,
URBANA,,,,,,,
"Viviendas particulares (028)",24067,2333,1773,521,17240,1380,820
"Ocupantes presentes (029)",101653,8580,6399,2192,75690,5611,3181
"Casa independiente",,,,,,,
"Viviendas particulares (031)",23658,2229,1764,485,17050,1329,801
"Ocupantes presentes (032)",100171,8228,6355,2067,74972,5445,3104
"Departamento en edificio",,,,,,,
"Viviendas particulares (034)",29,17,,,9,3,
"Ocupantes presentes (035)",115,61,,,43,11,
"Vivienda en quinta",,,,,,,
"Viviendas particulares (037)",67,31,,,12,18,6
"Ocupantes presentes (038)",212,101,,,33,55,23
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (040)",157,43,,,95,15,4
"Ocupantes presentes (041)",581,155,,,353,59,14
"Choza o cabaña",,,,,,,
"Vivienda improvisada",,,,,,,
"Viviendas particulares (046)",138,8,9,36,71,8,6
"Ocupantes presentes (047)",528,24,44,125,277,26,32
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (049)",18,5,,,3,7,3
"Ocupantes presentes (050)",46,11,,,12,15,8
"Otro tipo",,,,,,,
,,,,,,,
RURAL,,,,,,,
"Viviendas particulares (055)",3420,117,174,52,2343,591,143
"Ocupantes presentes (056)",13999,438,696,228,9644,2416,577
"Casa independiente",,,,,,,
"Viviendas particulares (058)",3344,114,169,52,2291,580,138
"Ocupantes presentes (059)",13760,428,677,228,9477,2384,566
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Vivienda en casa de vecindad",,,,,,,
"Choza o cabaña",,,,,,,
"Viviendas particulares (070)",74,3,5,,52,10,4
"Ocupantes presentes (071)",233,10,19,,167,27,10
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (076)",1,,,,,1,
"Ocupantes presentes (077)",5,,,,,5,
"Otro tipo",,,,,,,
"Viviendas particulares (079)",1,,,,,,1
"Ocupantes presentes (080)",1,,,,,,1
