"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia HUANCABAMBA (000)",28586,123735,3864,15078,24722,108657
"Casa independiente (001)",28025,121579,3768,14722,24257,106857
"Vivienda en quinta (003)",32,121,32,121,,
"Vivienda en casa de vecindad (004)",51,194,51,194,,
"Choza o cabaña (005)",457,1779,,,457,1779
"Vivienda improvisada (006)",10,32,10,32,,
"Local no dest.para hab. humana (007)",9,19,2,4,7,15
"Otro tipo (008)",2,11,1,5,1,6
