"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia CAYLLOMA (000)",20664,72062,13299,48162,7365,23900
"Casa independiente (001)",16489,58485,11116,40287,5373,18198
"Departamento en edificio (002)",92,274,92,274,,
"Vivienda en quinta (003)",135,619,135,619,,
"Vivienda en casa de vecindad (004)",555,2192,555,2192,,
"Choza o cabaña (005)",1981,5685,,,1981,5685
"Vivienda improvisada (006)",1365,4633,1365,4633,,
"Local no dest.para hab. humana (007)",39,137,31,123,8,14
"Otro tipo (008)",8,37,5,34,3,3
