"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia PACHITEA (000)",16666,15406,837,187,236
"Hombres (001)",14501,13475,738,133,155
"Mujeres (002)",2165,1931,99,54,81
"De 06 a 14 años (003)",425,392,28,5,
"Hombres (004)",365,335,25,5,
"Mujeres (005)",60,57,3,,
"De 15 a 29 años (006)",6607,6027,415,71,94
"Hombres (007)",5713,5249,364,49,51
"Mujeres (008)",894,778,51,22,43
"De 30 a 44 años (009)",5148,4725,249,71,103
"Hombres (010)",4484,4146,218,49,71
"Mujeres (011)",664,579,31,22,32
"De 45 a 64 años (012)",3389,3190,124,37,38
"Hombres (013)",2949,2777,112,28,32
"Mujeres (014)",440,413,12,9,6
"De 65 y más años (015)",1097,1072,21,3,1
"Hombres (016)",990,968,19,2,1
"Mujeres (017)",107,104,2,1,
,,,,,
"URBANA (018)",2579,2143,159,104,173
"Hombres (019)",1907,1610,118,64,115
"Mujeres (020)",672,533,41,40,58
"De 06 a 14 años (021)",34,32,1,1,
"Hombres (022)",22,20,1,1,
"Mujeres (023)",12,12,,,
"De 15 a 29 años (024)",849,694,60,29,66
"Hombres (025)",617,514,46,19,38
"Mujeres (026)",232,180,14,10,28
"De 30 a 44 años (027)",975,777,69,50,79
"Hombres (028)",709,580,48,28,53
"Mujeres (029)",266,197,21,22,26
"De 45 a 64 años (030)",595,519,27,22,27
"Hombres (031)",456,398,21,14,23
"Mujeres (032)",139,121,6,8,4
"De 65 y más años (033)",126,121,2,2,1
"Hombres (034)",103,98,2,2,1
"Mujeres (035)",23,23,,,
,,,,,
"RURAL (036)",14087,13263,678,83,63
"Hombres (037)",12594,11865,620,69,40
"Mujeres (038)",1493,1398,58,14,23
"De 06 a 14 años (039)",391,360,27,4,
"Hombres (040)",343,315,24,4,
"Mujeres (041)",48,45,3,,
"De 15 a 29 años (042)",5758,5333,355,42,28
"Hombres (043)",5096,4735,318,30,13
"Mujeres (044)",662,598,37,12,15
"De 30 a 44 años (045)",4173,3948,180,21,24
"Hombres (046)",3775,3566,170,21,18
"Mujeres (047)",398,382,10,,6
"De 45 a 64 años (048)",2794,2671,97,15,11
"Hombres (049)",2493,2379,91,14,9
"Mujeres (050)",301,292,6,1,2
"De 65 y más años (051)",971,951,19,1,
"Hombres (052)",887,870,17,,
"Mujeres (053)",84,81,2,1,
