"CUADRO Nº 31: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,,
,,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,,DESOCU-PADO
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA",
,,,,,,,,,,,,,
"Provincia TAMBOPATA (000)",34580,91,2600,2088,1654,6032,3268,3628,4979,7632,331,1307,970
"Agric., ganadería, caza y silvicultura (001)",5328,4,29,70,8,10,3241,3,26,1937,,,
"Pesca (002)",118,,1,1,,,27,,,89,,,
"Explotación de minas y canteras (003)",2017,1,7,63,5,118,,833,27,963,,,
"Industrias manufactureras (004)",2352,2,16,95,30,7,,2000,160,42,,,
"Suministro de electricidad, gas y agua (005)",85,1,6,18,12,,,17,6,25,,,
"Construcción (006)",2618,,117,173,48,,,113,1533,634,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (007)",5968,9,42,324,50,3936,,627,60,920,,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",850,,11,63,10,160,,558,32,16,,,
"Comercio al por mayor (009)",287,5,18,42,9,159,,2,12,40,,,
"Comercio al por menor (010)",4831,4,13,219,31,3617,,67,16,864,,,
"Hoteles y restaurantes (011)",2547,1,9,115,72,1534,,5,4,807,,,
"Trans., almac. y comunicaciones (012)",3878,2,32,148,158,73,,16,3061,388,,,
"Intermediación financiera (013)",132,2,2,20,88,,,,,20,,,
"Activid.inmobil., empres. y alquileres (014)",1186,1,335,283,119,212,,5,55,176,,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",1314,32,140,105,551,12,,3,31,109,331,,
"Enseñanza (016)",1581,26,1449,23,52,,,2,6,23,,,
"Servicios sociales y de salud (017)",730,,323,320,45,10,,,3,29,,,
"Otras activ. serv.comun.soc y personales (018)",1249,4,35,230,47,119,,4,5,805,,,
"Hogares privados con servicio doméstico (019)",664,,,1,,1,,,,662,,,
"Actividad economica no especificada (021)",1843,6,57,99,369,,,,2,3,,1307,
"Desocupado (022)",970,,,,,,,,,,,,970
"Hombres (023)",22860,77,1391,1322,787,2098,2887,3217,4847,4604,315,708,607
"Agric., ganadería, caza y silvicultura (024)",4473,4,23,59,5,,2863,3,26,1490,,,
"Pesca (025)",105,,1,1,,,24,,,79,,,
"Explotación de minas y canteras (026)",1804,1,6,52,5,6,,781,27,926,,,
"Industrias manufactureras (027)",1918,2,10,75,22,2,,1662,118,27,,,
"Suministro de electricidad, gas y agua (028)",74,1,6,17,7,,,16,5,22,,,
"Construcción (029)",2505,,108,158,29,,,112,1505,593,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (030)",2689,5,23,182,16,1487,,613,59,304,,,
"Venta, mant.y rep. veh.autom.y motoc. (031)",779,,10,57,7,110,,549,31,15,,,
"Comercio al por mayor (032)",156,3,8,14,3,92,,2,12,22,,,
"Comercio al por menor (033)",1754,2,5,111,6,1285,,62,16,267,,,
"Hoteles y restaurantes (034)",506,1,5,42,30,295,,2,4,127,,,
"Trans., almac. y comunicaciones (035)",3609,1,24,91,85,58,,15,3014,321,,,
"Intermediación financiera (036)",80,2,1,8,51,,,,,18,,,
"Activid.inmobil., empres. y alquileres (037)",821,1,244,196,45,195,,5,48,87,,,
"Admin.pub. y defensa; p. segur.soc.afil (038)",947,30,94,72,331,10,,3,26,66,315,,
"Enseñanza (039)",719,20,639,15,17,,,2,6,20,,,
"Servicios sociales y de salud (040)",317,,144,141,13,3,,,3,13,,,
"Otras activ. serv.comun.soc y personales (041)",691,4,25,156,24,42,,3,4,433,,,
"Hogares privados con servicio doméstico (042)",77,,,,,,,,,77,,,
"Actividad economica no especificada (044)",918,5,38,57,107,,,,2,1,,708,
"Desocupado (045)",607,,,,,,,,,,,,607
"Mujeres (046)",11720,14,1209,766,867,3934,381,411,132,3028,16,599,363
"Agric., ganadería, caza y silvicultura (047)",855,,6,11,3,10,378,,,447,,,
"Pesca (048)",13,,,,,,3,,,10,,,
"Explotación de minas y canteras (049)",213,,1,11,,112,,52,,37,,,
"Industrias manufactureras (050)",434,,6,20,8,5,,338,42,15,,,
"Suministro de electricidad, gas y agua (051)",11,,,1,5,,,1,1,3,,,
"Construcción (052)",113,,9,15,19,,,1,28,41,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (053)",3279,4,19,142,34,2449,,14,1,616,,,
"Venta, mant.y rep. veh.autom.y motoc. (054)",71,,1,6,3,50,,9,1,1,,,
"Comercio al por mayor (055)",131,2,10,28,6,67,,,,18,,,
"Comercio al por menor (056)",3077,2,8,108,25,2332,,5,,597,,,
"Hoteles y restaurantes (057)",2041,,4,73,42,1239,,3,,680,,,
"Trans., almac. y comunicaciones (058)",269,1,8,57,73,15,,1,47,67,,,
"Intermediación financiera (059)",52,,1,12,37,,,,,2,,,
"Activid.inmobil., empres. y alquileres (060)",365,,91,87,74,17,,,7,89,,,
"Admin.pub. y defensa; p. segur.soc.afil (061)",367,2,46,33,220,2,,,5,43,16,,
"Enseñanza (062)",862,6,810,8,35,,,,,3,,,
"Servicios sociales y de salud (063)",413,,179,179,32,7,,,,16,,,
"Otras activ. serv.comun.soc y personales (064)",558,,10,74,23,77,,1,1,372,,,
"Hogares privados con servicio doméstico (065)",587,,,1,,1,,,,585,,,
"Actividad economica no especificada (067)",925,1,19,42,262,,,,,2,,599,
"Desocupado (068)",363,,,,,,,,,,,,363
,,,,,,,,,,,,,
"URBANA (069)",28167,85,2464,1910,1614,5355,1418,3084,4336,5561,329,1131,880
"Agric., ganadería, caza y silvicultura (070)",2460,4,25,65,8,7,1397,3,19,932,,,
"Pesca (071)",88,,1,1,,,21,,,65,,,
"Explotación de minas y canteras (072)",1082,1,7,44,5,50,,561,16,398,,,
"Industrias manufactureras (073)",2097,1,13,86,29,6,,1784,143,35,,,
"Suministro de electricidad, gas y agua (074)",80,1,6,18,12,,,15,6,22,,,
"Construcción (075)",2164,,91,113,42,,,99,1264,555,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (076)",5515,9,41,312,49,3592,,592,57,863,,,
"Venta, mant.y rep. veh.autom.y motoc. (077)",786,,11,57,10,135,,528,29,16,,,
"Comercio al por mayor (078)",267,5,18,42,9,140,,2,12,39,,,
"Comercio al por menor (079)",4462,4,12,213,30,3317,,62,16,808,,,
"Hoteles y restaurantes (080)",2231,1,8,109,70,1305,,4,3,731,,,
"Trans., almac. y comunicaciones (081)",3414,2,28,122,144,58,,14,2733,313,,,
"Intermediación financiera (082)",131,2,2,19,88,,,,,20,,,
"Activid.inmobil., empres. y alquileres (083)",1132,1,326,271,114,200,,3,50,167,,,
"Admin.pub. y defensa; p. segur.soc.afil (084)",1293,30,139,103,549,12,,3,30,98,329,,
"Enseñanza (085)",1499,23,1373,22,52,,,2,6,21,,,
"Servicios sociales y de salud (086)",703,,317,303,44,9,,,2,28,,,
"Otras activ. serv.comun.soc y personales (087)",1195,4,35,224,45,115,,4,5,763,,,
"Hogares privados con servicio doméstico (088)",549,,,1,,1,,,,547,,,
"Actividad economica no especificada (090)",1654,6,52,97,363,,,,2,3,,1131,
"Desocupado (091)",880,,,,,,,,,,,,880
"Hombres (092)",17811,72,1318,1185,760,1877,1187,2698,4217,3001,314,639,543
"Agric., ganadería, caza y silvicultura (093)",1972,4,20,54,5,,1169,3,19,698,,,
"Pesca (094)",79,,1,1,,,18,,,59,,,
"Explotación de minas y canteras (095)",971,1,6,34,5,4,,522,16,383,,,
"Industrias manufactureras (096)",1682,1,7,67,21,2,,1458,105,21,,,
"Suministro de electricidad, gas y agua (097)",69,1,6,17,7,,,14,5,19,,,
"Construcción (098)",2077,,87,105,24,,,98,1241,522,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (099)",2480,5,23,175,16,1337,,578,56,290,,,
"Venta, mant.y rep. veh.autom.y motoc. (100)",726,,10,54,7,93,,519,28,15,,,
"Comercio al por mayor (101)",146,3,8,14,3,83,,2,12,21,,,
"Comercio al por menor (102)",1608,2,5,107,6,1161,,57,16,254,,,
"Hoteles y restaurantes (103)",442,1,5,39,29,251,,1,3,113,,,
"Trans., almac. y comunicaciones (104)",3169,1,22,72,75,45,,13,2690,251,,,
"Intermediación financiera (105)",80,2,1,8,51,,,,,18,,,
"Activid.inmobil., empres. y alquileres (106)",781,1,238,187,42,184,,3,43,83,,,
"Admin.pub. y defensa; p. segur.soc.afil (107)",929,28,94,70,329,10,,3,25,56,314,,
"Enseñanza (108)",683,18,607,15,17,,,2,6,18,,,
"Servicios sociales y de salud (109)",302,,141,132,12,3,,,2,12,,,
"Otras activ. serv.comun.soc y personales (110)",654,4,25,152,22,41,,3,4,403,,,
"Hogares privados con servicio doméstico (111)",54,,,,,,,,,54,,,
"Actividad economica no especificada (113)",844,5,35,57,105,,,,2,1,,639,
"Desocupado (114)",543,,,,,,,,,,,,543
"Mujeres (115)",10356,13,1146,725,854,3478,231,386,119,2560,15,492,337
"Agric., ganadería, caza y silvicultura (116)",488,,5,11,3,7,228,,,234,,,
"Pesca (117)",9,,,,,,3,,,6,,,
"Explotación de minas y canteras (118)",111,,1,10,,46,,39,,15,,,
"Industrias manufactureras (119)",415,,6,19,8,4,,326,38,14,,,
"Suministro de electricidad, gas y agua (120)",11,,,1,5,,,1,1,3,,,
"Construcción (121)",87,,4,8,18,,,1,23,33,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (122)",3035,4,18,137,33,2255,,14,1,573,,,
"Venta, mant.y rep. veh.autom.y motoc. (123)",60,,1,3,3,42,,9,1,1,,,
"Comercio al por mayor (124)",121,2,10,28,6,57,,,,18,,,
"Comercio al por menor (125)",2854,2,7,106,24,2156,,5,,554,,,
"Hoteles y restaurantes (126)",1789,,3,70,41,1054,,3,,618,,,
"Trans., almac. y comunicaciones (127)",245,1,6,50,69,13,,1,43,62,,,
"Intermediación financiera (128)",51,,1,11,37,,,,,2,,,
"Activid.inmobil., empres. y alquileres (129)",351,,88,84,72,16,,,7,84,,,
"Admin.pub. y defensa; p. segur.soc.afil (130)",364,2,45,33,220,2,,,5,42,15,,
"Enseñanza (131)",816,5,766,7,35,,,,,3,,,
"Servicios sociales y de salud (132)",401,,176,171,32,6,,,,16,,,
"Otras activ. serv.comun.soc y personales (133)",541,,10,72,23,74,,1,1,360,,,
"Hogares privados con servicio doméstico (134)",495,,,1,,1,,,,493,,,
"Actividad economica no especificada (136)",810,1,17,40,258,,,,,2,,492,
"Desocupado (137)",337,,,,,,,,,,,,337
