"CUADRO Nº 1: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia HUAURA (000)",77446,73508,22049,12328,12149,8965,9649,4791,2264,1313,3938,170313
"De 12 a 14 años (001)",6135,6105,6078,26,1,,,,,,30,28
"De 15 a 19 años (002)",9577,9409,8370,939,80,13,7,,,,168,1166
"De 20 a 24 años (003)",9025,7745,3613,2993,935,174,26,4,,,1280,5520
"De 25 a 29 años (004)",8093,7054,1362,2789,1974,701,214,11,3,,1039,9830
"De 30 a 34 años (005)",7519,7022,683,1925,2360,1334,632,83,2,3,497,13903
"De 35 a 39 años (006)",6906,6631,401,1195,2146,1478,1161,202,43,5,275,16619
"De 40 a 44 años (007)",6148,5987,310,723,1492,1457,1415,458,116,16,161,18288
"De 45 a 49 años (008)",5121,5002,259,472,935,1067,1368,640,212,49,119,17947
"De 50 y más años (009)",18922,18553,973,1266,2226,2741,4826,3393,1888,1240,369,87012
"Sin nivel (010)",5283,5149,351,282,536,578,1153,1077,686,486,134,26531
"De 12 a 14 años (011)",48,48,48,,,,,,,,,
"De 15 a 19 años (012)",59,59,54,5,,,,,,,,5
"De 20 a 24 años (013)",114,103,39,29,24,6,3,2,,,11,119
"De 25 a 29 años (014)",154,138,23,27,46,25,17,,,,16,264
"De 30 a 34 años (015)",305,283,24,44,73,61,65,14,1,1,22,759
"De 35 a 39 años (016)",351,334,18,19,79,71,104,30,11,2,17,1153
"De 40 a 44 años (017)",376,366,20,24,49,63,115,67,25,3,10,1504
"De 45 a 49 años (018)",415,407,14,13,45,62,114,110,41,8,8,1960
"De 50 y más años (019)",3461,3411,111,121,220,290,735,854,608,472,50,20767
"Educacion Inicial (020)",78,75,36,7,11,9,8,4,,,3,115
"De 12 a 14 años (021)",14,14,14,,,,,,,,,
