"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"De 30 a 34 años (145)",50,109,108,2,99.1,1.8,
"De 35 a 39 años (146)",39,113,109,1,96.5,0.9,
"De 40 a 44 años (147)",28,103,96,1,93.2,1,
"De 45 a 49 años (148)",34,152,135,,88.8,,
"De 50 y más años (149)",41,222,190,,85.6,,
"Desocupada (150)",48,71,67,1,94.4,1.4,
"De 12 a 14 años (151)",1,,,,,,
"De 15 a 19 años (152)",15,1,1,,100,,
"De 20 a 24 años (153)",15,11,11,1,100,9.1,
"De 25 a 29 años (154)",6,6,6,,100,,
"De 30 a 34 años (155)",1,4,4,,100,,
"De 35 a 39 años (156)",1,1,1,,100,,
"De 40 a 44 años (157)",1,5,3,,60,,
"De 45 a 49 años (158)",1,6,6,,100,,
"De 50 y más años (159)",7,37,35,,94.6,,
"No PEA (160)",2067,5999,5353,106,89.2,1.8,
"De 12 a 14 años (161)",204,2,2,,100,,
"De 15 a 19 años (162)",256,54,53,17,98.1,31.5,
"De 20 a 24 años (163)",239,225,221,31,98.2,13.8,
"De 25 a 29 años (164)",216,367,358,27,97.5,7.4,
"De 30 a 34 años (165)",180,411,399,10,97.1,2.4,
"De 35 a 39 años (166)",161,525,502,15,95.6,2.9,
"De 40 a 44 años (167)",143,562,518,5,92.2,0.9,
"De 45 a 49 años (168)",121,512,475,1,92.8,0.2,
"De 50 y más años (169)",547,3341,2825,,84.6,,
