"CUADRO Nº 18: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia TARMA (000)",42396,6776,6818,22091,1087,5010,614
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",68,59,,,9,,
"Profes., científicos e intelectuales (002)",3015,2521,,436,48,10,
"Técnicos de nivel medio y trab. asimilados (003)",1330,787,,476,55,12,
"Jefes y empleados de oficina (004)",830,822,,3,,5,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",4825,1024,42,3098,146,515,
"Agricult.trabaj. calif.agrop. y pesqueros (006)",12258,6,,11653,599,,
"Obreros y oper.minas, cant., ind.manuf.y otros (007)",2712,,820,1700,101,91,
"Obreros construc.,conf., papel, fab., instr. (008)",3652,501,952,2066,76,57,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (009)",12681,796,4864,2165,31,4211,614
"Otra (010)",106,106,,,,,
"Ocupación no especificada (011)",919,154,140,494,22,109,
"Hombres (012)",28418,3680,5521,15808,835,2538,36
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",49,43,,,6,,
"Profes., científicos e intelectuales (014)",1519,1179,,298,34,8,
"Técnicos de nivel medio y trab. asimilados (015)",865,466,,357,36,6,
"Jefes y empleados de oficina (016)",401,396,,2,,3,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",1839,541,16,1104,69,109,
"Agricult.trabaj. calif.agrop. y pesqueros (018)",10338,6,,9807,525,,
"Obreros y oper.minas, cant., ind.manuf.y otros (019)",2215,,754,1328,79,54,
"Obreros construc.,conf., papel, fab., instr. (020)",3489,495,911,1970,69,44,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (021)",7265,392,3748,789,9,2291,36
"Otra (022)",98,98,,,,,
"Ocupación no especificada (023)",340,64,92,153,8,23,
"Mujeres (024)",13978,3096,1297,6283,252,2472,578
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",19,16,,,3,,
"Profes., científicos e intelectuales (026)",1496,1342,,138,14,2,
"Técnicos de nivel medio y trab. asimilados (027)",465,321,,119,19,6,
"Jefes y empleados de oficina (028)",429,426,,1,,2,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",2986,483,26,1994,77,406,
"Agricult.trabaj. calif.agrop. y pesqueros (030)",1920,,,1846,74,,
"Obreros y oper.minas, cant., ind.manuf.y otros (031)",497,,66,372,22,37,
"Obreros construc.,conf., papel, fab., instr. (032)",163,6,41,96,7,13,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (033)",5416,404,1116,1376,22,1920,578
"Otra (034)",8,8,,,,,
"Ocupación no especificada (035)",579,90,48,341,14,86,
,,,,,,,
"URBANA (036)",27557,6166,4167,13691,781,2240,512
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (037)",64,55,,,9,,
"Profes., científicos e intelectuales (038)",2800,2333,,410,47,10,
"Técnicos de nivel medio y trab. asimilados (039)",1211,730,,420,51,10,
"Jefes y empleados de oficina (040)",779,772,,3,,4,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (041)",4311,901,31,2762,140,477,
"Agricult.trabaj. calif.agrop. y pesqueros (042)",4922,2,,4598,322,,
"Obreros y oper.minas, cant., ind.manuf.y otros (043)",2426,,684,1559,95,88,
"Obreros construc.,conf., papel, fab., instr. (044)",2986,404,815,1647,68,52,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (045)",7291,732,2530,1961,29,1527,512
"Otra (046)",101,101,,,,,
"Ocupación no especificada (047)",666,136,107,331,20,72,
"Hombres (048)",17237,3253,3446,8953,563,991,31
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (049)",45,39,,,6,,
"Profes., científicos e intelectuales (050)",1396,1073,,282,33,8,
"Técnicos de nivel medio y trab. asimilados (051)",780,422,,318,35,5,
"Jefes y empleados de oficina (052)",370,366,,2,,2,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (053)",1639,453,8,1016,66,96,
"Agricult.trabaj. calif.agrop. y pesqueros (054)",4006,2,,3733,271,,
"Obreros y oper.minas, cant., ind.manuf.y otros (055)",1976,,636,1213,75,52,
"Obreros construc.,conf., papel, fab., instr. (056)",2833,398,777,1557,62,39,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (057)",3837,352,1953,720,8,773,31
"Otra (058)",95,95,,,,,
"Ocupación no especificada (059)",260,53,72,112,7,16,
"Mujeres (060)",10320,2913,721,4738,218,1249,481
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (061)",19,16,,,3,,
"Profes., científicos e intelectuales (062)",1404,1260,,128,14,2,
"Técnicos de nivel medio y trab. asimilados (063)",431,308,,102,16,5,
"Jefes y empleados de oficina (064)",409,406,,1,,2,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (065)",2672,448,23,1746,74,381,
"Agricult.trabaj. calif.agrop. y pesqueros (066)",916,,,865,51,,
"Obreros y oper.minas, cant., ind.manuf.y otros (067)",450,,48,346,20,36,
"Obreros construc.,conf., papel, fab., instr. (068)",153,6,38,90,6,13,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (069)",3454,380,577,1241,21,754,481
"Otra (070)",6,6,,,,,
"Ocupación no especificada (071)",406,83,35,219,13,56,
,,,,,,,
"RURAL (072)",14839,610,2651,8400,306,2770,102
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (073)",4,4,,,,,
"Profes., científicos e intelectuales (074)",215,188,,26,1,,
"Técnicos de nivel medio y trab. asimilados (075)",119,57,,56,4,2,
"Jefes y empleados de oficina (076)",51,50,,,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (077)",514,123,11,336,6,38,
"Agricult.trabaj. calif.agrop. y pesqueros (078)",7336,4,,7055,277,,
"Obreros y oper.minas, cant., ind.manuf.y otros (079)",286,,136,141,6,3,
"Obreros construc.,conf., papel, fab., instr. (080)",666,97,137,419,8,5,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (081)",5390,64,2334,204,2,2684,102
"Otra (082)",5,5,,,,,
"Ocupación no especificada (083)",253,18,33,163,2,37,
"Hombres (084)",11181,427,2075,6855,272,1547,5
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (085)",4,4,,,,,
"Profes., científicos e intelectuales (086)",123,106,,16,1,,
"Técnicos de nivel medio y trab. asimilados (087)",85,44,,39,1,1,
"Jefes y empleados de oficina (088)",31,30,,,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (089)",200,88,8,88,3,13,
"Agricult.trabaj. calif.agrop. y pesqueros (090)",6332,4,,6074,254,,
"Obreros y oper.minas, cant., ind.manuf.y otros (091)",239,,118,115,4,2,
"Obreros construc.,conf., papel, fab., instr. (092)",656,97,134,413,7,5,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (093)",3428,40,1795,69,1,1518,5
"Otra (094)",3,3,,,,,
"Ocupación no especificada (095)",80,11,20,41,1,7,
"Mujeres (096)",3658,183,576,1545,34,1223,97
