"CUADRO Nº 35: POBLACIÓN DESOCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"12 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia SAN ROMAN (000)",6829,85,3719,2091,827,107
"Conviviente (001)",2112,3,995,922,180,12
"Separado(a) (002)",175,,45,96,32,2
"Casado(a) (003)",1290,,118,611,502,59
"Viudo(a) (004)",105,,6,16,50,33
"Divorciado(a) (005)",20,,3,6,11,
"Soltero(a) (006)",3127,82,2552,440,52,1
"Hombres (008)",4295,55,2117,1415,628,80
"Conviviente (009)",1388,,562,665,150,11
"Separado(a) (010)",57,,9,31,16,1
"Casado(a) (011)",908,,52,413,395,48
"Viudo(a) (012)",60,,4,7,29,20
"Divorciado(a) (013)",10,,2,1,7,
"Soltero(a) (014)",1872,55,1488,298,31,
"Mujeres (016)",2534,30,1602,676,199,27
"Conviviente (017)",724,3,433,257,30,1
"Separado(a) (018)",118,,36,65,16,1
"Casado(a) (019)",382,,66,198,107,11
"Viudo(a) (020)",45,,2,9,21,13
"Divorciado(a) (021)",10,,1,5,4,
"Soltero(a) (022)",1255,27,1064,142,21,1
,,,,,,
"AREA URBANA (024)",6497,79,3496,2022,798,102
"Conviviente (025)",2035,2,949,898,175,11
"Separado(a) (026)",167,,42,93,30,2
"Casado(a) (027)",1245,,111,591,486,57
"Viudo(a) (028)",98,,6,15,46,31
"Divorciado(a) (029)",20,,3,6,11,
"Soltero(a) (030)",2932,77,2385,419,50,1
"Hombres (032)",4049,51,1960,1359,603,76
"Conviviente (033)",1324,,525,644,145,10
"Separado(a) (034)",54,,9,29,15,1
"Casado(a) (035)",869,,47,395,381,46
"Viudo(a) (036)",56,,4,7,26,19
"Divorciado(a) (037)",10,,2,1,7,
"Soltero(a) (038)",1736,51,1373,283,29,
"Mujeres (040)",2448,28,1536,663,195,26
"Conviviente (041)",711,2,424,254,30,1
"Separado(a) (042)",113,,33,64,15,1
"Casado(a) (043)",376,,64,196,105,11
"Viudo(a) (044)",42,,2,8,20,12
"Divorciado(a) (045)",10,,1,5,4,
"Soltero(a) (046)",1196,26,1012,136,21,1
,,,,,,
"AREA RURAL (048)",332,6,223,69,29,5
"Conviviente (049)",77,1,46,24,5,1
"Separado(a) (050)",8,,3,3,2,
"Casado(a) (051)",45,,7,20,16,2
"Viudo(a) (052)",7,,,1,4,2
"Soltero(a) (054)",195,5,167,21,2,
"Hombres (056)",246,4,157,56,25,4
"Conviviente (057)",64,,37,21,5,1
"Separado(a) (058)",3,,,2,1,
"Casado(a) (059)",39,,5,18,14,2
"Viudo(a) (060)",4,,,,3,1
"Soltero(a) (062)",136,4,115,15,2,
"Mujeres (064)",86,2,66,13,4,1
"Conviviente (065)",13,1,9,3,,
"Separado(a) (066)",5,,3,1,1,
"Casado(a) (067)",6,,2,2,2,
"Viudo(a) (068)",3,,,1,1,1
"Soltero(a) (070)",59,1,52,6,,
