"CUADRO Nº 2: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia HUARI (000)",22082,21355,6529,2210,2137,1841,3194,2426,1746,1272,727,70847
"De 12 a 14 años (001)",2409,2390,2379,8,3,,,,,,19,14
"De 15 a 19 años (002)",2931,2869,2572,253,37,3,4,,,,62,352
"De 20 a 24 años (003)",2231,2003,777,713,375,102,30,6,,,228,1932
"De 25 a 29 años (004)",1900,1729,244,447,478,308,230,20,2,,171,3436
"De 30 a 34 años (005)",1608,1543,77,229,342,334,405,126,28,2,65,4722
"De 35 a 39 años (006)",1793,1742,70,135,260,282,557,317,101,20,51,7060
"De 40 a 44 años (007)",1563,1536,46,62,169,193,434,374,196,62,27,7671
"De 45 a 49 años (008)",1350,1334,41,65,109,140,322,298,228,131,16,7457
"De 50 y más años (009)",6297,6209,323,298,364,479,1212,1285,1191,1057,88,38203
"Conviviente (010)",4400,4259,394,1112,875,596,678,346,178,80,141,12222
"De 12 a 14 años (011)",30,14,9,5,,,,,,,16,5
"De 15 a 19 años (012)",366,321,119,174,28,,,,,,45,230
"De 20 a 24 años (013)",1008,971,133,486,254,73,21,4,,,37,1325
"De 25 a 29 años (014)",904,883,63,243,277,172,122,6,,,21,1866
"De 30 a 34 años (015)",618,610,18,102,152,136,153,42,7,,8,1803
"De 35 a 39 años (016)",535,529,9,42,74,103,178,85,32,6,6,2149
"De 40 a 44 años (017)",317,316,9,22,44,39,85,71,37,9,1,1479
"De 45 a 49 años (018)",195,193,5,14,22,24,51,35,26,16,2,981
"De 50 y más años (019)",427,422,29,24,24,49,68,103,76,49,5,2384
"Separado(a) (020)",779,766,15,242,177,89,134,58,31,20,13,2302
"De 12 a 14 años (021)",1,,,,,,,,,,1,
"De 15 a 19 años (022)",31,29,1,27,1,,,,,,2,29
"De 20 a 24 años (023)",103,101,2,72,26,,1,,,,2,128
