"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
"Superior univ. completa (058)",73,47,8,8,10
,,,,,
"URBANA (060)",47949,31672,5062,4472,6743
"Sin nivel (061)",721,600,66,20,35
"Educación inicial (062)",60,42,12,2,4
"Primaria (063)",10179,8483,852,431,413
"Secundaria (064)",19733,14892,1964,1234,1643
"Superior no univ. incompleta (065)",3042,1971,365,272,434
"Superior no univ. completa (066)",6748,2779,865,1244,1860
"Superior univ. incompleta (067)",2288,1216,277,296,499
"Superior univ. completa (068)",5178,1689,661,973,1855
"De 06 a 14 años (070)",494,414,53,17,10
"Educación inicial (072)",6,6,,,
"Primaria (073)",262,223,32,5,2
"Secundaria (074)",226,185,21,12,8
"De 15 a 29 años (080)",15419,10349,1883,1331,1856
"Sin nivel (081)",84,63,9,6,6
"Educación inicial (082)",30,21,7,1,1
"Primaria (083)",1607,1246,191,91,79
"Secundaria (084)",8008,5954,928,529,597
"Superior no univ. incompleta (085)",1497,1013,191,121,172
"Superior no univ. completa (086)",2021,1079,258,266,418
"Superior univ. incompleta (087)",934,539,113,110,172
"Superior univ. completa (088)",1238,434,186,207,411
"De 30 a 44 años (090)",18614,11489,2001,2087,3037
"Sin nivel (091)",184,143,22,4,15
"Educación inicial (092)",24,15,5,1,3
"Primaria (093)",3156,2528,291,173,164
"Secundaria (094)",7516,5706,705,501,604
"Superior no univ. incompleta (095)",1101,687,127,119,168
"Superior no univ. completa (096)",3337,1229,434,675,999
"Superior univ. incompleta (097)",800,378,103,123,196
"Superior univ. completa (098)",2496,803,314,491,888
"De 45 a 64 años (100)",11643,7818,1050,993,1782
"Sin nivel (101)",261,219,25,6,11
"Primaria (103)",3940,3347,299,146,148
"Secundaria (104)",3768,2872,299,182,415
"Superior no univ. incompleta (105)",427,256,45,32,94
"Superior no univ. completa (106)",1350,441,170,299,440
"Superior univ. incompleta (107)",525,278,58,61,128
"Superior univ. completa (108)",1372,405,154,267,546
"De 65 y más años (110)",1779,1602,75,44,58
"Sin nivel (111)",192,175,10,4,3
"Primaria (113)",1214,1139,39,16,20
"Secundaria (114)",215,175,11,10,19
"Superior no univ. incompleta (115)",17,15,2,,
"Superior no univ. completa (116)",40,30,3,4,3
"Superior univ. incompleta (117)",29,21,3,2,3
"Superior univ. completa (118)",72,47,7,8,10
,,,,,
"RURAL (120)",3780,3068,242,264,206
"Sin nivel (121)",145,137,6,1,1
"Educación inicial (122)",9,9,,,
"Primaria (123)",1531,1379,79,41,32
"Secundaria (124)",1540,1249,88,116,87
"Superior no univ. incompleta (125)",99,65,12,12,10
"Superior no univ. completa (126)",302,150,38,69,45
"Superior univ. incompleta (127)",64,42,4,8,10
"Superior univ. completa (128)",90,37,15,17,21
"De 06 a 14 años (130)",36,31,4,,1
"Primaria (133)",27,23,4,,
"Secundaria (134)",9,8,,,1
"De 15 a 29 años (140)",1256,957,100,102,97
"Sin nivel (141)",9,9,,,
"Educación inicial (142)",5,5,,,
"Primaria (143)",220,174,30,8,8
"Secundaria (144)",768,616,46,61,45
"Superior no univ. incompleta (145)",65,44,7,6,8
"Superior no univ. completa (146)",118,67,13,18,20
"Superior univ. incompleta (147)",40,28,2,3,7
"Superior univ. completa (148)",31,14,2,6,9
"De 30 a 44 años (150)",1243,972,84,114,73
"Sin nivel (151)",21,20,1,,
"Educación inicial (152)",4,4,,,
"Primaria (153)",416,370,22,15,9
"Secundaria (154)",575,470,34,41,30
"Superior no univ. incompleta (155)",24,14,3,5,2
"Superior no univ. completa (156)",145,65,15,43,22
"Superior univ. incompleta (157)",22,13,2,4,3
"Superior univ. completa (158)",36,16,7,6,7
"De 45 a 64 años (160)",916,791,50,44,31
"Sin nivel (161)",45,40,3,1,1
"Primaria (163)",626,577,22,15,12
"Secundaria (164)",175,144,8,13,10
"Superior no univ. incompleta (165)",10,7,2,1,
"Superior no univ. completa (166)",37,16,10,8,3
"Superior univ. incompleta (167)",1,,,1,
"Superior univ. completa (168)",22,7,5,5,5
"De 65 y más años (170)",329,317,4,4,4
"Sin nivel (171)",70,68,2,,
"Primaria (173)",242,235,1,3,3
"Secundaria (174)",13,11,,1,1
"Superior no univ. completa (176)",2,2,,,
"Superior univ. incompleta (177)",1,1,,,
"Superior univ. completa (178)",1,,1,,
